path_id,split,family,parameter,parameter_index,replicate,control,mean_rho,best_miss_64,best_miss_512,exact_closure_64
calibration:periodic rational:0:26,calibration,periodic rational,5,0,26,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:26,calibration,periodic rational,5,0,26,shuffled,0.01358113777352201,,,False
calibration:periodic rational:0:27,calibration,periodic rational,5,0,27,chronological,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:27,calibration,periodic rational,5,0,27,shuffled,0.012846755220773005,,,False
calibration:periodic rational:0:28,calibration,periodic rational,5,0,28,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:28,calibration,periodic rational,5,0,28,shuffled,0.013899159946497604,,,False
calibration:periodic rational:0:29,calibration,periodic rational,5,0,29,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:29,calibration,periodic rational,5,0,29,shuffled,0.013716575449120225,,,False
calibration:periodic rational:0:30,calibration,periodic rational,5,0,30,chronological,1.0,0.4,0.4,True
calibration:periodic rational:0:30,calibration,periodic rational,5,0,30,shuffled,0.012679456216101772,,,False
calibration:periodic rational:0:31,calibration,periodic rational,5,0,31,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:31,calibration,periodic rational,5,0,31,shuffled,0.013858331780435938,,,False
calibration:periodic rational:0:32,calibration,periodic rational,5,0,32,chronological,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:32,calibration,periodic rational,5,0,32,shuffled,0.013877359801252511,,,False
calibration:periodic rational:0:33,calibration,periodic rational,5,0,33,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:33,calibration,periodic rational,5,0,33,shuffled,0.013265746427757234,,,False
calibration:periodic rational:0:34,calibration,periodic rational,5,0,34,chronological,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:34,calibration,periodic rational,5,0,34,shuffled,0.013953410693927706,,,False
calibration:periodic rational:0:35,calibration,periodic rational,5,0,35,chronological,1.0000000000000002,0.3999999999999999,0.3999999999999999,True
calibration:periodic rational:0:35,calibration,periodic rational,5,0,35,shuffled,0.013363169692115501,,,False
calibration:periodic rational:0:36,calibration,periodic rational,5,0,36,chronological,1.0000000000000002,0.3999999999999999,0.3999999999999999,True
calibration:periodic rational:0:36,calibration,periodic rational,5,0,36,shuffled,0.013179693155216332,,,False
calibration:periodic rational:0:37,calibration,periodic rational,5,0,37,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:37,calibration,periodic rational,5,0,37,shuffled,0.014385393488680428,,,False
calibration:periodic rational:0:38,calibration,periodic rational,5,0,38,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:38,calibration,periodic rational,5,0,38,shuffled,0.014507821353658856,,,False
calibration:periodic rational:0:39,calibration,periodic rational,5,0,39,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:39,calibration,periodic rational,5,0,39,shuffled,0.013811218399384892,,,False
calibration:periodic rational:0:40,calibration,periodic rational,5,0,40,chronological,1.0000000000000002,0.3999999999999999,0.3999999999999999,True
calibration:periodic rational:0:40,calibration,periodic rational,5,0,40,shuffled,0.01389355087627753,,,False
calibration:periodic rational:0:41,calibration,periodic rational,5,0,41,chronological,1.0000000000000004,0.4,0.3999999999999999,True
calibration:periodic rational:0:41,calibration,periodic rational,5,0,41,shuffled,0.01348398915248021,,,False
calibration:periodic rational:0:42,calibration,periodic rational,5,0,42,chronological,1.0,0.4,0.4,True
calibration:periodic rational:0:42,calibration,periodic rational,5,0,42,shuffled,0.013045384712795776,,,False
calibration:periodic rational:0:43,calibration,periodic rational,5,0,43,chronological,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:43,calibration,periodic rational,5,0,43,shuffled,0.013052512680211894,,,False
calibration:periodic rational:0:44,calibration,periodic rational,5,0,44,chronological,1.0000000000000002,0.4,0.4,True
calibration:periodic rational:0:44,calibration,periodic rational,5,0,44,shuffled,0.012908606914974802,,,False
calibration:periodic rational:0:45,calibration,periodic rational,5,0,45,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:45,calibration,periodic rational,5,0,45,shuffled,0.012850983030418886,,,False
calibration:periodic rational:0:46,calibration,periodic rational,5,0,46,chronological,1.0000000000000002,0.4,0.3999999999999999,True
calibration:periodic rational:0:46,calibration,periodic rational,5,0,46,shuffled,0.012713091932626024,,,False
calibration:periodic rational:0:47,calibration,periodic rational,5,0,47,chronological,1.0,0.4,0.3999999999999999,True
calibration:periodic rational:0:47,calibration,periodic rational,5,0,47,shuffled,0.013785706270167796,,,False
calibration:periodic rational:1:0,calibration,periodic rational,7,1,0,chronological,1.0000000000000002,0.2857142857142857,0.28571428571428564,True
calibration:periodic rational:1:0,calibration,periodic rational,7,1,0,shuffled,0.013190704517107308,,,False
calibration:periodic rational:1:1,calibration,periodic rational,7,1,1,chronological,1.0,0.28571428571428564,0.28571428571428564,True
calibration:periodic rational:1:1,calibration,periodic rational,7,1,1,shuffled,0.013281760373000384,,,False
calibration:periodic rational:1:2,calibration,periodic rational,7,1,2,chronological,1.0,0.28571428571428564,0.28571428571428564,True
