medium,rung,source_rows,smooth_width,transfer_width,smoothed_stress_q05_mpa,smoothed_stress_q95_mpa
dry,-2,122417,3,13,-0.46148819451892675,102.084412147291
dry,-1,122417,5,25,-0.4611548902085178,102.0800360632129
dry,0,122417,10,50,-0.46025552282668514,102.07340941010975
dry,1,122417,20,100,-0.45984727845134327,102.05735723945779
dry,2,122417,40,200,-0.4598355871083919,102.02094866550061
fluid,-2,141984,3,13,0.28596837213262916,78.0983756561686
fluid,-1,141984,5,25,0.2856744574848563,78.09782173180953
fluid,0,141984,10,50,0.28500224866815843,78.09652423097053
fluid,1,141984,20,100,0.28422570536502667,78.09333720329916
fluid,2,141984,40,200,0.28264618868357505,78.08203467329615
