control,handover_time_s,timing_error_s,parent_step
time_shuffle_000,7748.36837,26.3100000000004,0.04779912543581455
time_shuffle_001,7763.08837,11.590000000000146,0.03643648716830361
time_shuffle_002,7761.55237,13.126000000000204,0.1080271870435954
time_shuffle_003,7748.36837,26.3100000000004,0.03984635145344462
time_shuffle_004,7758.22437,16.454000000000633,0.059364568804976175
time_shuffle_005,7740.94437,33.73400000000038,0.037814119976164795
time_shuffle_006,7762.192370000001,12.485999999999876,0.04753686766675469
time_shuffle_007,7774.99237,0.3139999999993961,0.03934838665298557
time_shuffle_008,7766.03237,8.64600000000064,0.06312668257210526
time_shuffle_009,7767.44037,7.238000000000284,0.06297924739089633
time_shuffle_010,7761.68037,12.998000000000502,0.048908030352317486
time_shuffle_011,7746.192370000001,28.485999999999876,0.05656837087631238
time_shuffle_012,7769.10437,5.574000000000524,0.045465151141612245
time_shuffle_013,7734.80037,39.87800000000061,0.040435218685073826
time_shuffle_014,7747.98437,26.694000000000415,0.04169244540004069
time_shuffle_015,7731.85637,42.822000000000116,0.07406660875340093
time_shuffle_016,7754.768370000001,19.909999999999854,0.043107876490636965
time_shuffle_017,7746.960370000001,27.717999999999847,0.07592598785011602
time_shuffle_018,7765.52037,9.158000000000357,0.06407437438752667
time_shuffle_019,7773.2003700000005,1.4780000000000655,0.034289323381517356
time_shuffle_020,7746.70437,27.97400000000016,0.036482052131831644
time_shuffle_021,7747.728370000001,26.949999999999818,0.03827966177995945
time_shuffle_022,7737.36037,37.31800000000021,0.03477968368581763
time_shuffle_023,7761.93637,12.74200000000019,0.0425483047310482
time_shuffle_024,7751.56837,23.110000000000582,0.03803245507266961
time_shuffle_025,7756.68837,17.99000000000069,0.05316076336976616
time_shuffle_026,7761.040370000001,13.63799999999992,0.03669244911245051
time_shuffle_027,7758.22437,16.454000000000633,0.0717142937104732
time_shuffle_028,7756.30437,18.374000000000706,0.03633895567637113
time_shuffle_029,7772.30437,2.3740000000007058,0.04938332187984678
time_shuffle_030,7736.59237,38.08600000000024,0.041561072918974595
time_shuffle_031,7766.1603700000005,8.518000000000029,0.07347837899408763
time_shuffle_032,7752.97637,21.702000000000226,0.036724266170737874
time_shuffle_033,7768.33637,6.342000000000553,0.05085625482585021
time_shuffle_034,7743.120370000001,31.557999999999993,0.04579518971081353
time_shuffle_035,7761.68037,12.998000000000502,0.04773215861090807
time_shuffle_036,7741.9683700000005,32.710000000000036,0.041895991520291664
time_shuffle_037,7751.696370000001,22.98199999999997,0.04292431457443513
time_shuffle_038,7765.90437,8.774000000000342,0.037288829622524444
time_shuffle_039,7767.696370000001,6.981999999999971,0.04812860190286017
time_shuffle_040,7748.11237,26.566000000000713,0.04317403674291387
time_shuffle_041,7748.62437,26.054000000000087,0.04551165700551585
time_shuffle_042,7745.68037,28.998000000000502,0.04192786723975517
time_shuffle_043,7772.43237,2.2460000000000946,0.03468038637915427
time_shuffle_044,7733.3923700000005,41.28600000000006,0.03829365198473611
time_shuffle_045,7742.7363700000005,31.942000000000007,0.03722957568566576
time_shuffle_046,7749.13637,25.54200000000037,0.0346832723943169
time_shuffle_047,7741.84037,32.83800000000065,0.037912662255102036
time_shuffle_048,7771.02437,3.654000000000451,0.0454064015437978
time_shuffle_049,7771.02437,3.654000000000451,0.038418624559401995
time_shuffle_050,7751.312370000001,23.365999999999985,0.06822419220492361
time_shuffle_051,7752.848370000001,21.829999999999927,0.040748062387227835
time_shuffle_052,7770.000370000001,4.677999999999884,0.04189355729459819
time_shuffle_053,7735.18437,39.4940000000006,0.04643467954860384
time_shuffle_054,7742.09637,32.582000000000335,0.04573508235089162
time_shuffle_055,7762.06437,12.614000000000487,0.041475941993297516
time_shuffle_056,7743.888370000001,30.789999999999964,0.06670717298510168
time_shuffle_057,7747.21637,27.462000000000444,0.03775689477354893
time_shuffle_058,7767.18437,7.494000000000597,0.03908151290844497
time_shuffle_059,7756.17637,18.502000000000407,0.03995323512175686
time_shuffle_060,7735.05637,39.6220000000003,0.046954647392008865
time_shuffle_061,7767.82437,6.854000000000269,0.03775377428621596
time_shuffle_062,7750.67237,24.006000000000313,0.045472968304922735
time_shuffle_063,7734.28837,40.39000000000033,0.03799860557429935
time_shuffle_064,7735.312370000001,39.365999999999985,0.04364311555396361
time_shuffle_065,7738.51237,36.16600000000017,0.053263608727109495
time_shuffle_066,7734.9283700000005,39.75,0.04652248636319274
time_shuffle_067,7736.72037,37.95800000000054,0.044649906885256385
time_shuffle_068,7750.1603700000005,24.51800000000003,0.05605542809340002
time_shuffle_069,7743.888370000001,30.789999999999964,0.04307364800238789
time_shuffle_070,7734.41637,40.262000000000626,0.07142269525188547
time_shuffle_071,7735.05637,39.6220000000003,0.05114148846920119
time_shuffle_072,7772.68837,1.9900000000006912,0.03676505838431976
time_shuffle_073,7766.67237,8.006000000000313,0.0693981336900484
time_shuffle_074,7763.85637,10.822000000000116,0.04044976463296668
time_shuffle_075,7755.152370000001,19.52599999999984,0.07887914497308977
time_shuffle_076,7752.97637,21.702000000000226,0.03963037795947348
time_shuffle_077,7749.26437,25.41400000000067,0.04607946211601336
time_shuffle_078,7734.5443700000005,40.134000000000015,0.07622609634383222
time_shuffle_079,7766.5443700000005,8.134000000000015,0.038399262708593396
time_shuffle_080,7734.80037,39.87800000000061,0.06017664686009406
time_shuffle_081,7772.43237,2.2460000000000946,0.14065538627188168
time_shuffle_082,7732.24037,42.4380000000001,0.04241573618362926
time_shuffle_083,7738.384370000001,36.29399999999987,0.08418392594311902
time_shuffle_084,7760.656370000001,14.021999999999935,0.03487426316240949
time_shuffle_085,7735.95237,38.72600000000057,0.08760159126243125
time_shuffle_086,7754.64037,20.038000000000466,0.03633546681782707
time_shuffle_087,7747.344370000001,27.333999999999833,0.11652710899896779
time_shuffle_088,7770.384370000001,4.293999999999869,0.04946600391020411
time_shuffle_089,7748.11237,26.566000000000713,0.04503877096247379
time_shuffle_090,7752.59237,22.08600000000024,0.038984442055008506
time_shuffle_091,7769.87237,4.806000000000495,0.043585368949543346
time_shuffle_092,7734.03237,40.64600000000064,0.05661712144855645
time_shuffle_093,7748.36837,26.3100000000004,0.06523372954454681
