record,rung,role,alarm_index,xT_alarm,xM_alarm,h_alarm,quadrant,x_P,x_R,history_coherence_mean,history_coherence_peak
Wgn20,-2,grandchild,25098,2.0,1.924816739394134,0.9609400422039497,Ab,1.4768488244486158,0.9924683086940996,0.8689452938992338,0.966714398436387
Wgn20,-1,child,25098,2.0,1.5777361376796077,0.7323609111588076,Ab,1.4493481196986289,0.5572893980138801,0.952366511954622,0.997220589713202
Wgn20,0,current,25098,2.0,1.420843307641793,0.5923852480823892,Ab,1.7509775004326937,0.40529929674588494,0.9614797457574299,0.9985509436462181
Wgn20,1,parent,25098,2.0,1.517548992166877,0.6820853822028895,Ab,1.1674204530903307,0.7066762514158904,0.994802740499048,0.9998083023515248
Wgn20,2,grandparent,25098,2.0,1.3913111338631496,0.5625070113205021,Ab,1.5101493570766484,0.5072276710234603,0.9987819597695329,0.9999474046697029
Wgn23,-2,grandchild,25092,1.411491334602949,1.6712694025060264,1.2399219504363426,Ab,1.596861438078777,0.8228212839295772,0.2256303469003163,0.8278085061159562
Wgn23,-1,child,25092,1.0146219414885438,1.4993317543331939,1.9431001601606719,Ab,1.5732410272773651,0.4688587302974656,0.2687878546588076,0.9421293112115642
Wgn23,0,current,25092,1.4665157485791884,1.0644048336209149,0.24261569726313895,Ab,1.5405499757656582,0.45429186197487237,0.5889584665201799,0.9700269600993388
Wgn23,1,parent,25092,1.3897519028058063,1.0775645564332506,0.3319573060172153,Ab,1.6505527947656071,0.4872339880859075,0.8886266930991237,0.9944308732247691
Wgn23,2,grandparent,25092,1.3705177044914245,1.1414742359651804,0.5526424335469451,Ab,1.6710995856285003,0.22166710082768942,0.9823072242250446,0.9994757039169949
