path_id,split,direction,duration,horizon,x_p,x_r,local_loss,null_loss,mean_rho,best_coherent_miss,exact_closure,occupied_16,occupied_32,occupied_64,occupied_128,occupied_256
calibration:q5:d2:w256:r1:irrational_to_rational,calibration,irrational_to_rational,256,1536,2.0,0.00011709684827862684,5.8504218384839185e-05,0.9992449710624312,0.968545890678993,0.0014198299556834912,False,16,32,64,128,256
calibration:q5:d2:w256:r1:irrational_to_rational,calibration,irrational_to_rational,256,1792,2.0,0.0019187583634630954,0.0009592371002027329,0.999851902635037,0.8143234104432684,0.027624939344040214,False,16,32,64,128,256
calibration:q5:d2:w256:r1:irrational_to_rational,calibration,irrational_to_rational,256,2048,2.0,0.0036755621797899688,0.0018359290666334035,0.9989922503437628,0.7101436051285682,0.10713129327060907,False,16,32,64,128,256
calibration:q5:d2:w256:r1:irrational_to_rational,calibration,irrational_to_rational,256,2304,2.0,0.004889234095439362,0.002444469374474702,0.9999395924833638,0.6413438782491955,0.0951821209478623,False,16,32,64,128,256
calibration:q5:d2:w256:r1:irrational_to_rational,calibration,irrational_to_rational,256,2560,2.0,0.0061525180057816625,0.0030747485206568176,0.9995089873015912,0.5977583780026472,0.08557250368930484,False,16,32,64,128,256
calibration:q5:d2:w256:r1:irrational_to_rational,calibration,irrational_to_rational,256,2816,2.0,0.007048829846743617,0.003522677662700054,0.9995070782783735,0.5735587269231922,0.005574653125449744,False,16,32,64,128,256
calibration:q5:d2:w256:r1:irrational_to_rational,calibration,irrational_to_rational,256,3072,2.0,0.007619491870331916,0.003808653828061939,0.9997133385998425,0.5665326935797164,0.005054316916718168,False,16,32,64,128,256
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,512,0.0,0.0,0.0,1.000000000000015,1.0,0.39999999999899927,True,5,5,5,5,5
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,768,0.0,0.0,0.0,1.0013054830287134,1.0,0.3999999999995431,True,5,5,5,5,5
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,1024,0.0,0.0,0.0,0.999395270069757,1.0000000000000002,1.0329644279402305e-12,True,5,5,5,5,5
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,1280,0.0,0.0,0.0,0.9984350547730598,1.0,1.0186794197151392e-12,True,5,5,5,5,5
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,1536,1.3851754937302039,0.01683478060270408,0.0084102098787786,0.9991469538281613,0.968545890679017,0.002801587269111888,False,16,32,60,87,107
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,1792,1.9099148238404713,0.053284319372577764,0.02663550443551258,0.9997501985253949,0.8143234104432928,0.01979292298865656,False,16,32,64,128,219
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,2048,1.995473874708867,0.08052075092380828,0.04026506005339635,1.0001163573721918,0.7101436051285489,0.035004330460303816,False,16,32,64,128,254
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,2304,2.0,0.10250306926102308,0.051251136930664645,0.9999922402353458,0.6413438782491419,0.04695350278304221,False,16,32,64,128,256
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,2560,2.0,0.11989628724609254,0.059945197214654376,0.9999508507150711,0.5977583780025748,0.05656312004161518,False,16,32,64,128,256
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,2816,2.0,0.13355657351926314,0.06677876532953889,1.0000071665496457,0.5735587269233628,0.0045266146403684215,False,16,32,64,128,256
calibration:q5:d2:w256:r1:rational_to_irrational,calibration,rational_to_irrational,256,3072,2.0,0.0058023647713542695,0.0029004973108265344,0.9997638635702524,0.5665326935800121,0.0050469508478440065,False,16,32,64,128,256
calibration:q5:d2:w256:r2:irrational_to_rational,calibration,irrational_to_rational,256,512,2.0,8.181601567964072e-05,4.0758657233316136e-05,0.996349110739173,1.0,0.010101267766291012,False,16,32,64,128,256
