split,case_id,regime,mode,tooth,tooth_position,geometry_onset_tick,lock_onset_tick,unlock_onset_tick
calibration,0,progressive,forward,0,0.013888888888888888,101.0,104.0,
calibration,0,progressive,forward,1,0.041666666666666664,114.0,75.0,
calibration,0,progressive,forward,2,0.06944444444444445,120.0,104.0,
calibration,0,progressive,forward,3,0.09722222222222222,136.0,91.0,
calibration,0,progressive,forward,4,0.125,173.0,154.0,
calibration,0,progressive,forward,5,0.1527777777777778,194.0,45.0,
calibration,0,progressive,forward,6,0.18055555555555555,212.0,200.0,
calibration,0,progressive,forward,7,0.20833333333333334,228.0,223.0,
calibration,0,progressive,forward,8,0.2361111111111111,240.0,204.0,
calibration,0,progressive,forward,9,0.2638888888888889,267.0,189.0,
calibration,0,progressive,forward,10,0.2916666666666667,281.0,279.0,
calibration,0,progressive,forward,11,0.3194444444444444,283.0,34.0,
calibration,0,progressive,forward,12,0.3472222222222222,323.0,84.0,
calibration,0,progressive,forward,13,0.375,330.0,328.0,
calibration,0,progressive,forward,14,0.4027777777777778,346.0,343.0,
calibration,0,progressive,forward,15,0.4305555555555556,373.0,360.0,
calibration,0,progressive,forward,16,0.4583333333333333,392.0,95.0,
calibration,0,progressive,forward,17,0.4861111111111111,392.0,358.0,
calibration,0,progressive,forward,18,0.5138888888888888,412.0,51.0,
calibration,0,progressive,forward,19,0.5416666666666666,432.0,204.0,
calibration,0,progressive,forward,20,0.5694444444444444,461.0,456.0,
calibration,0,progressive,forward,21,0.5972222222222222,473.0,174.0,
calibration,0,progressive,forward,22,0.625,497.0,291.0,
calibration,0,progressive,forward,23,0.6527777777777778,515.0,91.0,
calibration,0,progressive,forward,24,0.6805555555555556,531.0,533.0,
calibration,0,progressive,forward,25,0.7083333333333334,549.0,233.0,
calibration,0,progressive,forward,26,0.7361111111111112,562.0,215.0,
calibration,0,progressive,forward,27,0.7638888888888888,578.0,98.0,
calibration,0,progressive,forward,28,0.7916666666666666,609.0,264.0,
calibration,0,progressive,forward,29,0.8194444444444444,608.0,616.0,
calibration,0,progressive,forward,30,0.8472222222222222,,22.0,
calibration,0,progressive,forward,31,0.875,,253.0,
calibration,0,progressive,forward,32,0.9027777777777778,,125.0,
calibration,0,progressive,forward,33,0.9305555555555556,,471.0,
calibration,0,progressive,forward,34,0.9583333333333334,,103.0,
calibration,0,progressive,forward,35,0.9861111111111112,,23.0,
calibration,0,memory-only,forward,0,0.013888888888888888,101.0,227.0,
calibration,0,memory-only,forward,1,0.041666666666666664,114.0,77.0,
calibration,0,memory-only,forward,2,0.06944444444444445,120.0,185.0,
calibration,0,memory-only,forward,3,0.09722222222222222,136.0,96.0,
calibration,0,memory-only,forward,4,0.125,173.0,580.0,
calibration,0,memory-only,forward,5,0.1527777777777778,194.0,45.0,
calibration,0,memory-only,forward,6,0.18055555555555555,212.0,,
calibration,0,memory-only,forward,7,0.20833333333333334,228.0,363.0,
calibration,0,memory-only,forward,8,0.2361111111111111,240.0,319.0,
calibration,0,memory-only,forward,9,0.2638888888888889,267.0,189.0,
calibration,0,memory-only,forward,10,0.2916666666666667,281.0,395.0,
calibration,0,memory-only,forward,11,0.3194444444444444,283.0,34.0,
calibration,0,memory-only,forward,12,0.3472222222222222,323.0,84.0,
calibration,0,memory-only,forward,13,0.375,330.0,596.0,
calibration,0,memory-only,forward,14,0.4027777777777778,346.0,476.0,
calibration,0,memory-only,forward,15,0.4305555555555556,373.0,,
calibration,0,memory-only,forward,16,0.4583333333333333,392.0,95.0,
calibration,0,memory-only,forward,17,0.4861111111111111,392.0,,
calibration,0,memory-only,forward,18,0.5138888888888888,412.0,51.0,
calibration,0,memory-only,forward,19,0.5416666666666666,432.0,204.0,
calibration,0,memory-only,forward,20,0.5694444444444444,461.0,467.0,
calibration,0,memory-only,forward,21,0.5972222222222222,473.0,174.0,
calibration,0,memory-only,forward,22,0.625,497.0,291.0,
calibration,0,memory-only,forward,23,0.6527777777777778,515.0,91.0,
calibration,0,memory-only,forward,24,0.6805555555555556,531.0,552.0,
calibration,0,memory-only,forward,25,0.7083333333333334,549.0,233.0,
calibration,0,memory-only,forward,26,0.7361111111111112,562.0,215.0,
calibration,0,memory-only,forward,27,0.7638888888888888,578.0,98.0,
calibration,0,memory-only,forward,28,0.7916666666666666,609.0,264.0,
calibration,0,memory-only,forward,29,0.8194444444444444,608.0,,
calibration,0,memory-only,forward,30,0.8472222222222222,,22.0,
calibration,0,memory-only,forward,31,0.875,,253.0,
calibration,0,memory-only,forward,32,0.9027777777777778,,125.0,
calibration,0,memory-only,forward,33,0.9305555555555556,,471.0,
calibration,0,memory-only,forward,34,0.9583333333333334,,103.0,
calibration,0,memory-only,forward,35,0.9861111111111112,,23.0,
calibration,0,late-snap,forward,0,0.013888888888888888,101.0,227.0,
calibration,0,late-snap,forward,1,0.041666666666666664,114.0,77.0,
calibration,0,late-snap,forward,2,0.06944444444444445,120.0,185.0,
calibration,0,late-snap,forward,3,0.09722222222222222,136.0,96.0,
calibration,0,late-snap,forward,4,0.125,173.0,580.0,
calibration,0,late-snap,forward,5,0.1527777777777778,194.0,45.0,
calibration,0,late-snap,forward,6,0.18055555555555555,212.0,615.0,
calibration,0,late-snap,forward,7,0.20833333333333334,228.0,363.0,
calibration,0,late-snap,forward,8,0.2361111111111111,240.0,319.0,
calibration,0,late-snap,forward,9,0.2638888888888889,267.0,189.0,
calibration,0,late-snap,forward,10,0.2916666666666667,281.0,395.0,
calibration,0,late-snap,forward,11,0.3194444444444444,283.0,34.0,
calibration,0,late-snap,forward,12,0.3472222222222222,323.0,84.0,
calibration,0,late-snap,forward,13,0.375,330.0,596.0,
calibration,0,late-snap,forward,14,0.4027777777777778,346.0,476.0,
calibration,0,late-snap,forward,15,0.4305555555555556,373.0,633.0,
calibration,0,late-snap,forward,16,0.4583333333333333,392.0,95.0,
calibration,0,late-snap,forward,17,0.4861111111111111,392.0,637.0,
calibration,0,late-snap,forward,18,0.5138888888888888,412.0,51.0,
calibration,0,late-snap,forward,19,0.5416666666666666,432.0,204.0,
calibration,0,late-snap,forward,20,0.5694444444444444,461.0,467.0,
calibration,0,late-snap,forward,21,0.5972222222222222,473.0,174.0,
calibration,0,late-snap,forward,22,0.625,497.0,291.0,
calibration,0,late-snap,forward,23,0.6527777777777778,515.0,91.0,
calibration,0,late-snap,forward,24,0.6805555555555556,531.0,552.0,
calibration,0,late-snap,forward,25,0.7083333333333334,549.0,233.0,
calibration,0,late-snap,forward,26,0.7361111111111112,562.0,215.0,
calibration,0,late-snap,forward,27,0.7638888888888888,578.0,98.0,
calibration,0,late-snap,forward,28,0.7916666666666666,609.0,264.0,
calibration,0,late-snap,forward,29,0.8194444444444444,608.0,633.0,
calibration,0,late-snap,forward,30,0.8472222222222222,,22.0,
calibration,0,late-snap,forward,31,0.875,,253.0,
calibration,0,late-snap,forward,32,0.9027777777777778,,125.0,
calibration,0,late-snap,forward,33,0.9305555555555556,,471.0,
calibration,0,late-snap,forward,34,0.9583333333333334,,103.0,
calibration,0,late-snap,forward,35,0.9861111111111112,,23.0,
calibration,0,false-seam,forward,0,0.013888888888888888,101.0,540.0,
calibration,0,false-seam,forward,1,0.041666666666666664,114.0,77.0,
calibration,0,false-seam,forward,2,0.06944444444444445,120.0,,
calibration,0,false-seam,forward,3,0.09722222222222222,136.0,96.0,
calibration,0,false-seam,forward,4,0.125,173.0,180.0,
calibration,0,false-seam,forward,5,0.1527777777777778,194.0,45.0,
calibration,0,false-seam,forward,6,0.18055555555555555,212.0,586.0,
calibration,0,false-seam,forward,7,0.20833333333333334,228.0,,
calibration,0,false-seam,forward,8,0.2361111111111111,240.0,204.0,
calibration,0,false-seam,forward,9,0.2638888888888889,267.0,189.0,
calibration,0,false-seam,forward,10,0.2916666666666667,281.0,533.0,
calibration,0,false-seam,forward,11,0.3194444444444444,283.0,34.0,
calibration,0,false-seam,forward,12,0.3472222222222222,323.0,84.0,
calibration,0,false-seam,forward,13,0.375,330.0,,
