delta_r,pair,test_cycle,method,RMSE_ARA,MAE_ARA,waveform_r,direction_agreement,quadrant_agreement,turn_error,endpoint_error,angular_path_error,radial_path_error,fallback_steps
0,1,1,primary,0.9606015661167124,0.7643532744713661,-0.0752307098523354,0.5396825396825397,0.532258064516129,0.2222222222222222,0.020972841079047427,0.10318261431506576,0.15816868269122258,0
0,1,1,direction_blind,0.7163475569895438,0.450318616998333,-0.39685217236742215,0.20634920634920634,0.20967741935483872,0.0,0.054239121647532196,0.05545543586987188,0.10638384894437738,0
0,1,1,wrong_lineage,1.0578287249518088,0.8889481083008276,0.5593696383861781,0.4444444444444444,0.45161290322580644,1.0,1.8335634869456114,0.12334928968073411,0.16864787015070976,0
0,1,1,previous_cycle,0.40500046624380087,0.2706276281859854,0.7310832265455278,0.8253968253968254,0.8225806451612904,0.07142857142857142,0.025527070791085738,0.03533824099733612,0.08363177187735904,0
0,1,2,primary,0.7168073844326281,0.5327697912036127,0.7694066138319872,0.6825396825396826,0.6935483870967742,0.25396825396825395,0.013094440024762191,0.07538005155443522,0.14264463400619193,0
0,1,2,direction_blind,0.7095482334322406,0.4348539234855957,-0.6813687016788785,0.38095238095238093,0.3870967741935484,0.015873015873015872,0.05198190448408377,0.052036666840783355,0.10393335298920245,0
0,1,2,wrong_lineage,1.0913552481563462,0.8943327274949501,0.4825768328585336,0.49206349206349204,0.4838709677419355,1.0,1.8462837989235914,0.12539191464802685,0.1408693835603882,0
0,1,2,previous_cycle,0.6945385559553228,0.47744644606958064,0.20439431607211275,0.6190476190476191,0.6290322580645161,0.14285714285714285,0.03579447758426389,0.06386832295693373,0.10493671476885405,0
0,1,3,primary,0.7711139868299287,0.5510290990762519,-0.465721358268826,0.2222222222222222,0.22580645161290322,0.30158730158730157,0.7265238558197633,0.06488728080538306,0.1555029342819465,0
0,1,3,direction_blind,0.7326381840002397,0.4730420306579868,-0.3947361949456004,0.36507936507936506,0.3709677419354839,0.031746031746031744,0.05249346946344002,0.05491490929577561,0.12227352729889852,0
0,1,3,wrong_lineage,0.8878396427790761,0.6595261968557762,-0.2856922337502041,0.25396825396825395,0.25806451612903225,0.2222222222222222,1.789859028490736,0.08684482634091582,0.1344986346857006,0
