gate,passed,value
P1 asymmetry audit,True,"{""clean_mix_rms"": 0.0, ""asymmetric_mix_rms"": 0.051063103889792086, ""asymmetric_advance_rms"": 0.06226125222917572}"
P2 endpoint recovery,True,minimum grouped median=1.100430; prediction rate=1.0000
P3 relational localization,True,"{""clean"": {""identity"": {""estimate"": 1.425888672470819, ""ci_low"": 1.1208897120436632, ""ci_high"": 1.6450959726996643, ""n"": 72}, ""window_medians"": {""128"": 2.3669920287802597, ""256"": 1.2123918092640906, ""384"": 1.2216461203236122, ""512"": 1.3385808147743319}}, ""asymmetric"": {""identity"": {""estimate"": 6.67426726261084, ""ci_low"": 6.2170860496976275, ""ci_high"": 7.963572022477706, ""n"": 72}, ""window_medians"": {""128"": 7.961453339300988, ""256"": 6.8906477612133585, ""384"": 6.44576793362819, ""512"": 6.3608538527516885}}}"
P4 relational window invariance,True,"{""clean"": {""estimate"": 2.5104554617771555, ""ci_low"": 1.8311252746798345, ""ci_high"": 3.420499897441232, ""n"": 72}, ""asymmetric"": {""estimate"": 2.938798484799122, ""ci_low"": 2.304238598529764, ""ci_high"": 4.460981538396254, ""n"": 72}}"
P5 pair beats either child,True,"{""clean"": {""paired_median"": 1.425888672470819, ""better_single_median"": 335.2735210367788, ""gain"": {""estimate"": 333.9468777238946, ""ci_low"": 327.91175659659467, ""ci_high"": 354.6639546747236, ""n"": 72}}, ""asymmetric"": {""paired_median"": 6.67426726261084, ""better_single_median"": 389.4613788471742, ""gain"": {""estimate"": 384.43596560446076, ""ci_low"": 371.80237411544044, ""ci_high"": 403.4017643181994, ""n"": 72}}}"
P6 wrong-pair specificity,True,"{""clean"": {""paired_median"": 1.425888672470819, ""wrong_pair_median"": 302.2476832838746, ""gain"": {""estimate"": 301.06117586227464, ""ci_low"": 293.56935706803546, ""ci_high"": 304.13247335840373, ""n"": 72}}, ""asymmetric"": {""paired_median"": 6.67426726261084, ""wrong_pair_median"": 290.91775158827625, ""gain"": {""estimate"": 284.17055685562, ""ci_low"": 274.2702644290399, ""ci_high"": 293.62759932331176, ""n"": 72}}}"
