delta_r,method,delta_RMSE_ARA,next_position_RMSE_ARA,direction_agreement,RMSE_ARA,waveform_r
0,direction_blind,0.1366912240960525,0.1366811864441987,0.650395743983798,0.9911775866767654,-0.1434886514862032
0,primary,0.04153076037727373,0.03960557287969052,0.9319827846355028,0.9911775866767654,-0.1434886514862032
0,wrong_lineage,0.04249328699871306,0.04137439190009881,0.9271949006144629,0.9911775866767654,-0.1434886514862032
50,direction_blind,0.12969743525830094,0.12968147429022786,0.6437985188968336,0.8555369163334015,-0.0312111463517443
50,primary,0.0409694765897228,0.0401214461234304,0.9358672316384181,0.8555369163334015,-0.0312111463517443
50,wrong_lineage,0.04238671651713437,0.0409034687588572,0.9349567431100595,0.8555369163334015,-0.0312111463517443
100,direction_blind,0.1271453506376498,0.12702125435707462,0.6064398325465395,0.7967118283801629,-0.0746762561100893
100,primary,0.04317787150401521,0.04158074227627856,0.9276721490424171,0.7967118283801629,-0.0746762561100893
100,wrong_lineage,0.04268890963178626,0.040448531293829165,0.9336886520097712,0.7967118283801629,-0.0746762561100893
150,direction_blind,0.04391645764056647,0.0385319149046158,0.9498968363136175,0.1388349332368313,0.9700990976335108
150,primary,0.025863449289967484,0.023135755886759743,0.957786319405326,0.1388349332368313,0.9700990976335108
150,wrong_lineage,0.10107020878325773,0.07834382675184884,0.8900087410029844,0.1388349332368313,0.9700990976335108
170,direction_blind,0.04077979500859104,0.040750215288985675,0.9672512146994459,0.068943209158006,0.992854229807246
170,primary,0.01931983174185884,0.018329626701783334,0.9747617418398329,0.068943209158006,0.992854229807246
170,wrong_lineage,0.08940952208057776,0.07815775202900424,0.9013022007499776,0.068943209158006,0.992854229807246
190,direction_blind,0.04680067627271396,0.046793219710652284,0.9674702562892873,0.1369321190714358,0.9710798214809028
190,primary,0.027681813322876843,0.026302887894316326,0.9727312957281096,0.1369321190714358,0.9710798214809028
190,wrong_lineage,0.09587785897308099,0.08903045266857249,0.9239154234511915,0.1369321190714358,0.9710798214809028
240,direction_blind,0.11739344220905237,0.11738951601006772,0.6246090331722455,1.0368105374466636,-0.0644064876811811
240,primary,0.03491958505225902,0.03297455373130488,0.9378675542399459,1.0368105374466636,-0.0644064876811811
240,wrong_lineage,0.035638465301322725,0.03471207012499087,0.9343933120314323,1.0368105374466636,-0.0644064876811811
290,direction_blind,0.12089224329273608,0.12088581355955558,0.613094054947171,0.9776382564588892,-0.0890505883559857
290,primary,0.03597265944097424,0.03362716712376166,0.9418856204129027,0.9776382564588892,-0.0890505883559857
290,wrong_lineage,0.03736043076489971,0.034934932999228216,0.9412310041445503,0.9776382564588892,-0.0890505883559857
340,direction_blind,0.11447107971466594,0.11444606628245568,0.6413776940714558,0.9845753104376788,-0.0958299962997416
340,primary,0.033550449155524145,0.03191095891172582,0.9427267020286093,0.9845753104376788,-0.0958299962997416
340,wrong_lineage,0.03545639244153118,0.03360514328688816,0.9435591481833494,0.9845753104376788,-0.0958299962997416
