delta_r,filename,sha256,rows_after_10s,columns,sampling_hz,raw_min,raw_max,pair,events,cycles,train_cycles,test_cycles,a_q05,a_q95,b_q05,b_q95
50,,,,,,,,19.0,73.0,72.0,43.0,29.0,0.083547,0.236089,0.061639,0.258103
50,,,,,,,,20.0,74.0,73.0,43.0,30.0,0.080147,0.230259,0.063907,0.264095
50,,,,,,,,21.0,74.0,73.0,43.0,30.0,0.080795,0.23105279999999964,0.060506,0.254378
50,,,,,,,,22.0,74.0,73.0,43.0,30.0,0.085005,0.245805,0.061477,0.256159
50,,,,,,,,23.0,73.0,72.0,43.0,29.0,0.080795,0.231717,0.061316,0.255511
50,,,,,,,,24.0,74.0,73.0,43.0,30.0,0.079337,0.228478,0.061639,0.257455
50,,,,,,,,25.0,73.0,72.0,43.0,29.0,0.083224,0.236089,0.061477,0.258427
50,,,,,,,,26.0,74.0,73.0,43.0,30.0,0.083709,0.23698709999999987,0.062287,0.26118
50,,,,,,,,27.0,73.0,72.0,43.0,29.0,0.085005,0.242404,0.061105400000000004,0.253082
50,,,,,,,,28.0,74.0,73.0,43.0,30.0,0.079985,0.229611,0.062773,0.26118
50,,,,,,,,29.0,73.0,72.0,43.0,29.0,0.085167,0.245481,0.061639,0.2568799000000001
50,,,,,,,,30.0,73.0,72.0,43.0,29.0,0.085653,0.246452,0.061477,0.2558835999999999
50,,,,,,,,31.0,74.0,73.0,43.0,30.0,0.085814,0.248234,0.06002,0.251786
50,,,,,,,,32.0,74.0,73.0,43.0,30.0,0.083224,0.234955,0.061639,0.257779
50,,,,,,,,33.0,74.0,73.0,43.0,30.0,0.082738,0.234874,0.058886,0.24385
50,,,,,,,,34.0,74.0,73.0,43.0,30.0,0.088082,0.24872,0.059048,0.249195
50,,,,,,,,35.0,73.0,72.0,43.0,29.0,0.085976,0.239651,0.061477,0.256483
50,,,,,,,,36.0,73.0,72.0,43.0,29.0,0.08209,0.234307,0.060992,0.2565720999999999
50,,,,,,,,37.0,73.0,72.0,43.0,29.0,0.084195,0.238194,0.059372,0.249357
50,,,,,,,,38.0,74.0,73.0,43.0,30.0,0.084033,0.240623,0.059048,0.24865229999999966
50,,,,,,,,39.0,74.0,73.0,43.0,30.0,0.0863,0.249043,0.059858,0.250976
50,,,,,,,,40.0,73.0,72.0,43.0,29.0,0.083547,0.238356,0.058886,0.24734819999999977
100,oc091818_41.lvm,024f56d31a112b6f008ac219b16d58b0965044a141dd45933582d6058d463957,38100.0,80.0,200.0,0.051922,0.297946,,,,,,,,,
100,,,,,,,,1.0,76.0,75.0,45.0,30.0,0.090996,0.252768,0.065365,0.2681935999999999
100,,,,,,,,2.0,76.0,75.0,45.0,30.0,0.088729,0.25293,0.061801,0.258265
100,,,,,,,,3.0,76.0,75.0,45.0,30.0,0.086138,0.242242,0.063907,0.264581
100,,,,,,,,4.0,76.0,75.0,45.0,30.0,0.088405,0.250177,0.062125,0.2578437999999996
100,,,,,,,,5.0,76.0,75.0,45.0,30.0,0.088891,0.24813679999999963,0.065851,0.270088
100,,,,,,,,6.0,76.0,75.0,45.0,30.0,0.088567,0.245805,0.062287,0.258913
100,,,,,,,,7.0,76.0,75.0,45.0,30.0,0.088082,0.250015,0.061639,0.257617
100,,,,,,,,8.0,76.0,75.0,45.0,30.0,0.087758,0.245967,0.060668,0.25054669999999973
100,,,,,,,,9.0,76.0,75.0,45.0,30.0,0.089539,0.253739,0.060668,0.25217479999999964
100,,,,,,,,10.0,76.0,75.0,45.0,30.0,0.092778,0.264751,0.06083,0.25366519999999976
100,,,,,,,,11.0,76.0,75.0,45.0,30.0,0.091806,0.2605895999999999,0.062287,0.261018
100,,,,,,,,12.0,76.0,75.0,45.0,30.0,0.091968,0.258597,0.065689,0.271384
100,,,,,,,,13.0,76.0,75.0,45.0,30.0,0.089863,0.25131,0.060668,0.254378
100,,,,,,,,14.0,76.0,75.0,45.0,30.0,0.088405,0.244185,0.061154,0.258265
100,,,,,,,,15.0,76.0,75.0,45.0,30.0,0.089863,0.248396,0.06347770000000003,0.26371529999999965
100,,,,,,,,16.0,76.0,75.0,45.0,30.0,0.088567,0.249529,0.061154,0.252272
