hypothesis,gate,passed,detail
parent,P1 tick reconstruction,True,max 8.88e-16
parent,P2 retained history,True,share 1.000; retention 0.872
parent,P3 pre-closure emergence,True,t 0.250; jump 0.016
parent,P4 cadence stability,True,median 0.000; share 1.000
pure front,F1 current sufficiency,False,small 0.000; median 0.416
pure front,F2 boundary emergence,False,t 0.250; jump 0.016
local front,F3 handover locator,True,median 1.23e-11; p95 7.93e-11
