q,d,duration,replicate,mode,window,true_center,irrational_to_rational,rational_to_irrational,paired_ridge,forward_error,reverse_error,paired_error,paired_abs_error
13,43,256,0,abrupt,128,1408,1440.0,1376.0,1408.0,32.0,-32.0,0.0,0.0
13,43,256,0,abrupt,256,1408,1485.127057163479,1331.7073484463642,1408.4172028049215,77.1270571634791,-76.29265155363578,0.41720280492154416,0.41720280492154416
13,43,256,0,abrupt,384,1408,1547.4196664921549,1269.5218712381366,1408.4707688651456,139.41966649215487,-138.47812876186345,0.470768865145601,0.470768865145601
13,43,256,0,abrupt,512,1408,1611.4196664921549,1205.5218712381366,1408.4707688651456,203.41966649215487,-202.47812876186345,0.470768865145601,0.470768865145601
13,43,256,0,ordered,128,1408,1564.4847860998348,1251.7262928885273,1408.105539494181,156.48478609983476,-156.27370711147273,0.1055394941809027,0.1055394941809027
13,43,256,0,ordered,256,1408,1607.5849056726595,1208.1647310692315,1407.8748183709454,199.5849056726595,-199.8352689307685,-0.12518162905462304,0.12518162905462304
13,43,256,0,ordered,384,1408,1669.6889304711024,1146.0312655390835,1407.8600980050928,261.68893047110237,-261.9687344609165,-0.13990199490717714,0.13990199490717714
13,43,256,0,ordered,512,1408,1733.6889304711024,1082.0312655390835,1407.8600980050928,325.68893047110237,-325.9687344609165,-0.13990199490717714,0.13990199490717714
13,43,256,1,abrupt,128,1432,1459.3530785802648,1408.0,1433.6765392901325,27.353078580264764,-24.0,1.6765392901324958,1.6765392901324958
13,43,256,1,abrupt,256,1432,1507.0312048532878,1356.8010105017763,1431.9161076775322,75.03120485328782,-75.19898949822368,-0.0838923224678183,0.0838923224678183
13,43,256,1,abrupt,384,1432,1569.5457962501623,1294.7620816648025,1432.1539389574823,137.5457962501623,-137.2379183351975,0.15393895748229625,0.15393895748229625
13,43,256,1,abrupt,512,1432,1633.5457962501623,1230.7620816648025,1432.1539389574823,201.5457962501623,-201.2379183351975,0.15393895748229625,0.15393895748229625
13,43,256,1,ordered,128,1432,1587.1858566811964,1280.0,1433.592928340598,155.18585668119636,-152.0,1.592928340598064,1.592928340598064
13,43,256,1,ordered,256,1432,1627.8617918447635,1236.1410840932194,1432.0014379689915,195.8617918447635,-195.85891590678057,0.001437968991467642,0.001437968991467642
13,43,256,1,ordered,384,1432,1689.445764671396,1174.3807878807008,1431.9132762760485,257.4457646713961,-257.61921211929916,-0.08672372395153616,0.08672372395153616
13,43,256,1,ordered,512,1432,1753.445764671396,1110.3807878807008,1431.9132762760485,321.4457646713961,-321.61921211929916,-0.08672372395153616,0.08672372395153616
13,43,256,2,abrupt,128,1456,1487.0211823291354,1426.3881067301847,1456.70464452966,31.0211823291354,-29.611893269815255,0.7046445296600723,0.7046445296600723
13,43,256,2,abrupt,256,1456,1534.108726510229,1379.4312848093298,1456.7700056597794,78.10872651022896,-76.56871519067022,0.7700056597793719,0.7700056597793719
13,43,256,2,abrupt,384,1456,1595.690223491255,1317.7591797864006,1456.7247016388278,139.69022349125498,-138.24082021359936,0.7247016388278098,0.7247016388278098
13,43,256,2,abrupt,512,1456,1659.690223491255,1253.7591797864006,1456.7247016388278,203.69022349125498,-202.24082021359936,0.7247016388278098,0.7247016388278098
13,43,256,2,ordered,128,1456,1600.0,1312.0,1456.0,144.0,-144.0,0.0,0.0
13,43,256,2,ordered,256,1456,1648.3122228489297,1261.3483444075014,1454.8302836282155,192.31222284892965,-194.65165559249863,-1.1697163717844887,1.1697163717844887
13,43,256,2,ordered,384,1456,1709.9782150458536,1199.7725830023303,1454.875399024092,253.97821504585363,-256.2274169976697,-1.1246009759079243,1.1246009759079243
13,43,256,2,ordered,512,1456,1773.9782150458536,1135.7725830023303,1454.875399024092,317.97821504585363,-320.2274169976697,-1.1246009759079243,1.1246009759079243
13,43,256,3,abrupt,128,1480,1504.0,1451.312365181161,1477.6561825905806,24.0,-28.687634818838887,-2.3438174094194437,2.3438174094194437
13,43,256,3,abrupt,256,1480,1553.8258900396384,1403.9555901503284,1478.8907400949834,73.82589003963835,-76.04440984967164,-1.1092599050166427,1.1092599050166427
13,43,256,3,abrupt,384,1480,1616.0104860170911,1341.4654141861852,1478.737950101638,136.01048601709113,-138.53458581381483,-1.2620498983619655,1.2620498983619655
13,43,256,3,abrupt,512,1480,1680.0104860170911,1277.4654141861852,1478.737950101638,200.01048601709113,-202.53458581381483,-1.2620498983619655,1.2620498983619655
13,43,256,3,ordered,128,1480,1631.7532999615205,1330.2228168005972,1480.9880583810589,151.7532999615205,-149.77718319940277,0.9880583810588632,0.9880583810588632
13,43,256,3,ordered,256,1480,1669.769907580272,1286.4025378710555,1478.086222725664,189.76990758027205,-193.59746212894447,-1.9137772743360983,1.9137772743360983
13,43,256,3,ordered,384,1480,1731.4052308754335,1226.14000331104,1478.7726170932367,251.40523087543352,-253.8599966889601,-1.227382906763296,1.227382906763296
13,43,256,3,ordered,512,1480,1795.4052308754335,1162.14000331104,1478.7726170932367,315.4052308754335,-317.8599966889601,-1.227382906763296,1.227382906763296
13,43,256,4,abrupt,128,1505,1536.0,1476.2695083087094,1506.1347541543546,31.0,-28.73049169129058,1.1347541543545958,1.1347541543545958
13,43,256,4,abrupt,256,1505,1581.6302323215791,1431.0389358650182,1506.3345840932986,76.63023232157911,-73.96106413498183,1.3345840932986448,1.3345840932986448
13,43,256,4,abrupt,384,1505,1643.9400134523926,1368.7416426971547,1506.3408280747735,138.94001345239258,-136.2583573028453,1.3408280747735262,1.3408280747735262
13,43,256,4,abrupt,512,1505,1707.9400134523926,1304.7416426971547,1506.3408280747735,202.94001345239258,-200.2583573028453,1.3408280747735262,1.3408280747735262
13,43,256,4,ordered,128,1505,1659.773145224559,1353.6640989333716,1506.7186220789654,154.7731452245589,-151.33590106662837,1.7186220789653817,1.7186220789653817
13,43,256,4,ordered,256,1505,1701.8756239723025,1312.4955006919215,1507.185562332112,196.8756239723025,-192.5044993080785,2.185562332112113,2.185562332112113
13,43,256,4,ordered,384,1505,1763.8827911027854,1251.7278052465874,1507.8052981746864,258.8827911027854,-253.27219475341258,2.8052981746864134,2.8052981746864134
13,43,256,4,ordered,512,1505,1827.8827911027852,1187.7278052465874,1507.8052981746864,322.8827911027852,-317.2721947534126,2.8052981746864134,2.8052981746864134
13,43,256,5,abrupt,128,1529,1557.8395804377228,1504.0,1530.9197902188614,28.839580437722816,-25.0,1.919790218861408,1.919790218861408
13,43,256,5,abrupt,256,1529,1605.0295432558326,1455.5572097816744,1530.2933765187536,76.02954325583255,-73.44279021832563,1.2933765187535755,1.2933765187535755
