split,duration,turns,amplitude,seed,variant,progress,prefix_n,x_p,x_r,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,ref_x_p,ref_x_r,ref_rho_1,ref_rho_2,ref_rho_3,ref_rho_4,ref_rho_5,ref_rho_6,history_distance,suffix_error,recent_tick_error
calibration,513,2,0.18,0,front-loaded,0.125,96,0.8894615691027922,0.285231305365035,0.9999492496818242,0.9995578202499913,0.9983204858180732,0.9940124065117418,0.981910750661232,0.9681910100691454,1.0,0.39898691553601895,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.057594472906309556,0.0,0.0
calibration,513,2,0.18,0,front-loaded,0.25,129,0.8853768209052713,0.19409297394881797,0.9996603397893998,0.9986645568873459,0.9948595040427684,0.981263010852605,0.9417975145444981,0.8970632278136608,0.9617509479740002,0.41574008533137635,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,0.09308823495039835,0.0,0.0
calibration,513,2,0.18,0,front-loaded,0.375,193,0.9117457581548182,0.14233449532494857,0.9993042892675155,0.9972537260514677,0.9893682830379268,0.9611567595728707,0.8827267576402386,0.8221693248167834,0.9740091290666385,0.4571316780857307,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0,1.0,0.13692179008816643,0.0,0.0
calibration,513,2,0.18,0,front-loaded,0.5,257,0.9214660627499226,0.24750693970763468,0.9986483449145321,0.9947068236231975,0.9799492530461866,0.931432407076523,0.8336806021401466,0.893437021816522,1.0,0.25316455955898726,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0,1.0,0.07933378089323746,0.0,0.0
calibration,513,2,0.18,0,front-loaded,0.625,321,0.9562719427049323,0.15137712523022964,0.9983071541449702,0.9933411331930098,0.9745380008125745,0.9105610412807699,0.7524447078279421,0.8250445464764011,1.0,0.10973998567042355,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,0.1141455620902578,0.0,0.0
calibration,513,2,0.18,0,front-loaded,0.75,385,0.9627562382434081,0.08004588504998995,0.9979800401485703,0.9921171248607539,0.970473174473029,0.9017844591107768,0.7579677826253681,0.8117456804323091,1.0,0.0391824505445821,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,0.11600676004475997,0.0,0.0
calibration,513,2,0.18,0,front-loaded,0.875,449,0.9703498082832118,0.014272441716067116,0.9976573745824864,0.9909341878764301,0.9667831560478473,0.895664569084662,0.7742416907376951,0.839335585205275,1.0,0.005474347297141165,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.10595596162220548,0.0,0.0
calibration,513,2,0.18,0,front-loaded,0.96875,497,0.9920003864136168,0.000499218758370885,0.997252230031798,0.9894543189224944,0.9642614011667676,0.8926222582743522,0.7904076631804074,0.8588475882291153,1.0,0.00013592726600839512,1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,0.09800705669384478,0.0,0.0
calibration,513,2,0.18,0,front-loaded,1.0,513,1.0,0.00013560866996746362,0.9973392710652917,0.9897935010293788,0.9634672890874876,0.8918750162022256,0.7964032290353336,0.8633820107629024,1.0,8.939278685173371e-07,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,0.09569028259577599,0.0,0.0
calibration,513,2,0.18,0,back-loaded,0.125,96,0.9288404707023775,0.6248718529590376,0.9999492496818243,0.9995578202499912,0.9983204858180732,0.9940124065117418,0.981910750661232,0.9681910100691455,1.0,0.39898691553601895,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.08475375101486333,0.0,0.0
calibration,513,2,0.18,0,back-loaded,0.25,129,0.8824474657123911,0.6669055546262606,0.9996603397893997,0.9986645568873458,0.9948595040427684,0.981263010852605,0.9417975145444981,0.8970632278136608,0.9617509479740002,0.41574008533137635,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,0.10230838301713031,0.0,0.0
calibration,513,2,0.18,0,back-loaded,0.375,193,0.9064990161654042,0.5425774364415794,0.9993042892675155,0.9972537260514677,0.9893682830379268,0.9611567595728706,0.8827267576402386,0.8221693248167834,0.9740091290666385,0.4571316780857307,1.0,0.9999999999999998,0.9999999999999998,0.9999999999999999,1.0,1.0,0.08577966843977264,0.0,0.0
calibration,513,2,0.18,0,back-loaded,0.5,257,0.9214660627499226,0.25002001562397735,0.9986483449145319,0.9947068236231975,0.9799492530461866,0.931432407076523,0.8336806021401465,0.893437021816522,1.0,0.25316455955898726,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0000000000000002,1.0,1.0,0.0793163522080303,0.0,0.0
calibration,513,2,0.18,0,back-loaded,0.625,321,0.9302103382357862,0.0895569882814011,0.9983071541449703,0.99334113319301,0.9745380008125742,0.91056104128077,0.7524447078279421,0.8250445464764014,1.0,0.10973998567042355,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999998,1.0,0.11503577196162301,0.0,0.0
calibration,513,2,0.18,0,back-loaded,0.75,385,0.9640357924830377,0.016113090209550297,0.9979800401485703,0.992117124860754,0.9704731744730289,0.9017844591107766,0.7579677826253682,0.8117456804323091,1.0,0.0391824505445821,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0,0.11534147592469245,0.0,0.0
calibration,513,2,0.18,0,back-loaded,0.875,449,0.9943087107901549,0.000571549236669914,0.9976573745824863,0.9909341878764302,0.9667831560478471,0.895664569084662,0.7742416907376952,0.839335585205275,1.0,0.005474347297141165,1.0000000000000002,0.9999999999999998,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,0.10542367754312562,0.0,0.0
calibration,513,2,0.18,0,back-loaded,0.96875,497,1.0,0.00013472925162199593,0.997252230031798,0.9894543189224944,0.9642614011667676,0.8926222582743523,0.7904076631804078,0.8588475882291156,1.0,0.00013592726600839512,1.0,0.9999999999999998,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,0.09796615454936412,0.0,0.0
calibration,513,2,0.18,0,back-loaded,1.0,513,1.0,0.00013404598048537015,0.9973392710652917,0.9897935010293787,0.9634672890874876,0.8918750162022258,0.7964032290353337,0.8633820107629024,1.0,8.939278685173371e-07,1.0,0.9999999999999999,1.0000000000000002,1.0,1.0,1.0,0.09569028232237264,0.0,0.0
calibration,513,2,0.18,0,early burst,0.125,96,0.7639039173476951,0.6476031226569667,0.9998545394653913,0.9987162171522576,0.9950344248171314,0.9817277094047789,0.9425432570305415,0.9030990509881294,1.0,0.39898691553601895,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.12777062099554112,0.0,0.0
calibration,513,2,0.18,0,early burst,0.25,129,0.7946306910162781,0.44204823349633676,0.9995087025366383,0.9980896481947497,0.9928263725920033,0.9754019727414517,0.9360462998028396,0.9407854738531508,0.9617509479740002,0.41574008533137635,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,0.0678952773703804,0.0,0.0
