condition,history_s,rung,role,slice,x_P,x_P,x_P,x_P,x_R,x_R,x_R,x_R,coherence,coherence,coherence,coherence,concentration,concentration,concentration,concentration,layer_count,layer_count,layer_count,layer_count,narrowing,narrowing,narrowing,narrowing,open_determined,open_determined,open_determined,open_determined,preformation_score,preformation_score,preformation_score,preformation_score
,,,,,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std
event,8.0,-2,grandchild,"[-1,0)",121,1.00887882387169,1.02835906236796,0.21716066222836963,121,1.9327485981681574,1.8696029273666475,0.1854045512960161,121,0.5761041930187012,0.5706742730493938,0.14919149980948193,121,0.6913013761912508,0.661556976893821,0.17748212961114251,121,3.0,3.0165289256198347,1.210946400371628,112,-0.011611696095337354,-0.009337064515273639,0.06301129949896309,121,0.0,0.0,0.0,0,,,
event,8.0,-2,grandchild,"[-16,-8)",443,1.0538921349986452,1.0637411106672445,0.20957789439880062,443,1.926088087688674,1.8551074028401955,0.20146538733632194,443,0.6172304771121266,0.6095031829336701,0.14302054586340537,443,0.6941319649317359,0.6771118645883675,0.14421919432393027,443,3.0,2.893905191873589,1.1631731681247564,273,-0.00554156996238242,-0.004160808872910064,0.043551406780533236,443,0.0,0.0,0.0,0,,,
event,8.0,-2,grandchild,"[-2,-1)",117,1.0216714356180834,1.0374599842323913,0.19403622584399555,117,1.9390135322327324,1.8761101566843137,0.18004824527480978,117,0.611678210870943,0.6019008555019056,0.1454431522261418,117,0.7224961275401549,0.6895954865938793,0.17201004311930995,117,3.0,2.8974358974358974,1.1699146401562763,61,-0.004222675731447634,-0.007627886734139678,0.052206964588418364,117,0.0,0.0,0.0,0,,,
event,8.0,-2,grandchild,"[-32,-16)",712,1.0538921349986452,1.0590715484456106,0.2037751467249618,712,1.9026811471026455,1.83201155876611,0.21094917803087251,712,0.6021473386078503,0.5983779664844691,0.1467967796499765,712,0.6710120812997047,0.6646367842905639,0.15644145126553136,712,3.0,3.0463483146067416,1.1868184286507597,449,-0.0020989877438113425,-0.0016360725789857657,0.04669181195429346,712,0.0,0.0,0.0,0,,,
event,8.0,-2,grandchild,"[-4,-2)",141,1.0112733522049058,1.0209011975815134,0.20123416920568304,141,1.899034279175383,1.843589128656759,0.1741356689111356,141,0.6200356568479184,0.6069671903799979,0.14979767652027223,141,0.705509535176922,0.6933297095279208,0.15600869334500841,141,3.0,2.9432624113475176,1.0741977049034586,67,-0.0015886799929966111,-0.00014132149679399258,0.04742230718129886,141,0.0,0.0,0.0,0,,,
event,8.0,-2,grandchild,"[-8,-4)",196,1.0679700005769237,1.06455728889853,0.2142651874889729,196,1.9101643632592489,1.823734078568048,0.2390219310706217,196,0.6042801672984814,0.6148808518222745,0.154212134336491,196,0.7003416969361282,0.6721118291213056,0.16210495191342092,196,3.0,2.954081632653061,0.9623335279116911,112,0.0020229568901882766,0.005658665879190769,0.03795380913746902,196,0.0,0.01020408163265306,0.10075590805950717,0,,,
event,8.0,-2,grandchild,"[0,1)",124,1.0347718246217958,1.042453798948657,0.20936664088819504,124,1.9602800887015026,1.8974851948144271,0.14446045200858315,124,0.5896858814967434,0.5717752321910899,0.16001044561119182,124,0.6738402744844313,0.646821326324945,0.16408412439404835,124,3.0,3.1774193548387095,1.3315947227435998,111,-0.008047227582899552,-0.014052979137068737,0.059767058242344094,124,0.0,0.0,0.0,0,,,
event,8.0,-2,grandchild,"[1,2)",126,1.0679700005769237,1.051007679115573,0.21728982621222392,126,1.900938429757609,1.866008104404992,0.13849336951780902,126,0.5940723029107824,0.5761605870140373,0.1457484259530225,126,0.6570413416544724,0.6264487719037295,0.16118449310196833,126,3.0,3.373015873015873,1.2568794817905302,118,-0.00552177781421348,-0.005670508360229584,0.05955423176063217,126,0.0,0.0,0.0,0,,,
event,8.0,-2,grandchild,"[2,4)",185,1.0538921349986452,1.0325893814787586,0.2560311842754052,185,1.9054387230019636,1.837069836837004,0.21931195280102042,185,0.5813776505727108,0.5801491537656669,0.1432581576927736,185,0.6401499975631233,0.6141640029782236,0.1392927274078066,185,3.0,3.454054054054054,1.2020350937587045,86,0.007488224873889671,0.006313045080087001,0.05754264953302328,185,0.0,0.0,0.0,0,,,
