path_id,q,d,duration,replicate,direction,mode,window,baseline_x_r,band_width,peak_excursion,pre_x_r,post_x_r
q11:d31:t320:r0:irrational_to_rational,11,31,320,0,irrational_to_rational,ordered,128,0.026846709736790472,288,0.39090070241913166,0.0030371082144108495,0.026846709736790472
q11:d31:t320:r0:irrational_to_rational,11,31,320,0,irrational_to_rational,ordered,256,0.00029247778467675833,352,1.3626678926749445,0.00029247778467675833,0.0
q11:d31:t320:r0:irrational_to_rational,11,31,320,0,irrational_to_rational,ordered,384,0.00015387971004161464,416,1.9998461202899585,0.00015387971004161464,0.0
q11:d31:t320:r0:irrational_to_rational,11,31,320,0,irrational_to_rational,ordered,512,7.282482017208638e-05,480,1.999927175179828,7.282482017208638e-05,0.0
q11:d31:t320:r0:irrational_to_rational,11,31,320,0,irrational_to_rational,abrupt,128,0.02684670973679051,96,1.9731532902632094,0.0030371082144108495,0.02684670973679051
q11:d31:t320:r0:irrational_to_rational,11,31,320,0,irrational_to_rational,abrupt,256,0.00029247778467675833,160,1.9997075222153233,0.00029247778467675833,0.0
q11:d31:t320:r0:irrational_to_rational,11,31,320,0,irrational_to_rational,abrupt,384,0.00015387971004161464,224,1.9998461202899585,0.00015387971004161464,0.0
q11:d31:t320:r0:irrational_to_rational,11,31,320,0,irrational_to_rational,abrupt,512,7.282482017208638e-05,288,1.999927175179828,7.282482017208638e-05,0.0
q11:d31:t320:r0:rational_to_irrational,11,31,320,0,rational_to_irrational,ordered,128,0.02684670974797683,256,0.3706983553885213,0.02684670974797683,0.003037108213955521
q11:d31:t320:r0:rational_to_irrational,11,31,320,0,rational_to_irrational,ordered,256,0.0002924777841364335,352,1.3398826452692094,0.0,0.0002924777841364335
q11:d31:t320:r0:rational_to_irrational,11,31,320,0,rational_to_irrational,ordered,384,0.00015387970921555566,448,1.9998461202907845,0.0,0.00015387970921555566
q11:d31:t320:r0:rational_to_irrational,11,31,320,0,rational_to_irrational,ordered,512,7.282481944048154e-05,512,1.9999271751805596,0.0,7.282481944048154e-05
q11:d31:t320:r0:rational_to_irrational,11,31,320,0,rational_to_irrational,abrupt,128,0.02684670974797683,96,1.9731532902520232,0.02684670974797683,0.0030371082139555214
q11:d31:t320:r0:rational_to_irrational,11,31,320,0,rational_to_irrational,abrupt,256,0.00029247778413643436,192,1.9997075222158636,0.0,0.00029247778413643436
q11:d31:t320:r0:rational_to_irrational,11,31,320,0,rational_to_irrational,abrupt,384,0.00015387970921626644,320,1.9998461202907838,0.0,0.00015387970921626644
q11:d31:t320:r0:rational_to_irrational,11,31,320,0,rational_to_irrational,abrupt,512,7.282481944260492e-05,448,1.9999271751805574,0.0,7.282481944260492e-05
