path_id,split,q,d,duration,replicate,direction,mode,n_pre,n_handover,n_post,pre_x_p,post_x_p,pre_x_r,post_x_r,baseline_x_r,excursion_x_r,excess_area_x_r,band_width_states,coordinate_roughness,final_post_error_x_r
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,5,2,256,3,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.9999181839842586,0.752248026482918,448,0.4816781953390833,1.3552527156068805e-20
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,5,2,256,3,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.9999181839842586,0.9464476730833411,512,0.4353839299281225,0.0
calibration:q5:d2:w256:r3:rational_to_irrational,calibration,5,2,256,3,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.4478365574781777,0.8976830304182947,640,0.32326258575013994,0.0
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,5,2,256,4,irrational_to_rational,abrupt,15,11,15,2.0,0.0,8.181601574102517e-05,0.0,8.181601574102517e-05,1.556811284119136,0.3535076684264261,256,0.4928182681016199,0.0
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,5,2,256,4,irrational_to_rational,ordered,15,11,15,2.0,0.0,8.181601574102517e-05,0.0,8.181601574102517e-05,1.0120245302317625,0.38254083758983237,320,0.2748832412465515,0.0
calibration:q5:d2:w256:r4:irrational_to_rational,calibration,5,2,256,4,irrational_to_rational,shuffled,15,11,15,2.0,0.0,8.181601574102517e-05,0.0,8.181601574102517e-05,0.6710633885511763,0.3368495908251525,448,0.18962432820923686,0.0
calibration:q5:d2:w256:r4:rational_to_irrational,calibration,5,2,256,4,rational_to_irrational,abrupt,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,1.6007847938496642,0.42551662687290864,320,0.42511938438101265,0.0
calibration:q5:d2:w256:r4:rational_to_irrational,calibration,5,2,256,4,rational_to_irrational,ordered,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.8068102003353855,0.37434100406666904,384,0.21675265717842004,0.0
calibration:q5:d2:w256:r4:rational_to_irrational,calibration,5,2,256,4,rational_to_irrational,shuffled,15,11,15,0.0,2.0,0.0,8.181601574135894e-05,8.181601574135894e-05,0.597738320395397,0.3344564633095422,512,0.18019656062397765,0.0
calibration:q5:d2:w256:r5:irrational_to_rational,calibration,5,2,256,5,irrational_to_rational,abrupt,15,11,15,2.0,0.0,8.181601574112465e-05,0.0,8.181601574112465e-05,0.008205911515147246,0.0018552580533396994,0,0.20024631781162258,0.0
calibration:q5:d2:w256:r5:irrational_to_rational,calibration,5,2,256,5,irrational_to_rational,ordered,15,11,15,2.0,0.0,8.181601574112465e-05,0.0,8.181601574112465e-05,0.004956596635815694,0.0015891062302787347,0,0.09195758503125873,0.0
calibration:q5:d2:w256:r5:irrational_to_rational,calibration,5,2,256,5,irrational_to_rational,shuffled,15,11,15,2.0,0.0,8.181601574112465e-05,0.0,8.181601574112465e-05,0.0031449459074805466,0.0016141056616403484,0,0.09781842624174777,0.0
