turns,amplitude,seed,variant,history_distance
3,0.24,10,back-loaded,0.00018847926788011248
3,0.24,10,early burst,0.00033954572787348676
3,0.24,10,front-loaded,0.0001874092924989054
3,0.24,10,gradual reference,9.953174137805915e-07
3,0.24,10,negative detour,0.0002020393592484317
3,0.24,10,oscillatory detour,0.00024104520361868784
3,0.24,10,positive detour,0.0002031291366969523
3,0.24,10,pseudo-stochastic bridge,0.000246629788275783
3,0.24,11,back-loaded,0.00018847926788011248
3,0.24,11,early burst,0.00033954572787348676
3,0.24,11,front-loaded,0.0001874092924989054
3,0.24,11,gradual reference,9.953174137805915e-07
3,0.24,11,negative detour,0.0002020393592484317
3,0.24,11,oscillatory detour,0.00024104520361868784
3,0.24,11,positive detour,0.0002031291366969523
3,0.24,11,pseudo-stochastic bridge,0.00013725537782011384
3,0.24,12,back-loaded,0.00018847926788011248
3,0.24,12,early burst,0.00033954572787348676
3,0.24,12,front-loaded,0.0001874092924989054
3,0.24,12,gradual reference,9.953174137805915e-07
3,0.24,12,negative detour,0.0002020393592484317
3,0.24,12,oscillatory detour,0.00024104520361868784
3,0.24,12,positive detour,0.0002031291366969523
3,0.24,12,pseudo-stochastic bridge,0.000131037747519223
3,0.24,13,back-loaded,0.00018847926788011248
3,0.24,13,early burst,0.00033954572787348676
3,0.24,13,front-loaded,0.0001874092924989054
3,0.24,13,gradual reference,9.953174137805915e-07
3,0.24,13,negative detour,0.0002020393592484317
3,0.24,13,oscillatory detour,0.00024104520361868784
3,0.24,13,positive detour,0.0002031291366969523
3,0.24,13,pseudo-stochastic bridge,0.00018701802149115733
3,0.36,10,back-loaded,0.00018847926788011248
3,0.36,10,early burst,0.00033954572787348676
3,0.36,10,front-loaded,0.0001874092924989054
3,0.36,10,gradual reference,9.953174137805915e-07
3,0.36,10,negative detour,0.00025720456438030575
3,0.36,10,oscillatory detour,0.000508280112705514
3,0.36,10,positive detour,0.0002583399112577425
3,0.36,10,pseudo-stochastic bridge,0.0003790360017588202
3,0.36,11,back-loaded,0.00018847926788011248
3,0.36,11,early burst,0.00033954572787348676
3,0.36,11,front-loaded,0.0001874092924989054
3,0.36,11,gradual reference,9.953174137805915e-07
3,0.36,11,negative detour,0.00025720456438030575
3,0.36,11,oscillatory detour,0.000508280112705514
3,0.36,11,positive detour,0.0002583399112577425
3,0.36,11,pseudo-stochastic bridge,0.0004016793678135058
3,0.36,12,back-loaded,0.00018847926788011248
3,0.36,12,early burst,0.00033954572787348676
3,0.36,12,front-loaded,0.0001874092924989054
3,0.36,12,gradual reference,9.953174137805915e-07
3,0.36,12,negative detour,0.00025720456438030575
3,0.36,12,oscillatory detour,0.000508280112705514
3,0.36,12,positive detour,0.0002583399112577425
