run_id,condition,row_index,A_real,paired_delta_x_P,joint_positive
1,real,0,0.06855702207410297,-0.23988601513688623,False
1,real,1,0.08508348188452088,-0.4688097307891568,False
1,real,2,0.04608512244729937,0.7346065381466924,True
1,real,3,0.001565858471702462,-0.33109611691672836,False
1,real,4,0.07242290742727349,-0.0664605384617667,False
1,row_reversal,0,0.06855702207410297,-0.0664605384617667,False
1,row_reversal,1,0.08508348188452088,-0.33109611691672836,False
1,row_reversal,2,0.04608512244729937,0.7346065381466924,True
1,row_reversal,3,0.001565858471702462,-0.4688097307891568,False
1,row_reversal,4,0.07242290742727349,-0.23988601513688623,False
1,cyclic_row_shift,0,0.06855702207410297,-0.0664605384617667,False
1,cyclic_row_shift,1,0.08508348188452088,-0.23988601513688623,False
1,cyclic_row_shift,2,0.04608512244729937,-0.4688097307891568,False
1,cyclic_row_shift,3,0.001565858471702462,0.7346065381466924,True
1,cyclic_row_shift,4,0.07242290742727349,-0.33109611691672836,False
1,wrong_lineage,0,0.06855702207410297,0.0,False
1,wrong_lineage,1,0.08508348188452088,0.020220826925208213,True
1,wrong_lineage,2,0.04608512244729937,-0.010412433134056487,False
1,wrong_lineage,3,0.001565858471702462,-0.26316417463703723,False
1,wrong_lineage,4,0.07242290742727349,-0.1781461719219508,False
2,real,0,0.07409141562108804,0.0,False
2,real,1,0.12985888740671483,0.020220826925208213,True
2,real,2,-0.06096671637848041,-0.010412433134056487,False
2,real,3,-0.1311612138950431,-0.26316417463703723,False
2,real,4,0.24126316871219458,-0.1781461719219508,False
2,row_reversal,0,0.07409141562108804,-0.1781461719219508,False
2,row_reversal,1,0.12985888740671483,-0.26316417463703723,False
2,row_reversal,2,-0.06096671637848041,-0.010412433134056487,False
2,row_reversal,3,-0.1311612138950431,0.020220826925208213,False
2,row_reversal,4,0.24126316871219458,0.0,False
2,cyclic_row_shift,0,0.07409141562108804,-0.1781461719219508,False
2,cyclic_row_shift,1,0.12985888740671483,0.0,False
2,cyclic_row_shift,2,-0.06096671637848041,0.020220826925208213,False
2,cyclic_row_shift,3,-0.1311612138950431,-0.010412433134056487,False
2,cyclic_row_shift,4,0.24126316871219458,-0.26316417463703723,False
2,wrong_lineage,0,0.07409141562108804,-0.6174272533865661,False
2,wrong_lineage,1,0.12985888740671483,0.6547201560345299,True
2,wrong_lineage,2,-0.06096671637848041,-0.5118153085019994,False
2,wrong_lineage,3,-0.1311612138950431,0.46215808928725544,False
2,wrong_lineage,4,0.24126316871219458,-0.09243704752864634,False
3,real,0,0.41916842011765615,-0.6174272533865661,False
3,real,1,0.26372089403675186,0.6547201560345299,True
3,real,2,0.046869858924034155,-0.5118153085019994,False
3,real,3,0.08261390643557037,0.46215808928725544,True
3,real,4,0.13873178584007564,-0.09243704752864634,False
3,row_reversal,0,0.41916842011765615,-0.09243704752864634,False
3,row_reversal,1,0.26372089403675186,0.46215808928725544,True
3,row_reversal,2,0.046869858924034155,-0.5118153085019994,False
3,row_reversal,3,0.08261390643557037,0.6547201560345299,True
3,row_reversal,4,0.13873178584007564,-0.6174272533865661,False
3,cyclic_row_shift,0,0.41916842011765615,-0.09243704752864634,False
3,cyclic_row_shift,1,0.26372089403675186,-0.6174272533865661,False
3,cyclic_row_shift,2,0.046869858924034155,0.6547201560345299,True
3,cyclic_row_shift,3,0.08261390643557037,-0.5118153085019994,False
3,cyclic_row_shift,4,0.13873178584007564,0.46215808928725544,True
3,wrong_lineage,0,0.41916842011765615,-0.6983718990829719,False
3,wrong_lineage,1,0.26372089403675186,-0.516981990926499,False
3,wrong_lineage,2,0.046869858924034155,-0.6729218770654548,False
3,wrong_lineage,3,0.08261390643557037,0.20358182361734223,True
3,wrong_lineage,4,0.13873178584007564,0.7217311934982154,True
4,real,0,-0.08502884740839065,-0.6983718990829719,False
4,real,1,0.26984320741794565,-0.516981990926499,False
4,real,2,-0.06983187508250152,-0.6729218770654548,False
4,real,3,0.0028800905103795707,0.20358182361734223,True
4,real,4,0.15819795904696288,0.7217311934982154,True
4,row_reversal,0,-0.08502884740839065,0.7217311934982154,False
4,row_reversal,1,0.26984320741794565,0.20358182361734223,True
4,row_reversal,2,-0.06983187508250152,-0.6729218770654548,False
4,row_reversal,3,0.0028800905103795707,-0.516981990926499,False
4,row_reversal,4,0.15819795904696288,-0.6983718990829719,False
4,cyclic_row_shift,0,-0.08502884740839065,0.7217311934982154,False
4,cyclic_row_shift,1,0.26984320741794565,-0.6983718990829719,False
4,cyclic_row_shift,2,-0.06983187508250152,-0.516981990926499,False
4,cyclic_row_shift,3,0.0028800905103795707,-0.6729218770654548,False
4,cyclic_row_shift,4,0.15819795904696288,0.20358182361734223,True
4,wrong_lineage,0,-0.08502884740839065,-0.2612725608710127,False
4,wrong_lineage,1,0.26984320741794565,-0.46165277537545624,False
4,wrong_lineage,2,-0.06983187508250152,0.6514656263541008,False
4,wrong_lineage,3,0.0028800905103795707,-0.2230055160017428,False
4,wrong_lineage,4,0.15819795904696288,-0.18957257583125564,False
5,real,0,0.15728784392651163,-0.2612725608710127,False
5,real,1,0.026946517060080857,-0.46165277537545624,False
5,real,2,0.27331409604774237,0.6514656263541008,True
5,real,3,0.09643593455865714,-0.2230055160017428,False
5,real,4,0.0784270955059503,-0.18957257583125564,False
5,row_reversal,0,0.15728784392651163,-0.18957257583125564,False
5,row_reversal,1,0.026946517060080857,-0.2230055160017428,False
5,row_reversal,2,0.27331409604774237,0.6514656263541008,True
5,row_reversal,3,0.09643593455865714,-0.46165277537545624,False
5,row_reversal,4,0.0784270955059503,-0.2612725608710127,False
5,cyclic_row_shift,0,0.15728784392651163,-0.18957257583125564,False
5,cyclic_row_shift,1,0.026946517060080857,-0.2612725608710127,False
5,cyclic_row_shift,2,0.27331409604774237,-0.46165277537545624,False
5,cyclic_row_shift,3,0.09643593455865714,0.6514656263541008,True
5,cyclic_row_shift,4,0.0784270955059503,-0.2230055160017428,False
5,wrong_lineage,0,0.15728784392651163,-0.23988601513688623,False
5,wrong_lineage,1,0.026946517060080857,-0.4688097307891568,False
5,wrong_lineage,2,0.27331409604774237,0.7346065381466924,True
5,wrong_lineage,3,0.09643593455865714,-0.33109611691672836,False
5,wrong_lineage,4,0.0784270955059503,-0.0664605384617667,False
