gate,passed,observed
G1 source and identity QA,True,source=True; |r|=0.1498; release/slip error=0.0780 s
G2 dense child tension handover,False,quadrants=4/4; storage drop=1.176; max x_F=1.979; reconnect=None
G3 dense Irrationality parent,False,quadrants=3/4; handover error=0.2820 s; release-step percentile=0.6964
G4 chronology and marker specificity,True,real=0.2820 s; shuffle median=20.1500 s; reversal=13.7660; storage_only=28.5500; signless_transfer=28.5500; wrong_marker_0.25=33.6980; wrong_marker_0.50=22.5600; wrong_marker_0.75=11.4220
G5 repeated child tension handover,False,all=0/15; dry=0/10; fluid=0/5
G6 repeated Irrationality parent,False,all=6/15; dry=5/10; fluid=1/5
