rung,role,history_width,x_P,x_R,history_coherence_mean,history_coherence_peak,radius_mean,irrationality_quadrant,local_xS,local_xF,local_parent_quadrant,local_child_h
-2,grandchild,64,1.6739194692557353,1.3506139369562729,0.9265572729950329,1.0,1.055640703371588,Ab,2.0,1.490204156173947,Ab,0.6579020118055917
-1,child,128,1.6098789600833643,1.2338695469524186,0.9684350761033509,0.9950964397396506,1.0262909859711922,Ab,2.0,1.368518657788282,Ab,0.5385657779541856
0,current,256,1.7976304195381083,0.6110384152926892,0.9626539407695409,0.9991006080567966,1.041988930049928,aB,2.0,0.9684189797803023,aB,
1,parent,512,1.774072943916681,0.1749498619969864,0.9722604555670504,0.9997959517491154,1.0692820908578025,aB,2.0,0.7438339345945637,aB,
2,grandparent,1024,1.6153631194101663,0.09102582340000683,0.9904778326350734,0.9999577989867096,1.12641742001074,aB,2.0,0.7144121469587591,aB,
