identity,family,stratum,condition,x_p,x_r,local_loss,null_loss,cycle_rho,cycle_miss_signed,cycle_miss_abs,best_rho,best_lag,best_miss_abs,median_rho,orientation,windows,cycle_closure_share,coherent_return_share
double:driven1,double,driven1,broken_lineage,1.6162577437997776,0.6886731472279091,0.3757561743878207,1.022527726616799,0.7182285255984788,-0.14382203231224017,0.14382203231224017,0.8049150418400032,7.0,0.21008700436257272,0.6130123765265276,0.2096207138098849,18,0.0,0.5
double:driven1,double,driven1,chronological,1.267838277095195,0.12276782190746073,0.056214936782763916,0.9330600974988449,0.9972452985057898,0.0020807438322918447,0.005057362935092012,0.9987621182545211,4.0,0.4974569261938392,0.9085232567196133,0.12228438556169427,18,1.0,1.0
double:driven1,double,driven1,reversed,1.267838277095195,0.12577773075730436,0.05890187024219187,0.9369456631430753,0.9972452985057898,-0.002080743832291845,0.005057362935092012,0.9987621182545211,4.0,0.4974569261938392,0.9085232567196133,-0.12228438556169427,18,1.0,1.0
double:driven1,double,driven1,shuffled,1.267838277095195,1.7746307212402752,1.0696787987008665,1.1266262758251062,0.17075397785169572,-0.15247308623931033,0.21173720845278482,0.39233781501396336,13.5,0.32249111858909724,0.1655293682061518,-0.11968860108579868,18,0.0,0.0
double:driven2,double,driven2,broken_lineage,1.5645814086990288,1.1064119831881092,0.5136460189331498,0.9697249108491569,0.42428640612604873,0.26456670919468706,0.26456670919468706,0.6880806397197997,7.0,0.3579164716694576,0.45028705295162963,0.2120922209136415,12,0.0,0.0
double:driven2,double,driven2,chronological,1.5757446397113568,0.6362182168175815,0.3180593950440655,0.9989640119155783,0.547237907161715,-0.026002115538487063,0.026002115538487063,0.746397958036779,4.0,0.3891827372569208,0.5762364237682588,0.14629851175572112,12,0.0,0.08333333333333333
double:driven2,double,driven2,reversed,1.5757446397113568,0.8408398896355884,0.4093129236331838,0.9443572290644058,0.547237907161715,0.026002115538487074,0.026002115538487074,0.746397958036779,4.0,0.3891827372569209,0.5762364237682589,-0.14629851175572112,12,0.0,0.08333333333333333
double:driven2,double,driven2,shuffled,1.5757446397113568,1.9437974186653646,0.9936179862233585,0.9851963105926351,0.17187729694913334,-0.020041829899915757,0.2471577572897064,0.3998438011393005,10.5,0.2922508035558563,0.19375846326856688,0.026830895136704835,12,0.0,0.0
double:free,double,free,broken_lineage,1.64480778546484,0.07259718635674206,0.03144706627965734,0.8977176010705353,0.9938283277158817,0.4582949771497825,0.46605365012437505,0.9960510780032025,8.0,0.4720822888282542,0.9654054161759109,0.05788658780473044,40,0.0,1.0
double:free,double,free,chronological,1.167538701404113,0.10312678115258306,0.044413622344066206,0.9265224222990465,0.9931516905267703,-0.0006150985774337687,0.002440889168237313,0.9986232805281023,8.0,0.0018607940371989592,0.9190366298136108,0.12446649040609517,40,0.675,0.9
double:free,double,free,reversed,1.167538701404113,0.08608708689784236,0.03965653887110985,0.9075377062520924,0.9931516905267703,0.0006150985774337686,0.0024408891682373085,0.9986232805281023,8.0,0.001860794037198959,0.9190366298136107,-0.12446649040609517,40,0.675,0.9
double:free,double,free,shuffled,1.167538701404113,1.9404323783488957,1.0244392887089657,1.044246865081104,0.1652141171476985,0.1682826840070377,0.2756910889821649,0.3821580441394456,12.0,0.24787927556895412,0.1815369617235956,0.026204804897939773,40,0.0,0.0
single:driven1,single,driven1,chronological,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,1.0,0.0,0.0,1.0,2.0,0.25,1.0,0.125,7,1.0,1.0
single:driven1,single,driven1,reversed,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,1.0,0.0,0.0,1.0,2.0,0.25,1.0,-0.125,7,1.0,1.0
single:driven1,single,driven1,shuffled,0.5999999999999995,1.8844527272413694,1.0678565454367759,1.1333333333333333,0.1604487366468594,-0.05223643082780975,0.22295663800765184,0.4258393412478113,11.0,0.3444304246602341,0.18801726208483543,0.07596131805486395,7,0.0,0.0
single:driven2,single,driven2,chronological,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,1.0,0.0,0.0,1.0,2.0,0.25,1.0,0.125,6,1.0,1.0
single:driven2,single,driven2,reversed,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,1.0,0.0,0.0,1.0,2.0,0.25,1.0,-0.125,6,1.0,1.0
single:driven2,single,driven2,shuffled,0.5999999999999995,1.9394380649426177,1.062404649119785,1.1,0.23439066208964005,0.05221713622151279,0.31102295809083214,0.43546873873592035,7.0,0.22662264183095715,0.16036659955713817,0.10080265228118065,6,0.0,0.0
single:free,single,free,chronological,0.5999999999999995,0.06492355752920331,0.03029766018029488,0.9333333333333333,1.0,0.0,0.0,1.0,2.0,0.25,1.0,0.125,1,1.0,1.0
single:free,single,free,reversed,0.5999999999999995,0.06492355752920335,0.030297660180294894,0.9333333333333332,1.0,0.0,0.0,1.0,2.0,0.25,1.0,-0.125,1,1.0,1.0
single:free,single,free,shuffled,0.5999999999999995,2.0,1.2158944567191639,1.1278077232482207,0.10206207261596575,0.4020433619923482,0.4020433619923482,0.41439208543888295,6.0,0.4421837315047693,0.12542429785981557,0.4469067647173964,1,0.0,0.0
