gate,passed,value
R1 endpoint separation,True,minimum grouped median=1.409589; prediction rate=1.0000
R2 known-centre localization,False,"{""irrational_to_rational:ordered"": {""estimate"": 325.2231030928165, ""ci_low"": 320.3025984196229, ""ci_high"": 334.5143633115813, ""n"": 54}, ""irrational_to_rational:abrupt"": {""estimate"": 107.03249162831344, ""ci_low"": 105.10112707676228, ""ci_high"": 108.8887936201786, ""n"": 54}, ""rational_to_irrational:ordered"": {""estimate"": 320.3270847886845, ""ci_low"": 316.6135422286469, ""ci_high"": 332.4055111611016, ""n"": 54}, ""rational_to_irrational:abrupt"": {""estimate"": 104.89366530980374, ""ci_low"": 104.03587531217477, ""ci_high"": 107.3950789299422, ""n"": 54}}"
R3 window invariance,False,"{""irrational_to_rational:ordered"": {""estimate"": 166.32844317656338, ""ci_low"": 164.07404852026252, ""ci_high"": 167.67186609098587, ""n"": 54}, ""irrational_to_rational:abrupt"": {""estimate"": 172.07540300744836, ""ci_low"": 170.99767733102271, ""ci_high"": 172.87302961176897, ""n"": 54}, ""rational_to_irrational:ordered"": {""estimate"": 165.8611795235006, ""ci_low"": 163.7415572122609, ""ci_high"": 167.970871972611, ""n"": 54}, ""rational_to_irrational:abrupt"": {""estimate"": 173.07059159711912, ""ci_low"": 169.575322546826, ""ci_high"": 173.84997903439591, ""n"": 54}}"
R4 directional complement,False,"{""irrational_to_rational"": 325.2231030928165, ""rational_to_irrational"": -320.3270847886845}"
R5 broadening without centre drift,False,"{""irrational_to_rational:ordered"": {""widths"": [64.0, 96.0, 128.0, 128.0], ""centre_error_slope"": 0.42958125837403144}, ""irrational_to_rational:abrupt"": {""widths"": [32.0, 96.0, 96.0, 128.0], ""centre_error_slope"": 0.44757168649047996}, ""rational_to_irrational:ordered"": {""widths"": [64.0, 96.0, 128.0, 128.0], ""centre_error_slope"": -0.42907271128809366}, ""rational_to_irrational:abrupt"": {""widths"": [32.0, 96.0, 96.0, 112.0], ""centre_error_slope"": -0.4475540703714198}}"
R6 wrong-time control,False,"{""irrational_to_rational:ordered"": {""true_median"": 325.2231030928165, ""wrong_median"": 653.9219446671343, ""difference"": {""estimate"": 431.9124307721472, ""ci_low"": 184.01123431182396, ""ci_high"": 652.0, ""n"": 54}}, ""irrational_to_rational:abrupt"": {""true_median"": 107.03249162831344, ""wrong_median"": 644.642109877501, ""difference"": {""estimate"": 547.5818119716353, ""ci_low"": 438.53845094108715, ""ci_high"": 652.0, ""n"": 54}}, ""rational_to_irrational:ordered"": {""true_median"": 320.3270847886845, ""wrong_median"": 651.9474253734925, ""difference"": {""estimate"": 429.0065037162394, ""ci_low"": 17.006094185760503, ""ci_high"": 652.0, ""n"": 54}}, ""rational_to_irrational:abrupt"": {""true_median"": 104.89366530980374, ""wrong_median"": 659.6731365812443, ""difference"": {""estimate"": 563.8382561821613, ""ci_low"": 471.05486005153034, ""ci_high"": 652.0, ""n"": 54}}}"
