control_family,run_id,condition,value
parent_channel,1,real,0.7562564708483117
parent_channel,1,mirror,0.8044336101016786
parent_channel,1,shift_minus,0.8139546180647272
parent_channel,1,shift_plus,0.46497277946921545
parent_channel,2,real,0.8968857791871063
parent_channel,2,mirror,0.8517910212237776
parent_channel,2,shift_minus,0.7073721248259546
parent_channel,2,shift_plus,0.56742318657148
parent_channel,3,real,0.42101216837917704
parent_channel,3,mirror,0.48596769423062464
parent_channel,3,shift_minus,0.154929592797609
parent_channel,3,shift_plus,0.4880384563952771
parent_channel,4,real,0.21307194626303358
parent_channel,4,mirror,0.8124237486244726
parent_channel,4,shift_minus,0.3879624300675496
parent_channel,4,shift_plus,0.4504753046376675
parent_channel,5,real,0.7751953035558468
parent_channel,5,mirror,0.7421513793275928
parent_channel,5,shift_minus,0.8254286788879284
parent_channel,5,shift_plus,0.4675303881590128
chronology,1,real,0.2
chronology,1,row_reversal,0.2
chronology,1,cyclic_row_shift,0.2
chronology,1,wrong_lineage,0.2
chronology,2,real,0.2
chronology,2,row_reversal,0.0
chronology,2,cyclic_row_shift,0.0
chronology,2,wrong_lineage,0.2
chronology,3,real,0.4
chronology,3,row_reversal,0.4
chronology,3,cyclic_row_shift,0.4
chronology,3,wrong_lineage,0.4
chronology,4,real,0.4
chronology,4,row_reversal,0.2
chronology,4,cyclic_row_shift,0.2
chronology,4,wrong_lineage,0.0
chronology,5,real,0.2
chronology,5,row_reversal,0.2
chronology,5,cyclic_row_shift,0.2
chronology,5,wrong_lineage,0.2
connection_layout,0,real,0.0784270955059503
connection_layout,0,mirror,0.07842709550595033
connection_layout,0,half_column_shift,-0.07795963741137635
connection_layout,0,cyclic_row_shift,-0.05594165849140861
connection_layout,0,stagger_inversion,-0.0779596374113764
