pair_id,condition,true_center,paired_abs_error_median,paired_parent_range,better_single_error_median,wrong_pair_abs_error_median,paired_error_median
q19:d59:t288:r0,asymmetric,1376.0,6.3797047458069756,1.8565137315058564,293.05072294733327,300.06563560124437,6.3797047458069756
q19:d59:t288:r0,clean,1376.0,1.8176648725860787,3.420499897441232,260.3292419420802,302.0184818787502,1.8176648725860787
q19:d59:t288:r1,asymmetric,1395.0,3.656307020749523,6.835140430416459,297.75194908397157,295.937547400481,3.656307020749523
q19:d59:t288:r1,clean,1395.0,1.4333850843828486,4.656629991120099,263.446968605857,304.61716428780494,0.9532240337458688
q19:d59:t288:r2,asymmetric,1414.0,6.711202149629003,5.189360693551862,292.40815904689305,302.94241393194704,6.711202149629003
q19:d59:t288:r2,clean,1414.0,6.102546211117215,8.02787165240602,247.48948843365156,300.67381429538875,6.102546211117215
q19:d59:t288:r3,asymmetric,1433.0,2.853558121022843,12.683370481379143,291.0492202031811,295.60584453861304,1.1455775380530895
q19:d59:t288:r3,clean,1433.0,1.3009701477280942,8.616562061524746,260.26665848850485,306.2686399942462,-1.3009701477280942
q19:d59:t288:r4,asymmetric,1452.0,2.043637714733677,2.4877277107307236,296.6961452022472,232.39497181017293,2.043637714733677
q19:d59:t288:r4,clean,1452.0,0.7403506505147561,4.992111277024833,261.97015417539274,254.65163462953137,0.09242324242472932
q19:d59:t288:r5,asymmetric,1471.0,6.081369652401236,2.610025612372283,291.98208301822206,237.0586456962601,6.081369652401236
q19:d59:t288:r5,clean,1471.0,1.0234975542500706,5.9272225859456285,262.0668358903263,252.60246788068798,-0.789995744019734
q19:d59:t288:r6,asymmetric,1490.0,2.436635838102461,5.529037282800118,297.2522825121863,233.37527597787425,1.3684520828156792
q19:d59:t288:r6,clean,1490.0,0.5404534833719481,2.645002090183425,264.76185795618653,254.8494288084488,0.3254081789648353
q19:d59:t288:r7,asymmetric,1509.0,6.637332375592678,6.48606419972748,292.3887846029112,237.39931076818368,6.637332375592678
q19:d59:t288:r7,clean,1509.0,3.046627205455252,10.57263436663834,261.0,257.3640042382784,3.046627205455252
q19:d59:t480:r0,asymmetric,1527.0,6.760228937302827,4.820253744640013,411.82025374464,300.56165643321765,6.760228937302827
q19:d59:t480:r0,clean,1527.0,2.1099267713447034,9.369708131405105,357.46525386824305,304.301623418042,0.6800781717984137
q19:d59:t480:r1,asymmetric,1546.0,6.036642860266966,1.6209355224880255,414.63304588673657,298.9328683624758,6.036642860266966
q19:d59:t480:r1,clean,1546.0,1.7769672660501783,5.68174725952872,356.7888378223496,304.80920192566305,1.7769672660501783
q19:d59:t480:r2,asymmetric,1565.0,7.927442331793827,6.462565394562716,410.3737747588317,299.66774050814786,7.927442331793827
q19:d59:t480:r2,clean,1565.0,2.7332357894116512,6.6204300007066195,355.0,307.89132746143173,0.9044568501443564
q19:d59:t480:r3,asymmetric,1584.0,7.007011087612909,12.749972057535615,400.0,303.3724648573673,7.007011087612909
q19:d59:t480:r3,clean,1584.0,0.736416757638608,1.1390578355672005,355.05245555078636,305.2950231397059,0.736416757638608
q19:d59:t480:r4,asymmetric,1603.0,6.4222291695318745,7.226274896655696,415.5566146518629,418.8086072217154,6.4222291695318745
q19:d59:t480:r4,clean,1603.0,4.064131476761304,10.023796360147799,352.77889569011097,402.0282295665427,4.064131476761304
q19:d59:t480:r5,asymmetric,1622.0,7.275201686091123,8.689886856605426,406.0,422.1049422921923,7.275201686091123
q19:d59:t480:r5,clean,1622.0,1.4778894736659822,7.006646571061992,360.14815206733874,404.8834689138894,-0.9677714938128474
q19:d59:t480:r6,asymmetric,1641.0,9.412347780811388,2.913822363835152,412.56125042431324,420.5325984753165,9.412347780811388
q19:d59:t480:r6,clean,1641.0,1.5418704904451488,6.712217296646941,358.59767861859734,401.9089624041944,1.5418704904451488
q19:d59:t480:r7,asymmetric,1660.0,7.941085817140902,7.809409331881852,411.59571181003787,417.8938177919056,7.941085817140902
q19:d59:t480:r7,clean,1660.0,1.974550474436569,2.7956434785382953,352.21176807314635,396.69760952972183,1.974550474436569
q19:d59:t672:r0,asymmetric,1679.0,11.280813449842185,9.046421129170994,527.0,477.72790261115915,11.280813449842185
q19:d59:t672:r0,clean,1679.0,1.4663388672222482,0.9876218721037731,452.4994017876028,447.6287983153868,1.4663388672222482
q19:d59:t672:r1,asymmetric,1698.0,10.582958921441445,3.6494240017041193,530.0606491146041,480.09895744832374,10.582958921441445
q19:d59:t672:r1,clean,1698.0,4.073900407633346,4.480035650627997,450.0,450.60367229434473,4.073900407633346
q19:d59:t672:r2,asymmetric,1717.0,12.250218771961045,2.276714996321971,527.1870439907141,485.5779717444643,12.250218771961045
