pair_id,condition,true_center,paired_abs_error_median,paired_parent_range,better_single_error_median,wrong_pair_abs_error_median,paired_error_median
q19:d59:t672:r2,clean,1717.0,1.1801900296716212,6.41293390532519,454.60389074356965,447.9738739828076,0.6033948817432702
q19:d59:t672:r3,asymmetric,1736.0,8.0,1.0833557573546386,520.0,471.96336434677437,8.0
q19:d59:t672:r3,clean,1736.0,1.2445687293527499,7.733934947008947,450.75687601726247,448.23001516110776,1.2445687293527499
q19:d59:t672:r4,asymmetric,1755.0,10.386934954799017,7.9073513450016435,528.2261300904019,427.2889411163792,10.386934954799017
q19:d59:t672:r4,clean,1755.0,1.1968803595365216,12.004325742754645,451.31746044148304,398.7641384809888,-0.6187433985804773
q19:d59:t672:r5,asymmetric,1774.0,12.440055901461164,7.613227611048842,525.0409173457592,424.87330078045966,12.440055901461164
q19:d59:t672:r5,clean,1774.0,1.4195822830602083,1.3979695369605452,455.8837190150259,403.10267993016305,1.4195822830602083
q19:d59:t672:r6,asymmetric,1792.0,10.134765580459657,7.147145980299683,534.1939389292223,422.0904436384999,10.134765580459657
q19:d59:t672:r6,clean,1792.0,0.6043494198175949,1.2242429013740548,452.11774180874806,404.19764591751823,0.6043494198175949
q19:d59:t672:r7,asymmetric,1811.0,11.15858915333456,4.208303973505281,531.0,421.1606958421903,11.15858915333456
q19:d59:t672:r7,clean,1811.0,1.4321950618814299,4.473057461399549,456.41394543362026,399.4431398374595,0.7775864101240586
q29:d61:t288:r0,asymmetric,1830.0,4.200884585378844,1.0132849559456645,272.5315677022636,291.00150422016236,4.200884585378844
q29:d61:t288:r0,clean,1830.0,0.44415146148571694,1.5310044328487038,240.6766441390546,293.2772483162139,0.44415146148571694
q29:d61:t288:r1,asymmetric,1849.0,3.075320473013676,3.124625843330932,271.03310831056046,283.9836637694916,3.075320473013676
q29:d61:t288:r1,clean,1849.0,3.280359361647129,2.508793300472462,231.20924927544615,292.44028712001364,-3.280359361647129
q29:d61:t288:r2,asymmetric,1868.0,6.58873689600091,0.2605753152552097,267.8567261973484,288.32878434439635,6.58873689600091
q29:d61:t288:r2,clean,1868.0,3.523232476298517,1.9095320932137838,239.5247400698113,298.33971909537877,3.523232476298517
q29:d61:t288:r3,asymmetric,1887.0,6.483677915083149,2.9220156839203355,271.64964803006274,290.83399895639013,6.483677915083149
q29:d61:t288:r3,clean,1887.0,1.0448990645508047,0.7625408760782193,232.5839629696436,290.1774212405335,1.0448990645508047
q29:d61:t288:r4,asymmetric,1906.0,4.754165927022655,0.31721446403912523,271.0268492939955,227.94480028833937,4.754165927022655
q29:d61:t288:r4,clean,1906.0,2.0079266828043956,1.1879250816134572,239.63928417734837,252.06762134197334,2.0079266828043956
q29:d61:t288:r5,asymmetric,1925.0,4.74282827625143,1.0113944367110435,267.99239519032085,236.1462003192455,4.74282827625143
q29:d61:t288:r5,clean,1925.0,0.4588586017086982,1.1159744079375287,237.95433676314974,246.38989853362318,-0.33050462646122014
q29:d61:t288:r6,asymmetric,1944.0,2.5445598918888663,0.36794271089615904,264.29386798883775,224.07463241792857,2.5445598918888663
q29:d61:t288:r6,clean,1944.0,3.233912147527235,47.20648742231606,231.11271486826251,249.77695085373784,2.9103666732073634
q29:d61:t288:r7,asymmetric,1963.0,2.4125519328827068,122.56092175867207,269.53720481631547,223.76833988511544,2.4125519328827068
q29:d61:t288:r7,clean,1963.0,1.3749832334126495,1.2041645804449672,235.74045889436331,245.2001947564661,1.3749832334126495
q29:d61:t480:r0,asymmetric,1982.0,8.193518905614383,1.1089341136082567,390.8589810671665,291.5398031410616,8.193518905614383
q29:d61:t480:r0,clean,1982.0,3.7401415386506187,80.94562540899528,331.43974147984636,294.6934601057758,3.7401415386506187
q29:d61:t480:r1,asymmetric,2001.0,7.364862166913099,1.2682725996330646,394.0572671994938,300.9341299580992,7.364862166913099
q29:d61:t480:r1,clean,2001.0,1.4522227436484627,0.8657261322587146,334.7271656335454,293.1846072128528,1.4522227436484627
q29:d61:t480:r2,asymmetric,2020.0,6.939529670722891,1.495384456976808,391.63098300047466,289.5936406071187,6.939529670722891
q29:d61:t480:r2,clean,2020.0,0.7113567822915456,1.433461501576403,330.3402699369334,296.0805005655038,0.7113567822915456
q29:d61:t480:r3,asymmetric,2039.0,4.866599039554671,4.599482580525091,389.54550568550064,287.6749510931854,4.866599039554671
q29:d61:t480:r3,clean,2039.0,1.468519447579979,2.7097526011182254,334.5440583924917,295.64994728797933,-1.468519447579979
q29:d61:t480:r4,asymmetric,2057.0,9.69990546957115,1.718435202022647,383.98282488506266,283.97016989861106,9.69990546957115
q29:d61:t480:r4,clean,2057.0,2.6901289802326573,2.512117623081849,337.30894153812494,297.9907853366517,2.6901289802326573
q29:d61:t480:r5,asymmetric,2076.0,6.462280004767763,98.47729030700339,387.1729040969062,290.4530726747008,6.442503127653026
q29:d61:t480:r5,clean,2076.0,1.7779648832411112,5.786569204740772,330.3499977856384,304.9617440866631,-1.7422649072057084
q29:d61:t480:r6,asymmetric,2095.0,13.278923891520662,2.9654016751437666,376.88729938137976,282.9459230924159,13.278923891520662
q29:d61:t480:r6,clean,2095.0,0.6940301732979606,0.6660415044320871,332.66782921699007,293.4215066040965,0.6940301732979606
q29:d61:t480:r7,asymmetric,2114.0,4.3058066898975085,8.363543177613337,381.10960090022536,291.3303867970144,4.3058066898975085
q29:d61:t480:r7,clean,2114.0,2.738600527040262,3.644252758694165,325.37982322191533,305.7326063299256,2.738600527040262
q29:d61:t672:r0,asymmetric,2133.0,6.346967159531687,2.435223789536394,512.6142151187936,224.42982780662624,6.346967159531687
q29:d61:t672:r0,clean,2133.0,0.2760298404568857,2.187557125778767,430.0865642334787,254.28318154664953,0.2760298404568857
q29:d61:t672:r1,asymmetric,2152.0,9.311085225884653,0.6999636378759533,508.20690555795477,221.8643950709561,9.311085225884653
q29:d61:t672:r1,clean,2152.0,0.9207856142650144,185.08354888051008,435.0180801624607,254.0014050900196,0.7063362937390139
q29:d61:t672:r2,asymmetric,2171.0,8.703244901828612,0.7745736609344931,510.8980568151442,222.1113183345974,8.703244901828612
q29:d61:t672:r2,clean,2171.0,1.1043405002201325,0.7155257985073149,429.09707574418235,255.25206786385252,-1.1043405002201325
q29:d61:t672:r3,asymmetric,2190.0,7.98605822781451,2.0906014619909,506.2544685506364,223.96556669109827,7.98605822781451
q29:d61:t672:r3,clean,2190.0,0.6911002844863106,0.3907261638246382,427.7694912907027,255.3652236045475,-0.6911002844863106
q29:d61:t672:r4,asymmetric,2209.0,13.46488213426369,6.075817892261057,502.73879820382615,281.33918139886896,13.46488213426369
q29:d61:t672:r4,clean,2209.0,0.8695193860912696,2.6990395993811944,430.18701186715646,303.6650763486052,0.5866129330815966
q29:d61:t672:r5,asymmetric,2228.0,11.065038761027836,141.46333480624025,506.41694962367467,284.113336071195,10.994712060336042
q29:d61:t672:r5,clean,2228.0,0.5553499706138609,2.0478327371492924,427.8424544991294,302.476884688999,0.5553499706138609
q29:d61:t672:r6,asymmetric,2247.0,9.628555503459438,304.67955700809034,504.9827485036052,284.27856669677567,9.416946430837697
q29:d61:t672:r6,clean,2247.0,1.6450959726996643,1.1469322755274334,423.84904694002125,306.799593278608,1.6450959726996643
q29:d61:t672:r7,asymmetric,2266.0,8.868646189890114,67.19477151781166,496.70137911744405,285.3844356716821,8.868646189890114
q29:d61:t672:r7,clean,2266.0,0.2643638718809598,4.9670852718149945,423.86358536599914,303.9707042066211,0.2643638718809598
q31:d67:t288:r0,asymmetric,2285.0,1.3377999079064011,5.661800566233069,267.7192639254961,411.2396472665322,1.3377999079064011
q31:d67:t288:r0,clean,2285.0,1.9158784725357236,0.5170823759535779,234.75240169838332,396.43237316903674,1.9158784725357236
q31:d67:t288:r1,asymmetric,2304.0,3.4420514577273025,0.13619634127371683,258.4966628774141,410.7377672021554,3.4420514577273025
q31:d67:t288:r1,clean,2304.0,1.3205750160307161,1.4169916657606336,229.8622948713994,403.5157763848682,1.3205750160307161
q31:d67:t288:r2,asymmetric,2322.0,3.1882136518863717,1.06690612201146,266.535988963852,407.9320370426186,3.1882136518863717
q31:d67:t288:r2,clean,2322.0,1.5886840394148294,1.7346402292619132,232.8924765851923,399.6902652451222,1.5886840394148294
q31:d67:t288:r3,asymmetric,2341.0,2.6098681190962907,1.499039093783722,266.97170536185934,408.3767672962447,2.6098681190962907
q31:d67:t288:r3,clean,2341.0,1.8136928941107726,3.9642890673444526,236.0845666272644,395.9268845790875,-1.2060517928737227
q31:d67:t288:r4,asymmetric,2360.0,6.022418026768719,0.8264030200148227,269.09021527079653,462.2887108721312,6.022418026768719
q31:d67:t288:r4,clean,2360.0,1.8744383845378252,2.07112174534268,235.59731191551873,443.6701227191875,1.8744383845378252
q31:d67:t288:r5,asymmetric,2379.0,2.406758305575295,2.3758998806833915,268.39236541584046,467.2344577167228,2.406758305575295
q31:d67:t288:r5,clean,2379.0,2.840025872908882,3.3778461680972214,234.434596624375,444.6946356216698,2.840025872908882
q31:d67:t288:r6,asymmetric,2398.0,5.776948460373887,2.3317622007375576,257.30981613097924,466.41246356646207,5.776948460373887
q31:d67:t288:r6,clean,2398.0,0.19948788164333564,2.3821240924171434,236.67045689606903,447.15868973556644,-0.19948788164333564
q31:d67:t288:r7,asymmetric,2417.0,0.8360842277559186,1.5376036541774738,273.07327130645103,462.74529727910806,0.8360842277559186
q31:d67:t288:r7,clean,2417.0,2.064707684615314,1.6300353960768916,232.27337459795217,444.96430442961946,2.064707684615314
q31:d67:t480:r0,asymmetric,2436.0,11.488525151645717,4.322480496267417,372.9043538248918,404.03546588626295,11.488525151645717
q31:d67:t480:r0,clean,2436.0,0.9082630942953074,2.3443042583307943,330.69901517401854,399.7283975258425,-0.7303692093248628
q31:d67:t480:r1,asymmetric,2455.0,2.9196424714473324,5.311406116868966,375.0,409.69213982453186,2.9196424714473324
q31:d67:t480:r1,clean,2455.0,2.4065348044282473,4.482273759814234,328.2379374936222,399.1743735445921,2.4065348044282473
q31:d67:t480:r2,asymmetric,2474.0,5.184227445872239,1.3254481597296035,389.3772520088478,406.4161291385294,5.184227445872239
q31:d67:t480:r2,clean,2474.0,3.8302296209703854,1.5055602780767003,322.82938246875483,399.36666872836054,3.8302296209703854
q31:d67:t480:r3,asymmetric,2493.0,5.745009741809099,2.9150417531045605,386.83328960580593,405.4838122632327,5.745009741809099
q31:d67:t480:r3,clean,2493.0,0.23267073455576792,3.2453314285494343,336.6393421359837,398.3427471944981,-0.12027688774355738
q31:d67:t480:r4,asymmetric,2512.0,13.553602294480243,4.724463314290006,380.5830494232639,273.02851561401485,13.553602294480243
q31:d67:t480:r4,clean,2512.0,0.2269904164786567,0.14439543996013526,336.260666773142,293.1842767121502,-0.2269904164786567
q31:d67:t480:r5,asymmetric,2531.0,4.068892725316573,0.19875418024548708,389.1460096109047,277.49026184837317,4.068892725316573
q31:d67:t480:r5,clean,2531.0,0.20476178342573803,1.055325061968233,328.32867503541934,294.9362403462642,0.18544300557005045
q31:d67:t480:r6,asymmetric,2550.0,6.333425463556068,0.9331011812846555,385.32376508235325,275.46764285762583,6.333425463556068
q31:d67:t480:r6,clean,2550.0,0.8631147024727852,1.529877467586175,331.891766831651,293.8994486612253,0.8631147024727852
q31:d67:t480:r7,asymmetric,2569.0,12.003876051056068,1.8246223284618281,383.5282667533843,272.2425647237985,12.003876051056068
q31:d67:t480:r7,clean,2569.0,0.5889478457033874,7.6788535137402505,335.8198764400122,289.38101111425203,-0.2484889382694746
q31:d67:t672:r0,asymmetric,2587.0,8.504407423781913,3.0291054117956264,505.4349225394699,214.53361336348644,8.504407423781913
q31:d67:t672:r0,clean,2587.0,1.3253447824854447,1.0830785664884388,419.36912751818477,248.56002184801218,1.3253447824854447
q31:d67:t672:r1,asymmetric,2606.0,5.485285282857149,0.8043625672917187,486.2413218418026,225.890251391402,5.485285282857149
q31:d67:t672:r1,clean,2606.0,0.1408612004281622,261.3358348282977,426.1745396959034,246.57954195965635,0.11402467806760797
q31:d67:t672:r2,asymmetric,2625.0,10.06806034597821,3.0609364044189533,502.20060689024604,211.47857020331753,10.06806034597821
q31:d67:t672:r2,clean,2625.0,2.0253516855543694,0.794182292457208,417.6971685440667,244.51944263017504,2.0253516855543694
q31:d67:t672:r3,asymmetric,2644.0,6.100746635839187,2.9555812856779085,506.5899612006822,215.87287517197774,6.100746635839187
q31:d67:t672:r3,clean,2644.0,0.0843745830111402,2.447996394193524,427.23427825393924,244.42178338000622,0.037192568922364444
q31:d67:t672:r4,asymmetric,2663.0,9.483270575406323,0.46549639874410786,504.07146982246127,273.8630136600409,9.483270575406323
q31:d67:t672:r4,clean,2663.0,3.229422577259129,0.7980798917474203,429.7137642808591,287.72389598986615,3.229422577259129
q31:d67:t672:r5,asymmetric,2682.0,18.55406964390795,11.239696607136466,487.61323304572716,274.78089781544804,18.55406964390795
q31:d67:t672:r5,clean,2682.0,0.47027622713835626,1.7527184561458853,431.05744080572185,291.32098003327883,0.20080767534363986
q31:d67:t672:r6,asymmetric,2701.0,8.41853909403676,7.038156431680363,507.3227611276834,274.2355718423587,8.41853909403676
q31:d67:t672:r6,clean,2701.0,5.317749196626664,1.4105308112666535,420.60198237050895,290.0143634554529,5.317749196626664
q31:d67:t672:r7,asymmetric,2720.0,11.408045016641609,0.8742855919576868,504.85698914211525,271.1942961584159,11.408045016641609
q31:d67:t672:r7,clean,2720.0,0.10718444568647101,3.2805650212731052,424.21941968574174,296.71552472129565,0.09511214110762012
