check,passed,observed
dense child crossing within 10 ms,True,+0.002000 s
dense specificity at or below pseudo 1st percentile,True,pseudo share <= real: 0.0010
replication child crossing within ±16 rows,True,15/15
stored-to-release crossing direction,True,15/15
