medium,event,grandchild_half_relative_row,child_half_relative_row,current_full_relative_row,parent_full_relative_row,grandparent_full_relative_row,forecast_start_relative_row,forecast_alarm_samples,forecast_contains_drop,earlier_false_bouts,grandchild_no_later_than_current,full_declared_order
dry,1,,,,0,1,,0,False,0,False,False
dry,2,,,0.0,2,7,,0,False,0,False,False
dry,3,,,1.0,3,9,,0,False,0,False,False
dry,4,,,1.0,4,11,,0,False,0,False,False
dry,5,,,1.0,4,11,,0,False,0,False,False
dry,6,,,1.0,4,10,,0,False,0,False,False
dry,7,,,1.0,3,8,,0,False,0,False,False
dry,8,,,1.0,2,7,,0,False,0,False,False
dry,9,,,0.0,1,6,,0,False,0,False,False
dry,10,,,0.0,1,6,,0,False,0,False,False
fluid,1,-59.0,-50.0,-32.0,-13,1,-50.0,1,True,0,True,True
fluid,2,-33.0,-56.0,-22.0,-1,1,-69.0,1,True,0,True,False
fluid,3,-31.0,-28.0,-1.0,0,3,-36.0,2,True,0,True,True
fluid,4,-29.0,-34.0,1.0,3,9,,0,False,0,True,False
fluid,5,-23.0,-26.0,3.0,6,15,,0,False,0,True,False
