record,events,quiet,ara_auroc,exposure_auroc,count_auroc
Wgn23,2,2,,0.5,0.25
Wgn24,16,16,,0.7734375,0.78515625
Wgn25,3,3,,0.6666666666666666,0.6666666666666666
Wgn26,38,38,,0.8933518005540166,0.8850415512465374
