medium,event,bout,start_relative_row,end_alarm_relative_row,alarm_samples,contains_drop_in_101_row_horizon
fluid,1,1,-50,-50,1,True
fluid,2,1,-69,-69,1,True
fluid,3,1,-36,-28,2,True
