identity,family,stratum,condition,window,window_id,lag,rho,miss_signed,miss_abs
single:free,single,free,chronological,0,single:free:w000,1,0.9999999999999999,0.125,0.125
single:free,single,free,chronological,0,single:free:w000,2,1.0,0.25,0.25
single:free,single,free,chronological,0,single:free:w000,3,1.0,0.375,0.375
single:free,single,free,chronological,0,single:free:w000,4,1.0,0.5,0.5
single:free,single,free,chronological,0,single:free:w000,5,0.9999999999999998,-0.375,0.375
single:free,single,free,chronological,0,single:free:w000,6,1.0,-0.25,0.25
single:free,single,free,chronological,0,single:free:w000,7,1.0,-0.125,0.125
single:free,single,free,chronological,0,single:free:w000,8,1.0,0.0,0.0
single:free,single,free,chronological,0,single:free:w000,9,0.9999999999999999,0.125,0.125
single:free,single,free,chronological,0,single:free:w000,10,1.0,0.25,0.25
single:free,single,free,chronological,0,single:free:w000,11,1.0,0.375,0.375
single:free,single,free,chronological,0,single:free:w000,12,1.0,0.5,0.5
single:free,single,free,chronological,0,single:free:w000,13,0.9999999999999999,-0.375,0.375
single:free,single,free,chronological,0,single:free:w000,14,1.0,-0.25,0.25
single:free,single,free,chronological,0,single:free:w000,15,1.0,-0.12500000000000003,0.12500000000000003
single:free,single,free,chronological,0,single:free:w000,16,1.0,0.0,0.0
single:free,single,free,shuffled,0,single:free:w000,1,0.08656354169064337,0.4469067647173964,0.4469067647173964
single:free,single,free,shuffled,0,single:free:w000,2,0.23244453818293354,0.467497445810684,0.467497445810684
single:free,single,free,shuffled,0,single:free:w000,3,0.06169436892205359,0.2016192097350586,0.2016192097350586
single:free,single,free,shuffled,0,single:free:w000,4,0.19829768877473267,0.05340768070607696,0.05340768070607696
single:free,single,free,shuffled,0,single:free:w000,5,0.12009780322664017,0.418673296693454,0.418673296693454
single:free,single,free,shuffled,0,single:free:w000,6,0.41439208543888295,0.4421837315047693,0.4421837315047693
single:free,single,free,shuffled,0,single:free:w000,7,0.1649242250247064,-0.12031626849523071,0.12031626849523071
single:free,single,free,shuffled,0,single:free:w000,8,0.10206207261596575,0.4020433619923482,0.4020433619923482
single:free,single,free,shuffled,0,single:free:w000,9,0.15676309893321697,0.28141647909450057,0.28141647909450057
single:free,single,free,shuffled,0,single:free:w000,10,0.07779146987557126,-0.26129180882521663,0.26129180882521663
single:free,single,free,shuffled,0,single:free:w000,11,0.40669322288933457,-0.24454080780303217,0.24454080780303217
single:free,single,free,shuffled,0,single:free:w000,12,0.07071067811865477,0.37500000000000006,0.37500000000000006
single:free,single,free,shuffled,0,single:free:w000,13,0.13075079249299099,0.2878852979985457,0.2878852979985457
single:free,single,free,shuffled,0,single:free:w000,14,0.3435590802568189,-0.10230924066154894,0.10230924066154894
single:free,single,free,shuffled,0,single:free:w000,15,0.10188534162169864,-0.22295663800765186,0.22295663800765186
single:free,single,free,shuffled,0,single:free:w000,16,0.06341324202216103,0.40204336199234825,0.40204336199234825
single:free,single,free,reversed,0,single:free:w000,1,0.9999999999999999,-0.125,0.125
single:free,single,free,reversed,0,single:free:w000,2,1.0,-0.25,0.25
single:free,single,free,reversed,0,single:free:w000,3,1.0,-0.375,0.375
single:free,single,free,reversed,0,single:free:w000,4,1.0,-0.5,0.5
single:free,single,free,reversed,0,single:free:w000,5,0.9999999999999998,0.375,0.375
single:free,single,free,reversed,0,single:free:w000,6,1.0,0.25,0.25
single:free,single,free,reversed,0,single:free:w000,7,1.0,0.125,0.125
single:free,single,free,reversed,0,single:free:w000,8,1.0,0.0,0.0
single:free,single,free,reversed,0,single:free:w000,9,0.9999999999999999,-0.125,0.125
single:free,single,free,reversed,0,single:free:w000,10,1.0,-0.25,0.25
single:free,single,free,reversed,0,single:free:w000,11,1.0,-0.375,0.375
single:free,single,free,reversed,0,single:free:w000,12,1.0,-0.5,0.5
single:free,single,free,reversed,0,single:free:w000,13,0.9999999999999999,0.375,0.375
single:free,single,free,reversed,0,single:free:w000,14,1.0,0.25,0.25
single:free,single,free,reversed,0,single:free:w000,15,1.0,0.12500000000000003,0.12500000000000003
single:free,single,free,reversed,0,single:free:w000,16,1.0,0.0,0.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,1,0.9999999999999999,0.125,0.125
single:driven1,single,driven1,chronological,0,single:driven1:w000,2,1.0,0.25,0.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,3,1.0,0.375,0.375
single:driven1,single,driven1,chronological,0,single:driven1:w000,4,1.0,0.5,0.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,5,0.9999999999999998,-0.375,0.375
single:driven1,single,driven1,chronological,0,single:driven1:w000,6,1.0,-0.25,0.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,7,1.0,-0.125,0.125
single:driven1,single,driven1,chronological,0,single:driven1:w000,8,1.0,0.0,0.0
single:driven1,single,driven1,chronological,0,single:driven1:w000,9,0.9999999999999999,0.125,0.125
single:driven1,single,driven1,chronological,0,single:driven1:w000,10,1.0,0.25,0.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,11,1.0,0.375,0.375
single:driven1,single,driven1,chronological,0,single:driven1:w000,12,1.0,0.5,0.5
single:driven1,single,driven1,chronological,0,single:driven1:w000,13,0.9999999999999999,-0.375,0.375
single:driven1,single,driven1,chronological,0,single:driven1:w000,14,1.0,-0.25,0.25
single:driven1,single,driven1,chronological,0,single:driven1:w000,15,1.0,-0.12500000000000003,0.12500000000000003
single:driven1,single,driven1,chronological,0,single:driven1:w000,16,1.0,0.0,0.0
single:driven1,single,driven1,shuffled,0,single:driven1:w000,1,0.0400851834554608,0.3040867239846963,0.3040867239846963
single:driven1,single,driven1,shuffled,0,single:driven1:w000,2,0.2984846286458643,0.3261199896609248,0.3261199896609248
single:driven1,single,driven1,shuffled,0,single:driven1:w000,3,0.11788006309754073,0.007991216561108102,0.007991216561108102
single:driven1,single,driven1,shuffled,0,single:driven1:w000,4,0.11597059288847078,-0.36658672398469644,0.36658672398469644
single:driven1,single,driven1,shuffled,0,single:driven1:w000,5,0.23129622216290363,0.43345984108684876,0.43345984108684876
single:driven1,single,driven1,shuffled,0,single:driven1:w000,6,0.09228653053007875,-0.0773909104506774,0.0773909104506774
single:driven1,single,driven1,shuffled,0,single:driven1:w000,7,0.07530371440808789,0.1352635691721903,0.1352635691721903
single:driven1,single,driven1,shuffled,0,single:driven1:w000,8,0.24346363386227066,0.11370819117478337,0.11370819117478337
single:driven1,single,driven1,shuffled,0,single:driven1:w000,9,0.3588279028191692,0.49200878343889193,0.49200878343889193
single:driven1,single,driven1,shuffled,0,single:driven1:w000,10,0.21765529360663088,-0.32304483952151036,0.32304483952151036
single:driven1,single,driven1,shuffled,0,single:driven1:w000,11,0.16845784864598642,0.11954080780303214,0.11954080780303214
single:driven1,single,driven1,shuffled,0,single:driven1:w000,12,0.06628271480711835,-0.2854566380076517,0.2854566380076517
single:driven1,single,driven1,shuffled,0,single:driven1:w000,13,0.42794587113451055,-0.46633475225030663,0.46633475225030663
single:driven1,single,driven1,shuffled,0,single:driven1:w000,14,0.2688235317859883,-0.08778003892285145,0.08778003892285145
single:driven1,single,driven1,shuffled,0,single:driven1:w000,15,0.2400753504083167,-0.1813170339648655,0.1813170339648655
single:driven1,single,driven1,shuffled,0,single:driven1:w000,16,0.2589912287008195,0.4375,0.4375
single:driven1,single,driven1,reversed,0,single:driven1:w000,1,0.9999999999999999,-0.125,0.125
single:driven1,single,driven1,reversed,0,single:driven1:w000,2,1.0,-0.25,0.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,3,1.0,-0.375,0.375
single:driven1,single,driven1,reversed,0,single:driven1:w000,4,1.0,-0.5,0.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,5,0.9999999999999998,0.375,0.375
single:driven1,single,driven1,reversed,0,single:driven1:w000,6,1.0,0.25,0.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,7,1.0,0.125,0.125
single:driven1,single,driven1,reversed,0,single:driven1:w000,8,1.0,0.0,0.0
single:driven1,single,driven1,reversed,0,single:driven1:w000,9,0.9999999999999999,-0.125,0.125
single:driven1,single,driven1,reversed,0,single:driven1:w000,10,1.0,-0.25,0.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,11,1.0,-0.375,0.375
single:driven1,single,driven1,reversed,0,single:driven1:w000,12,1.0,-0.5,0.5
single:driven1,single,driven1,reversed,0,single:driven1:w000,13,0.9999999999999999,0.375,0.375
single:driven1,single,driven1,reversed,0,single:driven1:w000,14,1.0,0.25,0.25
single:driven1,single,driven1,reversed,0,single:driven1:w000,15,1.0,0.12500000000000003,0.12500000000000003
single:driven1,single,driven1,reversed,0,single:driven1:w000,16,1.0,0.0,0.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,1,0.9999999999999999,0.125,0.125
single:driven1,single,driven1,chronological,1,single:driven1:w001,2,1.0,0.25,0.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,3,1.0,0.375,0.375
single:driven1,single,driven1,chronological,1,single:driven1:w001,4,1.0,0.5,0.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,5,0.9999999999999998,-0.375,0.375
single:driven1,single,driven1,chronological,1,single:driven1:w001,6,1.0,-0.25,0.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,7,1.0,-0.125,0.125
single:driven1,single,driven1,chronological,1,single:driven1:w001,8,1.0,0.0,0.0
single:driven1,single,driven1,chronological,1,single:driven1:w001,9,0.9999999999999999,0.125,0.125
single:driven1,single,driven1,chronological,1,single:driven1:w001,10,1.0,0.25,0.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,11,1.0,0.375,0.375
single:driven1,single,driven1,chronological,1,single:driven1:w001,12,1.0,0.5,0.5
single:driven1,single,driven1,chronological,1,single:driven1:w001,13,0.9999999999999999,-0.375,0.375
single:driven1,single,driven1,chronological,1,single:driven1:w001,14,1.0,-0.25,0.25
single:driven1,single,driven1,chronological,1,single:driven1:w001,15,1.0,-0.12500000000000003,0.12500000000000003
single:driven1,single,driven1,chronological,1,single:driven1:w001,16,1.0,0.0,0.0
single:driven1,single,driven1,shuffled,1,single:driven1:w001,1,0.04753631478090002,-0.29534708315804237,0.29534708315804237
