delta_r,method,RMSE_ARA,MAE_ARA,waveform_r,direction_agreement,quadrant_agreement,turn_error,endpoint_error,angular_path_error,radial_path_error,fallback_steps
0,direction_blind,0.8180572416499065,0.6865218707769185,-0.2505798124016259,0.5238095238095238,0.5161290322580645,0.03968253968253968,0.3541125551359421,0.10534473137534836,0.1359722494681528,0.0
0,previous_cycle,0.7951499271472111,0.5879453012405871,-0.06594293684503211,0.5396825396825397,0.532258064516129,0.09523809523809523,0.2615273366283485,0.08754410568144401,0.12720943239313587,0.0
0,primary,0.9911775866767654,0.7277434153168487,-0.1434886514862032,0.5,0.5,0.3888888888888889,0.44305632342454365,0.10039443299456177,0.11565212805045089,0.0
0,wrong_lineage,0.9939447030232458,0.7352084801528933,-0.16632136447940027,0.5079365079365079,0.5,0.41666666666666663,0.4601585450522676,0.1044282688908329,0.11522484985648493,0.0
50,direction_blind,0.813722975184775,0.6694852654901098,-0.21394181388844646,0.5079365079365079,0.5161290322580645,0.031746031746031744,0.34515090464926834,0.10492317130212526,0.13367454029018325,0.0
50,previous_cycle,0.8127620390647924,0.6146777382049454,-0.0524318173552033,0.49206349206349204,0.5,0.10317460317460317,0.35236478449860004,0.09485483088096591,0.1363975080285774,0.0
50,primary,0.8555369163334015,0.6184390824033699,-0.031211146351744365,0.49206349206349204,0.4838709677419355,0.30158730158730157,0.5741224553532475,0.08664918269515584,0.11632423627415997,0.0
50,wrong_lineage,0.8386233104562183,0.6135923847002951,-0.07157279122657143,0.49206349206349204,0.4838709677419355,0.29365079365079366,0.533048873372765,0.08395456044695365,0.1149157995084219,0.0
100,direction_blind,0.7474937943436195,0.5251839136283958,0.0931972268165431,0.5238095238095238,0.5161290322580645,0.047619047619047616,0.5415092735499947,0.06455209838442147,0.12549521810900993,0.0
100,previous_cycle,0.8807851986710967,0.6934251826687718,-0.3080971275279187,0.3412698412698413,0.3467741935483871,0.06349206349206349,0.5855489894507824,0.10565649897143009,0.1433454002544076,0.0
100,primary,0.7967118283801629,0.5822736338718588,-0.07467625611008938,0.49206349206349204,0.5,0.2857142857142857,0.4833234878161741,0.07376884293490467,0.11737716060817409,0.0
100,wrong_lineage,0.796133766511794,0.5808366893608687,-0.05055979167537591,0.49206349206349204,0.5,0.2777777777777778,0.49798030949693506,0.07367407713506513,0.1148460344055865,0.0
150,direction_blind,0.12108359108286146,0.07221882869539634,0.9800171280289907,0.9523809523809523,0.9516129032258065,0.015873015873015872,0.02015809390715899,0.011925612628154655,0.02812790796927283,0.0
150,previous_cycle,0.051368025002785755,0.029944206547531504,0.9956059987183898,0.9841269841269841,0.9838709677419355,0.007936507936507936,0.008673836841102192,0.004935644439743391,0.011298006749713523,0.0
150,primary,0.13883493323683133,0.09004856763490549,0.9700990976335107,0.9365079365079365,0.9354838709677419,0.031746031746031744,0.026913576027331354,0.016173614797380782,0.036474968116273654,0.0
150,wrong_lineage,0.8517156036854177,0.6583950102355822,0.1051555410646231,0.5793650793650793,0.5806451612903225,0.03968253968253968,0.23723601486025217,0.09222463411661828,0.10418822553781548,0.0
170,direction_blind,0.06116259368968065,0.03830348822895453,0.9947167229617571,0.9682539682539683,0.967741935483871,0.007936507936507936,0.019177982526056236,0.005927076776924976,0.01499009873747724,0.0
170,previous_cycle,0.03542383393781678,0.021154580236790663,0.9979633282788617,0.9841269841269841,0.9838709677419355,0.007936507936507936,0.007974422475870852,0.003329786047053572,0.008245684590730735,0.0
170,primary,0.06894320915800606,0.04374320724860408,0.992854229807246,0.9682539682539683,0.967741935483871,0.015873015873015872,0.02116782854845213,0.006822476521496956,0.01736130121857132,0.0
170,wrong_lineage,0.8516198061546414,0.6609318687768392,0.18792797394133443,0.5714285714285714,0.5725806451612903,0.031746031746031744,0.20393235132208465,0.09269779407637269,0.09448279170623418,0.0
190,direction_blind,0.13049502744336486,0.07838978706211074,0.9738982012864367,0.9523809523809523,0.9516129032258065,0.015873015873015872,0.018124514278465856,0.011211755490099624,0.02953493103305751,0.0
190,previous_cycle,0.066125841936286,0.04002662836652482,0.9927742008540633,0.9841269841269841,0.9838709677419355,0.007936507936507936,0.00862084341248133,0.005596291618514684,0.014534819759649917,0.0
190,primary,0.13693211907143582,0.08243276652476525,0.9710798214809029,0.9523809523809523,0.9516129032258065,0.023809523809523808,0.018169705949724863,0.012009281729943847,0.03176146728874559,0.0
190,wrong_lineage,0.8401297605152769,0.6369104811250641,0.05558017633662863,0.30158730158730157,0.3064516129032258,0.031746031746031744,0.24695760157682123,0.09420593375921141,0.10519301981469367,0.0
240,direction_blind,0.8074720237022281,0.633081298946769,-0.2709984254423119,0.5079365079365079,0.5,0.031746031746031744,0.22089481745883144,0.09764110824946183,0.1345784588209633,0.0
240,previous_cycle,0.9184111890004842,0.726066083680001,-0.3806388475368976,0.31746031746031744,0.3225806451612903,0.0873015873015873,0.2684461946839406,0.11076748875536552,0.14816068962802026,0.0
240,primary,1.0368105374466636,0.8118246622392864,-0.06440648768118115,0.47619047619047616,0.46774193548387094,1.0,0.637530139659163,0.11486911081123116,0.11458578991788615,0.0
240,wrong_lineage,1.0179262456345586,0.7757191673634602,-0.0679458926736914,0.47619047619047616,0.46774193548387094,1.0,0.6290966315149724,0.10865275632824921,0.11232155816899547,0.0
290,direction_blind,0.7977003873446673,0.5854773340544439,-0.056773389996386064,0.5238095238095238,0.532258064516129,0.031746031746031744,0.18025867286189234,0.08567417855230833,0.14387787359313683,0.0
290,previous_cycle,0.8141391493588597,0.6149275415186909,-0.059979465217322274,0.5714285714285714,0.5806451612903226,0.1111111111111111,0.6764263292288187,0.09226490817770835,0.13674501985394505,0.0
290,primary,0.9776382564588891,0.7347316243454243,-0.08905058835598575,0.47619047619047616,0.4838709677419355,1.0,0.9316742809897116,0.10340760998890516,0.1210219513169796,0.0
290,wrong_lineage,0.9718685646966332,0.7458063906550754,-0.09195922571480858,0.47619047619047616,0.4838709677419355,1.0,0.8812344857439923,0.10678595626589298,0.1206887807751171,0.0
340,direction_blind,0.7881882300050171,0.5858933655076504,-0.13354903613734073,0.5396825396825397,0.532258064516129,0.023809523809523808,0.2729293458938791,0.08978868911331134,0.1504766014455196,0.0
340,previous_cycle,0.8191873108296406,0.6234068879317055,-0.1415722117885399,0.5079365079365079,0.5,0.15873015873015872,1.0682818803233334,0.09581132037406816,0.1452420326497031,0.0
340,primary,0.9845753104376787,0.7625887486625685,-0.09582999629974162,0.47619047619047616,0.4838709677419355,1.0,1.2047609229032306,0.10793627479840612,0.1159278307262102,0.0
340,wrong_lineage,1.0116431234795786,0.7895242521248858,-0.10331299383337794,0.47619047619047616,0.4838709677419355,1.0,1.231427695830917,0.11190871098454347,0.11783418799518573,0.0
