gate,pass,display_value
G0 extraction/lattice QA,True,5 paths; spans 1.45–1.63; anchors 19–33; 28 magnets
G1 real connection geometry,False,median A=0.078; positive=84.0%; exact p=0.0005
G2 parent-channel inheritance,False,run wins=1/5; effect=0.011; exact p=0.4600
G3 connection-to-lock order,False,joint positive=28.0%; effect=0.080; exact p=0.1250
G4 coordinate non-redundancy,True,Spearman ρ=-0.133; IQR x_C=0.691; IQR x_P=0.800
