family,stratum,filename,file_sha256,raw_samples,decimated_samples,dt_seconds,decimation,effective_hz,duration_seconds,upward_crossings,complete_cycles,complete_windows,parent_q_scale,parent_v_scale,parent_phase_backtrack_fraction,landmark_monotone_adjustment_fraction,child_q_scale,child_v_scale,child_phase_backtrack_fraction
single,free,pend_single.mat,5e6272350a91fb9fb99b6949bc49e3e63e21af977cc1f777310f5d8e9b0fc7e7,231757,4636,0.00010000000000331966,50,199.9999999933607,23.174999999999997,7,4,1,0.021912608758788643,1e-09,0.43171521035598703,0.3328,0.021912608758788643,1e-09,0.43171521035598703
single,driven1,SingleDataWithControl_1_Dt_0_0001.mat,6ae36c19790f25bb706af2d9f7096e2d0068cbd9a898dd9a46b83c9220f3d414,319161,6384,0.00010000000000331966,50,199.9999999933607,31.915000000000006,36,29,7,0.09639808521925552,1.5707963267432206,0.09258969136769545,0.17176820208023774,0.09639808521925552,1.5707963267432206,0.09258969136769545
single,driven2,SingleDataWithControl_2_Dt_0_0001.mat,63911f6e93b90a5ed529d06d5cbc09f49cd6870e659480264bedd4164c7f1b01,436417,8729,0.00010000000000331966,50,199.9999999933607,43.64,33,27,6,0.15422814681679275,0.7853981635380478,0.096012832263978,0.19310344827586207,0.15422814681679275,0.7853981635380478,0.096012832263978
double,free,pend_double.mat,2af828048debc0ec33dcd9f46538b747a72a7bfaa3b333852cc474db5ada7633,170834,34167,0.001,5,200.0,170.83,161,160,40,0.4731306646272925,3.3648387334850964,0.025317567172042383,0.02611135088476478,0.9092139020010688,5.229521197227882,0.04890827138090499
double,driven1,DoubleDataWithControl_1_Dt_0_0001.mat,046b673a5a2f8998e6a6fd3d5507414bca07f6c2497bf3241e963b7080c82e29,770001,15401,0.0001,50,200.0,76.99990000000001,74,73,18,0.710587144820078,3.9283002504040425,0.004610389610389611,0.004616084779923282,1.2626014723646541,8.455114266958818,0.007402597402597403
double,driven2,DoubleDataWithControl_2_Dt_0_0001.mat,0f763c521af8635342c5e9b03a36a036c2681b6d0c98b77b3b760c12c544c865,1070001,21401,0.0001,50,200.0,107.0,51,50,12,0.2071876914044144,0.8359449692018537,0.20579439252336448,0.2078397792683507,0.363032551745357,2.109369085473818,0.02542056074766355
