run_id,colour,frame,x_anchor_px,y_anchor_px,path_x_at_anchor_px,lateral_discrepancy_px,blob_score
1,red,0,261,100,261.5000000000002,0.5000000000002274,110.92237625160197
1,red,1,261,100,261.5000000000002,0.5000000000002274,110.92237625160197
1,red,2,261,100,261.5000000000002,0.5000000000002274,110.92237625160197
1,red,3,261,100,261.5000000000002,0.5000000000002274,105.18248114400211
1,red,4,259,104,261.5000000000002,2.5000000000002274,105.60956149501811
1,red,5,262,107,261.50000000000074,0.49999999999926104,111.28974896940758
1,red,6,262,110,261.50000000000074,0.49999999999926104,110.62221666010302
1,red,7,262,112,261.50000000000074,0.49999999999926104,110.08803257631584
1,red,8,262,115,261.50000000000074,0.49999999999926104,111.42505597026434
1,red,9,262,120,261.90093240093313,0.09906759906687057,108.52369288353637
1,red,10,262,126,264.06876456876535,2.0687645687653458,106.71698659115597
1,red,11,265,134,265.90093240093313,0.9009324009331294,103.47407141127724
1,red,12,268,141,267.93589743589814,0.06410256410185866,94.90067927506345
1,red,13,268,148,269.58391608391685,1.5839160839168471,87.43768689726517
1,red,14,269,160,269.09906759906835,0.0990675990683485,84.35177852336977
1,red,15,267,172,266.69580419580495,0.30419580419504655,84.88447848000621
1,red,16,266,186,267.08391608391685,1.0839160839168471,85.33953163309465
1,red,17,269,201,269.4370629370637,0.43706293706367205,81.66343138406995
1,red,18,273,217,272.78088578088654,0.21911421911346451,76.02784052990222
1,red,19,277,235,275.8962703962712,1.103729603728823,69.8876473345945
1,red,20,277,256,277.5000000000008,0.5000000000007958,61.97729299935901
1,red,21,274,278,275.751748251749,1.7517482517490066,64.33105825817015
1,red,22,271,295,274.93006993007,3.930069930069976,61.30604302642254
2,red,26,259,109,257.46037296037366,1.539627039626339,98.81887766837892
2,red,27,254,108,257.546153846154,3.546153846154027,95.42701641175708
2,red,28,258,113,256.70046620046696,1.2995337995330374,99.58105475337243
2,red,29,259,117,256.5000000000007,2.499999999999318,98.87933807008403
2,red,30,255,120,256.5000000000007,1.5000000000006821,97.33108120505301
2,red,31,255,128,255.89627039627112,0.8962703962711203,92.35440054692378
2,red,32,254,137,255.42074592074664,1.42074592074664,94.27440971089231
2,red,33,253,147,253.50000000000068,0.5000000000006821,92.88583193629492
2,red,34,255,161,255.52097902097972,0.5209790209797234,89.23319501553783
2,red,35,257,171,258.03030303030374,1.0303030303037417,87.45972889393602
2,red,36,260,181,261.12703962704035,1.1270396270403467,81.14420451562555
2,red,37,266,193,265.36013986014063,0.6398601398593655,76.98984946922914
2,red,38,270,205,269.6025641025649,0.3974358974351162,78.5480572097199
2,red,39,274,219,274.5291375291383,0.5291375291383247,72.77750086034479
2,red,40,277,235,278.3333333333341,1.3333333333341102,65.36916452623757
2,red,41,278,254,278.9160839160847,0.9160839160846876,64.23266325065168
2,red,42,274,273,274.7202797202805,0.7202797202804732,63.26656395033592
2,red,43,270,293,270.261072261073,0.26107226107302495,64.0942103576972
2,red,44,264,302,268.1587412587413,4.1587412587413155,55.71788031824883
3,red,45,251,101,252.45944055944062,1.4594405594406226,105.70534981769185
3,red,46,251,101,252.45944055944062,1.4594405594406226,94.76000466227504
3,red,47,251,108,251.87529137529208,0.875291375292079,100.808793050225
3,red,48,250,110,251.53962703962773,1.5396270396277316,100.66290337558519
3,red,49,250,114,251.5000000000007,1.5000000000007105,98.3712689785176
3,red,50,249,119,251.54428904428974,2.544289044289741,96.34685307024552
3,red,51,247,128,246.97319347319416,0.026806526805842168,97.87796069513311
3,red,52,239,136,237.36480186480253,1.63519813519747,104.96346000923492
3,red,53,232,140,232.78205128205192,0.7820512820519241,100.82657127457182
3,red,54,227,145,228.9498834498841,1.949883449884112,105.6358928481745
3,red,55,223,157,223.50000000000063,0.5000000000006253,102.31507897971062
3,red,56,221,165,223.50000000000063,2.5000000000006253,105.64297924453376
3,red,57,221,169,223.46037296037358,2.460372960373576,104.19609245492538
3,red,58,221,173,222.70046620046682,1.7004662004668205,102.43257609509183
3,red,59,222,179,222.46037296037358,0.4603729603735758,101.93963121894032
3,red,60,220,186,220.61188811188873,0.6118881118887316,99.43921137753887
3,red,61,217,195,217.2948717948724,0.29487179487239246,96.1957172122369
3,red,62,214,206,214.53962703962765,0.5396270396276464,93.74063872662447
3,red,63,211,214,214.50000000000057,3.5000000000005684,85.03167120691404
3,red,64,215,236,215.58391608391668,0.5839160839166766,88.5096221174822
3,red,65,216,253,216.46037296037355,0.46037296037354736,90.367072960401
3,red,66,214,271,213.7004662004668,0.2995337995332079,83.37060029454389
3,red,67,210,287,212.89510489510482,2.895104895104822,73.10393663242198
4,red,69,250,105,250.5000000000001,0.5000000000001137,108.5505807575301
4,red,70,250,105,250.5000000000001,0.5000000000001137,108.5496272569062
4,red,71,249,106,250.5000000000001,1.5000000000001137,105.90770460600149
4,red,72,249,108,250.50000000000014,1.500000000000142,108.28794119209105
4,red,73,249,110,250.50000000000014,1.500000000000142,99.52834874364743
4,red,74,248,113,250.5839160839168,2.5839160839167903,100.80864267634746
4,red,75,248,117,250.06410256410325,2.0641025641032513,103.17497105827971
4,red,76,246,124,246.95454545454612,0.9545454545461212,100.29244549608552
4,red,77,238,131,239.76340326340392,1.7634032634039158,108.9386503098115
4,red,78,232,133,236.98135198135265,4.9813519813526455,113.01928303663352
4,red,79,232,131,239.76340326340392,7.763403263403916,104.10177891148736
4,red,80,232,131,239.76340326340392,7.763403263403916,102.63410738630242
4,red,81,232,132,238.21911421911489,6.219114219114886,97.51307207269161
4,red,82,237,140,238.1666666666673,1.166666666667311,92.01739238813485
4,red,83,239,140,238.1666666666673,0.8333333333326891,108.81340068753663
4,red,84,239,141,238.18648018648088,0.8135198135191217,117.90418331170058
4,red,85,240,141,238.18648018648088,1.8135198135191217,111.41728934827808
4,red,86,240,142,238.35198135198203,1.6480186480179668,110.87411322025005
4,red,87,239,144,238.56293706293775,0.43706293706225097,106.0832313824225
4,red,88,238,146,238.56293706293775,0.562937062937749,102.05002221789582
4,red,89,236,150,237.89627039627106,1.8962703962710634,99.51006790506594
4,red,90,235,158,235.5349650349657,0.534965034965694,99.79069513819516
4,red,91,230,165,231.63286713286777,1.6328671328677729,99.01883400182481
4,red,92,229,174,225.9871794871801,3.0128205128199,100.06660825300796
4,red,93,226,181,221.40209790209852,4.597902097901482,88.05634729344644
4,red,94,215,190,217.26223776223836,2.2622377622383567,94.58331471866049
4,red,95,210,202,211.85431235431292,1.854312354312924,104.65660341008453
4,red,96,204,215,206.09440559440617,2.094405594406169,97.14582349932826
4,red,97,200,230,201.01515151515207,1.0151515151520698,101.04736048776797
4,red,98,196,247,197.50000000000054,1.50000000000054,100.85286143927868
4,red,99,200,266,199.90093240093296,0.0990675990670411,98.1536865662043
4,red,100,202,284,203.50000000000057,1.5000000000005684,90.4701384817121
4,red,101,202,301,203.02097902097893,1.0209790209789276,78.6616745418954
5,red,103,262,100,260.5419580419582,1.4580419580418038,111.88317583954975
5,red,104,262,100,260.5419580419582,1.4580419580418038,111.88348901747042
5,red,105,264,103,261.3013986013988,2.6986013986012267,109.60855031963317
5,red,106,265,106,261.5839160839168,3.4160839160832097,102.0575939533345
5,red,107,264,109,261.50000000000074,2.499999999999261,106.09877824479744
5,red,108,264,113,261.53962703962776,2.46037296037224,105.9040254301251
5,red,109,263,118,262.6608391608399,0.3391608391601153,104.02423949902382
5,red,110,264,126,263.3018648018656,0.6981351981344233,101.34703665429151
5,red,111,266,134,264.89976689976766,1.1002331002323444,98.48606635713463
5,red,112,271,142,268.38811188811263,2.6118881118873674,91.28639486806577
5,red,113,270,154,268.9883449883457,1.011655011654284,92.59489835331155
5,red,114,268,166,268.9428904428912,0.9428904428912119,88.36983735560665
5,red,115,267,180,267.9335664335672,0.9335664335671936,81.81933890400646
5,red,116,271,194,268.6491841491849,2.3508158508150814,87.18621334646497
5,red,117,275,208,273.66083916083994,1.3391608391600585,78.44711336171275
5,red,118,280,227,276.90559440559514,3.0944055944048614,67.98329579081908
5,red,119,277,246,280.0198135198143,3.0198135198143063,62.798571764204894
5,red,120,280,268,278.6468531468539,1.353146853146086,62.70241981146981
5,red,121,275,292,274.0664335664343,0.9335664335657157,67.88399774944207
5,red,122,276,301,272.64895104895106,3.351048951048938,49.67144712503645
