x_P,x_R,radius_mean,successor_loss,successor_no_history_loss,history_coherence_mean,history_coherence_peak,history_peak_lag,end_index,end_time_s,quadrant,parent_step
1.8550697108396659,2.0,1.145274644362727,0.06989697917395739,0.06663833748688792,0.7833428078129083,0.8201076332545224,65,511,7731.47237,Ab,0.0
1.8550697108396659,2.0,1.1464849274457747,0.06966789981395685,0.0663768810868354,0.7843270370094044,0.8294634459468664,65,575,7731.60037,Ab,0.0
1.8550697108396659,2.0,1.1446174308648924,0.07137090947955944,0.06773326637147815,0.7860295787893717,0.8219482841299183,65,639,7731.728370000001,Ab,0.0
1.8550697108396659,2.0,1.1426613422033407,0.07267293384511693,0.06946264862668008,0.78618724563147,0.8215348348162599,65,703,7731.85637,Ab,0.0
1.8550697108396659,2.0,1.1469325805249673,0.07147385725881522,0.06980491798194548,0.7836176385414023,0.8066681489793702,65,767,7731.98437,Ab,0.0
1.8550697108396659,1.9952705771755064,1.150056576297211,0.07049781191040182,0.07066491403907546,0.7788954047518861,0.8025141275352367,65,831,7732.11237,Ab,0.004729422824493623
1.8550697108396659,2.0,1.1520014507137952,0.07240168004470894,0.07051484469202203,0.7753445781202335,0.7965475998976858,65,895,7732.24037,Ab,0.004729422824493623
1.7368795967275157,2.0,1.1533500370466596,0.07157160303360774,0.07041467228275874,0.7722669885818134,0.7988986972331548,114,959,7732.36837,Ab,0.11819011411215019
1.7368795967275157,2.0,1.1486761910989927,0.07145194070354798,0.06887683988433539,0.7752373747568007,0.8004307367662649,114,1023,7732.49637,Ab,0.0
1.7280690741955158,2.0,1.1460709330628491,0.07159694294213798,0.06873266088941245,0.7738721400329609,0.8006459755394015,114,1087,7732.62437,Ab,0.008810522531999876
1.7368795967275157,2.0,1.1427700150947633,0.0706419205052394,0.06910304020278468,0.7713392105057995,0.8013314655863779,117,1151,7732.75237,Ab,0.008810522531999876
1.7368795967275157,2.0,1.1360738653303541,0.07111567537229273,0.06820815238515238,0.7716159373507787,0.8006605170766561,117,1215,7732.88037,Ab,0.0
1.7455576251672429,2.0,1.1271941890444592,0.07584262336248021,0.07100499509283897,0.772445894054578,0.804533436918767,60,1279,7733.0083700000005,Ab,0.008678028439727203
1.7708957668343273,2.0,1.1169274213074318,0.07562985728758718,0.07168686702248943,0.7722265066226677,0.7956558672200897,117,1343,7733.13637,Ab,0.02533814166708437
1.7708957668343273,2.0,1.1079569534787914,0.07592044165565454,0.07263135430970453,0.7681853217192519,0.7987562948489677,50,1407,7733.26437,Ab,0.0
1.7708957668343273,2.0,1.096466581561565,0.0784465863126154,0.07469835664541798,0.76559624388179,0.7919801408317361,117,1471,7733.3923700000005,Ab,0.0
1.7955132288244016,2.0,1.0890179957710642,0.07646759594912406,0.07478112517742325,0.7593833485713524,0.7923223003058912,50,1535,7733.52037,Ab,0.024617461990074307
1.8035843815994534,2.0,1.0767701021648497,0.07697761779231946,0.07375347816424078,0.7584216872328,0.7934946599902019,50,1599,7733.64837,Ab,0.008071152775051882
1.8035843815994534,2.0,1.0669348533458853,0.08062667172102296,0.07603504352771255,0.7511338559892765,0.7803651505670687,50,1663,7733.7763700000005,Ab,0.0
1.8035843815994534,2.0,1.0619110358851362,0.08110286580638737,0.0788264899846294,0.7395506573925454,0.7702817087439413,119,1727,7733.90437,Ab,0.0
1.8035843815994534,2.0,1.0516352948338,0.08323575471493358,0.0803405932632196,0.7316154711439766,0.7652732298164646,119,1791,7734.03237,Ab,0.0
1.834996229674364,1.9914172543033484,1.0441798262897584,0.0841197306241093,0.08448227556764507,0.7228404159463229,0.7532363053014316,47,1855,7734.1603700000005,Ab,0.03256328796627663
1.834996229674364,1.9166107647649475,1.0363441493701444,0.08141028729935791,0.08495234274585955,0.7136110025140985,0.7561569851016617,47,1919,7734.28837,Ab,0.07480648953840086
1.834996229674364,2.0,1.0277379882694664,0.08335639744614531,0.0832758650198485,0.7086753096785745,0.7528808116464953,47,1983,7734.41637,Ab,0.08338923523505248
1.834996229674364,2.0,1.0186034355737212,0.08576548736486594,0.08413521530966761,0.7026021594861687,0.743016422873622,47,2047,7734.5443700000005,Ab,0.0
1.834996229674364,2.0,1.0151103440637728,0.09004470905898646,0.08494015052025408,0.6935888560214105,0.7217077108278314,119,2111,7734.67237,Ab,0.0
1.8427423596211356,2.0,1.0018311042276817,0.09173743731467439,0.08394277371237331,0.6921092958915337,0.7203340683699302,113,2175,7734.80037,Ab,0.007746129946771596
1.8427423596211356,2.0,0.9896454068184558,0.09447709844485798,0.08595049625158739,0.6926776997675763,0.7293946379917172,47,2239,7734.9283700000005,Ab,0.0
1.8427423596211356,2.0,0.9802584413066068,0.08924783396326635,0.08447616414945348,0.6936128381056743,0.7314768642433123,90,2303,7735.05637,Ab,0.0
1.8578808298839506,2.0,0.965615643741548,0.08559436734277143,0.08285798196165754,0.6946930175655428,0.7309436355317841,82,2367,7735.18437,Ab,0.015138470262815007
1.8728707120514154,1.9952319230660183,0.9505221532721351,0.08403483366096672,0.0842356547020686,0.6950210036235809,0.7317835374301358,110,2431,7735.312370000001,Ab,0.015729943580408898
1.8875272989823808,1.9622165751132963,0.9450676604946718,0.08578221804732952,0.08743399595671701,0.6883595081374541,0.7289743834197597,60,2495,7735.44037,Ab,0.03612241327630601
1.8947862376664841,2.0,0.9412537105629655,0.09408373904794404,0.09135083325231455,0.6805794075016727,0.7323918156071694,60,2559,7735.56837,Ab,0.038474399111470915
1.8947862376664841,2.0,0.9300406579875485,0.09842785770928811,0.09392020543903416,0.6732814553094435,0.7245385203507412,110,2623,7735.696370000001,Ab,0.0
1.8947862376664841,2.0,0.9258086035233142,0.10168962409614386,0.09633178604688175,0.6612900450580246,0.7042757216465277,110,2687,7735.82437,Ab,0.0
1.8875272989823808,2.0,0.9170696468010807,0.10033016626887124,0.0954533910623109,0.6524748765241053,0.6978266236060363,25,2751,7735.95237,Ab,0.007258938684103322
1.8634259852769095,2.0,0.9122713936404114,0.09968264535710342,0.09404830301110215,0.6403424967131837,0.6787063140591274,5,2815,7736.080370000001,Ab,0.024101313705471306
1.8634259852769095,2.0,0.9079531601185005,0.09730410298401052,0.09464253533622251,0.6309756164327597,0.6722087615982055,91,2879,7736.20837,Ab,0.0
1.8634259852769095,2.0,0.9026588100734567,0.0960787600790883,0.0935597025006608,0.6258641990506504,0.6649317840718952,91,2943,7736.33637,Ab,0.0
1.877501756661829,2.0,0.8941361896990702,0.09929057326284522,0.09490167370942151,0.6242232339233278,0.66901293528865,69,3007,7736.464370000001,Ab,0.014075771384919555
1.877501756661829,2.0,0.8825106274089437,0.09831229181117968,0.0951889603751651,0.6265987412807218,0.6824110761177274,69,3071,7736.59237,Ab,0.0
1.8844129532345637,2.0,0.872681992597651,0.09760694280986229,0.09486683107903483,0.6218137878950303,0.6670436288545796,69,3135,7736.72037,Ab,0.006911196572734646
1.8980318249628079,2.0,0.8628792262772979,0.10109152209681165,0.09570906893247628,0.6211416402599255,0.6663181509114874,69,3199,7736.848370000001,Ab,0.013618871728244164
