path_id,q,d,duration,replicate,direction,mode,window,true_center,ramp_start,ramp_end,source_advance,target_advance,predicted,first_x_p,last_x_p,endpoint_separation,ridge_level_x_p,predicted_ridge,transition_width,x_r_peak_center,x_r_peak,signed_error,abs_error
q13:d43:t256:r0:irrational_to_rational,13,43,256,0,irrational_to_rational,ordered,128,1408,1280,1536,0.5574385243020004,0.15384615384615385,True,1.4941454760864419,0.0,1.4941454760864419,0.7470727380432209,1564.4847860998348,64.0,1440.0,0.4316737055329213,156.48478609983476,156.48478609983476
q13:d43:t256:r0:irrational_to_rational,13,43,256,0,irrational_to_rational,ordered,256,1408,1280,1536,0.5574385243020004,0.15384615384615385,True,1.9579271053231782,0.0,1.9579271053231782,0.9789635526615891,1607.5849056726595,96.0,1408.0,1.4054182773304869,199.5849056726595,199.5849056726595
q13:d43:t256:r0:irrational_to_rational,13,43,256,0,irrational_to_rational,ordered,384,1408,1280,1536,0.5574385243020004,0.15384615384615385,True,2.0,0.0,2.0,1.0,1669.6889304711024,128.0,1376.0,2.0,261.68893047110237,261.68893047110237
q13:d43:t256:r0:irrational_to_rational,13,43,256,0,irrational_to_rational,ordered,512,1408,1280,1536,0.5574385243020004,0.15384615384615385,True,2.0,0.0,2.0,1.0,1733.6889304711024,128.0,1344.0,2.0,325.68893047110237,325.68893047110237
q13:d43:t256:r0:irrational_to_rational,13,43,256,0,irrational_to_rational,abrupt,128,1408,1280,1536,0.5574385243020004,0.15384615384615385,True,1.4941454760864419,0.0,1.4941454760864419,0.7470727380432209,1440.0,32.0,1408.0,2.0,32.0,32.0
q13:d43:t256:r0:irrational_to_rational,13,43,256,0,irrational_to_rational,abrupt,256,1408,1280,1536,0.5574385243020004,0.15384615384615385,True,1.9579271053231782,0.0,1.9579271053231782,0.9789635526615891,1485.1270571634793,96.0,1376.0,2.0,77.12705716347932,77.12705716347932
q13:d43:t256:r0:irrational_to_rational,13,43,256,0,irrational_to_rational,abrupt,384,1408,1280,1536,0.5574385243020004,0.15384615384615385,True,2.0,0.0,2.0,1.0,1547.4196664921549,96.0,1344.0,2.0,139.41966649215487,139.41966649215487
q13:d43:t256:r0:irrational_to_rational,13,43,256,0,irrational_to_rational,abrupt,512,1408,1280,1536,0.5574385243020004,0.15384615384615385,True,2.0,0.0,2.0,1.0,1611.4196664921549,96.0,1312.0,2.0,203.41966649215487,203.41966649215487
q13:d43:t256:r0:rational_to_irrational,13,43,256,0,rational_to_irrational,ordered,128,1408,1280,1536,0.15384615384615385,0.5574385243020004,True,0.0,1.4972314842003627,1.4972314842003627,0.7486157421001813,1251.7262928885273,64.0,1408.0,0.43648461733406435,-156.27370711147273,156.27370711147273
q13:d43:t256:r0:rational_to_irrational,13,43,256,0,rational_to_irrational,ordered,256,1408,1280,1536,0.15384615384615385,0.5574385243020004,True,0.0,1.9579271053231782,1.9579271053231782,0.9789635526615891,1208.1647310692317,128.0,1408.0,1.4554464723765181,-199.83526893076828,199.83526893076828
q13:d43:t256:r0:rational_to_irrational,13,43,256,0,rational_to_irrational,ordered,384,1408,1280,1536,0.15384615384615385,0.5574385243020004,True,0.0,2.0,2.0,1.0,1146.0312655390835,128.0,1376.0,2.0,-261.9687344609165,261.9687344609165
q13:d43:t256:r0:rational_to_irrational,13,43,256,0,rational_to_irrational,ordered,512,1408,1280,1536,0.15384615384615385,0.5574385243020004,True,0.0,2.0,2.0,1.0,1082.0312655390835,128.0,1344.0,2.0,-325.9687344609165,325.9687344609165
q13:d43:t256:r0:rational_to_irrational,13,43,256,0,rational_to_irrational,abrupt,128,1408,1280,1536,0.15384615384615385,0.5574385243020004,True,0.0,1.4972314842003627,1.4972314842003627,0.7486157421001813,1376.0,64.0,1408.0,2.0,-32.0,32.0
q13:d43:t256:r0:rational_to_irrational,13,43,256,0,rational_to_irrational,abrupt,256,1408,1280,1536,0.15384615384615385,0.5574385243020004,True,0.0,1.9579271053231782,1.9579271053231782,0.9789635526615891,1331.7073484463642,96.0,1376.0,2.0,-76.29265155363578,76.29265155363578
q13:d43:t256:r0:rational_to_irrational,13,43,256,0,rational_to_irrational,abrupt,384,1408,1280,1536,0.15384615384615385,0.5574385243020004,True,0.0,2.0,2.0,1.0,1269.5218712381366,96.0,1344.0,2.0,-138.47812876186345,138.47812876186345
q13:d43:t256:r0:rational_to_irrational,13,43,256,0,rational_to_irrational,abrupt,512,1408,1280,1536,0.15384615384615385,0.5574385243020004,True,0.0,2.0,2.0,1.0,1205.5218712381366,96.0,1312.0,2.0,-202.47812876186345,202.47812876186345
q13:d43:t256:r1:irrational_to_rational,13,43,256,1,irrational_to_rational,ordered,128,1432,1304,1560,0.5574385243020004,0.3076923076923077,True,1.4956243606113693,0.0,1.4956243606113693,0.7478121803056846,1587.1858566811964,64.0,1376.0,0.19919314751176212,155.18585668119636,155.18585668119636
q13:d43:t256:r1:irrational_to_rational,13,43,256,1,irrational_to_rational,ordered,256,1432,1304,1560,0.5574385243020004,0.3076923076923077,True,1.9579271053231782,0.0,1.9579271053231782,0.9789635526615891,1627.8617918447635,128.0,1440.0,0.6221644589179207,195.8617918447635,195.8617918447635
q13:d43:t256:r1:irrational_to_rational,13,43,256,1,irrational_to_rational,ordered,384,1432,1304,1560,0.5574385243020004,0.3076923076923077,True,2.0,0.0,2.0,1.0,1689.4457646713959,128.0,1440.0,1.0785563890911782,257.44576467139586,257.44576467139586
q13:d43:t256:r1:irrational_to_rational,13,43,256,1,irrational_to_rational,ordered,512,1432,1304,1560,0.5574385243020004,0.3076923076923077,True,2.0,0.0,2.0,1.0,1753.4457646713959,128.0,1440.0,1.3185221900603663,321.44576467139586,321.44576467139586
q13:d43:t256:r1:irrational_to_rational,13,43,256,1,irrational_to_rational,abrupt,128,1432,1304,1560,0.5574385243020004,0.3076923076923077,True,1.4956243606113693,0.0,1.4956243606113693,0.7478121803056846,1459.3530785802648,64.0,1440.0,1.8278700899533495,27.353078580264764,27.353078580264764
q13:d43:t256:r1:irrational_to_rational,13,43,256,1,irrational_to_rational,abrupt,256,1432,1304,1560,0.5574385243020004,0.3076923076923077,True,1.9579271053231782,0.0,1.9579271053231782,0.9789635526615891,1507.0312048532878,96.0,1440.0,1.8517363487171046,75.03120485328782,75.03120485328782
q13:d43:t256:r1:irrational_to_rational,13,43,256,1,irrational_to_rational,abrupt,384,1432,1304,1560,0.5574385243020004,0.3076923076923077,True,2.0,0.0,2.0,1.0,1569.5457962501623,128.0,1440.0,1.8498784690272847,137.5457962501623,137.5457962501623
