video,candidate_order,candidate_frame,playback_time_s,count_before,count_after,status
Video_S2.mp4,1,133,4.437766666666667,2,1,QA candidate only
Video_S2.mp4,2,198,6.6066,2,1,QA candidate only
Video_S3.mp4,1,55,1.8351666666666666,4,3,QA candidate only
Video_S3.mp4,2,136,4.537866666666667,3,2,QA candidate only
Video_S3.mp4,3,182,6.072733333333334,2,1,QA candidate only
Video_S3.mp4,4,267,8.908900000000001,2,1,QA candidate only
Video_S4.mp4,1,27,0.9009,2,1,QA candidate only
Video_S4.mp4,2,48,1.6016000000000001,2,1,QA candidate only
Video_S5.mp4,1,27,0.9009,2,1,QA candidate only
Video_S5.mp4,2,43,1.4347666666666667,2,1,QA candidate only
Video_S5.mp4,3,75,2.5025,2,1,QA candidate only
Video_S5.mp4,4,182,6.072733333333334,2,1,QA candidate only
Video_S6.mp4,1,45,1.5015,2,1,QA candidate only
Video_S7.mp4,1,49,1.6349666666666667,2,1,QA candidate only
Video_S7.mp4,2,95,3.1698333333333335,2,1,QA candidate only
