origin,target,origin_year,horizon,split,change,label,past_trend,base_levels,base_raw_movement,base_turn,base_diara,base_radius,base_quadrant,base_broken_diara
200801,200804,2008.0,3,evaluation,0.9,1.0,-0.3800000000000001,0.9192244973747244,0.9519720073093798,0.9304761495197459,1.0478896579881196,1.01592348536137,1.0015190623240007,0.9298495775819818
200802,200805,2008.0833333333333,3,evaluation,1.06,1.0,-0.11999999999999988,1.0758064792805668,1.0581291992575605,1.0787272642668437,1.1162813609608664,1.114089405118734,1.0141380264318045,1.0759474306586936
200803,200806,2008.1666666666667,3,evaluation,0.73,1.0,0.44000000000000017,1.3670435571487125,1.3818854481235074,1.2954932592022426,1.3306829062195336,1.4285929318189488,1.5548201370929853,1.3697018707180482
200804,200807,2008.25,3,evaluation,0.85,1.0,0.9,1.3073092209105925,1.307100018450339,1.32713525402039,1.3932141142992789,1.3773205363665073,1.4945922144928137,1.2219781998229826
200805,200808,2008.3333333333333,3,evaluation,0.6,1.0,1.06,1.200546546964723,1.2205298170306602,1.1978397108745868,1.1897467116724478,1.2007717121534949,0.925671367417725,1.1093350537649316
200806,200809,2008.4166666666667,3,evaluation,0.15999999999999998,1.0,0.73,0.6578845119201326,0.6124468939110801,0.6784260973449912,0.6429774323732514,0.6407728787991311,0.4709721349276491,0.5321080976777924
200807,200810,2008.5,3,evaluation,-0.26,-1.0,0.85,0.017030560126088917,-0.04608222759463475,-0.04182534179781239,-0.0681742555956276,0.015445328647725048,-0.15355075842509608,-0.04435160096138761
200808,200811,2008.5833333333333,3,evaluation,-0.33,-1.0,0.6,-0.0685310507690485,-0.08067353525076751,-0.011042237994078608,-0.11349866538542575,-0.13242852882997289,-0.024148731350321556,-0.43753130791729955
200809,200812,2008.6666666666667,3,evaluation,-0.62,-1.0,0.15999999999999998,-0.131312103557616,-0.13390683187200428,0.12788674443512804,0.027991291823413755,-0.2962406459386871,-0.12872003169662116,-0.37596474292901777
200810,200901,2008.75,3,evaluation,-0.7,-1.0,-0.26,-0.11973670575135173,-0.13321899052104386,-0.3666905572991084,-0.6666536915087831,-0.4245509647008089,0.02497356608115267,-0.0904042873173092
200811,200902,2008.8333333333333,3,evaluation,-0.33999999999999997,-1.0,-0.33,-0.3326692461317777,-0.3697571468307075,-0.19682885166887376,-0.3676132596370886,-0.5608341523483771,-0.6379760537472008,-0.21385425910866895
200812,200903,2008.9166666666667,3,evaluation,0.18000000000000005,1.0,-0.62,-0.17823823016850257,-0.16308193571284327,-0.29986799195889835,-0.13337748867707208,-0.08006227196965074,0.01685526871316881,0.016066186378025663
200901,200904,2009.0,3,evaluation,0.75,1.0,-0.7,0.42551813315817316,0.4470918999506966,0.40985390100942404,0.58921957785946,0.6234897076146421,0.7711515208098064,0.7844859541076393
200902,200905,2009.0833333333333,3,evaluation,0.88,1.0,-0.33999999999999997,0.37606885457084976,0.32059931135114694,0.4033591801785573,0.725922685918995,0.6983552035714805,0.5188075110570849,0.7103708853413917
200903,200906,2009.1666666666667,3,evaluation,1.21,1.0,0.18000000000000005,0.4329094103332002,0.43089026044028556,0.4556872128083653,0.6802206510018034,0.6247947664717892,0.8227881690464935,0.7189705799716622
200904,200907,2009.25,3,evaluation,0.94,1.0,0.75,0.5895863618027333,0.5751500087886242,0.4682652139256148,0.20616695155485026,0.3905772359586397,0.4245262250691539,0.7800842620129239
200905,200908,2009.3333333333333,3,evaluation,0.44999999999999996,1.0,0.88,0.9132060485415184,0.9599600814482788,0.8868043674661684,0.7114884665299419,0.7616264412757615,0.8604755817220578,1.0606823922308073
200906,200909,2009.4166666666667,3,evaluation,0.19000000000000006,1.0,1.21,0.6340088454688959,0.6587109492464118,0.7522235405739135,0.639742159107568,0.5642823434008419,0.6849929296735326,0.7848891688653619
200907,200910,2009.5,3,evaluation,0.27,1.0,0.94,0.21911788562271795,0.2198752006915949,0.23517123431003595,0.19940978800119313,0.2332699741391033,0.28224038813957664,0.27385983418644444
200908,200911,2009.5833333333333,3,evaluation,0.87,1.0,0.44999999999999996,-0.2669846161757585,-0.2512450399149913,-0.2147413564366295,-0.05534404518498709,-0.07330148279596446,-0.18985618466121557,-0.23624260299373578
200909,200912,2009.6666666666667,3,evaluation,1.13,1.0,0.19000000000000006,-0.5501407746351783,-0.555750492484111,-0.5058355847810018,-0.4470429395742367,-0.48247927106849653,-0.40952811539495165,-0.5692377129947811
200910,201001,2009.75,3,evaluation,0.47,1.0,0.27,-0.5099128960464027,-0.5075394425102067,-0.46896621853160786,-0.49152107112103743,-0.5392384982198322,-0.5834896929213813,-0.4927523731763816
200911,201002,2009.8333333333333,3,evaluation,-0.31000000000000005,-1.0,0.87,-0.6051505917355755,-0.6143208014147709,-0.5822415149224651,-0.6052319616028584,-0.6357262030218365,-0.7154194923311585,-0.6408090261680089
200912,201003,2009.9166666666667,3,evaluation,-0.74,-1.0,1.13,-0.555279556513099,-0.5530983067990414,-0.555126016865804,-0.4704217677687484,-0.46565026549362715,-0.6589087533485087,-0.5291122574374401
201001,201004,2010.0,3,evaluation,-0.8699999999999999,-1.0,0.47,-0.4500671743351914,-0.4180670026691544,-0.46475608680180236,-0.42134665380106173,-0.3841194764028357,-0.43261528998140963,-0.4021790668730012
201002,201005,2010.0833333333333,3,evaluation,-1.3299999999999998,-1.0,-0.31000000000000005,-0.4023898342635227,-0.3702403132028045,-0.3884065751926926,-0.4138354741884971,-0.4236770553508229,-0.3510036477834779,-0.423088529198817
201003,201006,2010.1666666666667,3,evaluation,-1.69,-1.0,-0.74,-0.47535162110273455,-0.4810289754295739,-0.5408567219349618,-0.7002979055671363,-0.6402673065957061,-0.7201951894775476,-0.5982169447256778
201004,201007,2010.25,3,evaluation,-1.4500000000000002,-1.0,-0.8699999999999999,-0.7464981991111053,-0.7448399520396083,-0.891129338216839,-1.1722117459633572,-0.9826208771774323,-0.939042815065497,-0.8483584226139498
201005,201008,2010.3333333333333,3,evaluation,-1.1800000000000002,-1.0,-1.3299999999999998,-0.5534145497024322,-0.5528279814736394,-0.61747064000517,-0.8139288850790626,-0.7212683526686314,-0.5581547782180286,-0.6560736570027609
201006,201009,2010.4166666666667,3,evaluation,-0.9400000000000001,-1.0,-1.69,-0.37747667437110594,-0.3938500645244505,-0.14846192624891866,-0.19151122446511842,-0.45829732619884156,-0.6009565572999372,-0.7871222881957104
201007,201010,2010.5,3,evaluation,-0.7599999999999999,-1.0,-1.4500000000000002,-0.008511323680502822,-0.00283015046181212,0.13658640880935258,0.1762229074643309,0.004660738912934323,0.1636786188924263,-0.2528911107333274
201008,201011,2010.5833333333333,3,evaluation,-0.24,-1.0,-1.1800000000000002,0.2606939011154443,0.2714351040279098,0.3431337542764247,0.5643866079369687,0.4709470855784119,0.3920192708796515,0.1392005506870332
201009,201012,2010.6666666666667,3,evaluation,-0.06999999999999984,-1.0,-0.9400000000000001,0.248261386264288,0.21705451987752905,0.29412066467503417,0.49497874424426713,0.4422835230398952,0.3703286469841927,0.2649995506227343
