replicate,pseudo_onset_completed_runs,joint_shift_completed_runs,conditional_in_box_completed_runs
0,2,0,8
1,1,0,7
2,2,1,7
3,2,0,6
4,0,0,8
5,1,0,8
6,0,0,9
7,0,0,7
8,0,0,6
9,0,0,8
10,0,0,8
11,0,0,8
12,0,0,8
13,0,1,9
14,0,0,9
15,0,0,7
16,0,0,7
17,0,0,5
18,0,0,9
19,2,0,8
20,0,0,8
21,0,0,10
22,2,0,7
23,0,0,7
24,0,1,9
25,1,0,7
26,0,0,8
27,0,0,8
28,0,0,7
29,0,0,9
30,0,0,7
31,1,1,7
32,1,0,7
33,1,0,8
34,0,0,6
35,0,0,8
36,1,0,7
37,0,0,7
38,1,0,7
39,0,0,6
40,0,0,7
41,0,0,7
42,0,1,8
43,0,0,8
44,0,1,7
45,0,0,5
46,0,0,9
47,0,0,6
48,0,0,6
49,0,0,7
50,0,0,7
51,1,0,6
52,0,0,7
53,1,0,8
54,0,0,7
55,0,0,8
56,0,0,8
57,0,0,6
58,0,0,7
59,0,0,6
60,0,0,8
61,0,0,8
62,1,0,7
63,0,0,7
64,0,0,8
65,0,0,6
66,0,0,5
67,0,0,7
68,0,0,7
69,0,1,8
70,0,0,7
71,0,1,8
72,0,0,10
73,0,0,7
74,0,0,8
75,0,0,8
76,0,0,6
77,1,1,7
78,0,0,7
79,1,0,8
80,0,0,8
81,0,0,9
82,0,0,7
83,0,1,7
84,1,0,7
85,0,0,7
86,0,0,9
87,1,0,7
88,0,0,7
89,1,0,6
90,1,0,7
91,0,0,6
92,1,0,7
93,1,0,7
94,0,0,7
95,0,0,6
96,0,0,8
97,0,0,8
98,0,0,9
99,1,0,6
100,0,0,6
101,1,0,11
102,0,0,8
103,0,0,7
104,0,0,6
105,0,0,8
106,1,0,9
107,0,0,8
108,0,0,8
109,0,0,10
110,0,0,6
111,0,0,5
112,0,1,8
113,0,0,6
114,0,0,7
115,0,0,8
116,1,2,7
117,0,0,6
118,1,0,7
119,0,1,7
120,0,0,6
121,0,0,11
122,0,0,9
123,0,1,8
124,0,1,7
125,0,0,6
126,0,0,7
127,0,0,7
128,0,0,7
129,1,0,8
130,0,0,8
131,0,0,8
132,0,0,5
133,1,0,9
134,0,0,8
135,0,0,6
136,1,0,8
137,0,0,8
138,0,0,8
139,0,1,6
140,0,0,7
141,0,0,5
142,0,0,9
143,0,0,7
144,1,0,7
145,0,0,6
146,0,0,7
147,0,0,7
148,0,1,7
149,0,0,6
150,0,0,8
151,0,1,6
152,1,0,9
153,0,0,7
154,0,0,10
155,0,0,8
156,0,0,6
157,0,0,9
158,0,0,8
159,1,0,7
160,0,0,7
161,0,0,6
162,0,0,9
163,0,0,6
164,0,0,8
165,0,0,7
166,0,0,10
167,0,0,7
168,1,0,7
169,0,1,9
170,0,0,7
171,0,0,5
172,0,0,8
173,0,0,8
174,1,0,8
175,0,0,7
176,1,0,6
177,0,0,8
178,0,1,8
179,0,0,7
180,0,0,9
181,1,0,7
182,1,0,8
183,0,0,7
184,0,0,9
185,0,0,6
186,1,0,8
187,0,0,8
188,0,0,6
189,0,0,6
190,2,0,9
191,0,0,7
192,0,0,9
193,0,0,8
194,1,0,8
195,0,0,8
196,0,0,6
197,0,0,8
198,0,0,7
199,2,0,5
200,0,0,7
201,2,0,7
202,0,1,7
203,0,0,9
204,0,0,7
205,1,0,6
206,1,0,7
207,1,0,7
208,0,0,7
209,0,0,7
210,0,0,8
211,0,0,7
212,0,0,7
213,0,0,8
214,1,1,8
215,1,1,8
216,0,0,11
217,0,0,8
218,1,0,7
219,0,0,7
220,0,0,7
221,0,0,10
222,0,0,6
223,0,0,8
224,0,0,6
225,0,0,10
226,0,0,6
227,0,0,6
228,0,0,6
229,1,0,8
230,0,0,8
231,0,0,7
232,1,0,6
233,1,1,8
234,1,0,10
235,0,1,6
236,1,0,7
237,0,1,6
238,0,0,8
239,0,0,6
240,1,0,9
241,0,0,9
242,1,0,5
243,0,0,8
244,0,0,7
245,0,0,8
246,0,0,8
247,1,0,8
248,1,0,9
249,0,0,8
250,1,1,6
251,0,0,7
252,1,1,7
253,1,1,6
254,1,0,7
255,0,0,7
256,0,0,7
257,0,0,6
258,2,0,8
259,0,0,6
260,0,0,6
261,0,0,8
262,0,0,7
263,0,1,7
264,0,0,8
265,0,0,7
266,0,0,7
267,0,0,8
268,0,0,7
269,1,0,5
270,0,0,6
271,0,0,9
272,0,1,6
273,1,0,6
274,0,0,7
275,0,0,8
276,0,1,7
277,0,0,6
278,0,0,9
279,0,0,7
280,0,0,6
281,0,0,7
282,0,0,7
283,0,0,7
284,1,0,8
285,0,0,7
286,0,1,7
287,0,0,8
