partition,quiet_guard_child_horizons,fluid,metric,n_events,median,bootstrap_95_low,bootstrap_95_high,fraction_positive
development,1.0,S1,position_alignment_parent_grandchild,32,0.08611450383343669,-0.06549281013911959,0.24760950796373984,0.59375
development,1.0,S1,position_alignment_parent_child,32,-0.35933185719415717,-0.46028170993855255,0.04580730623535636,0.40625
development,1.0,S1,position_alignment_child_grandchild,32,-0.4162239886627698,-0.5882257383001495,-0.2503570220259894,0.15625
development,1.0,S1,flow_alignment_parent_grandchild,32,-0.06783141909858734,-0.13918835032709967,0.08951411816347464,0.4375
development,1.0,S1,opposite_side_fraction_parent_grandchild,32,0.4444444444444444,0.3684210526315789,0.49242424242424243,1.0
development,1.0,S1,opposite_side_fraction_parent_child,32,0.6754385964912281,0.6181818181818182,0.7555555555555555,0.96875
development,1.0,S3,position_alignment_parent_grandchild,7,0.3337267946304146,0.303326285429314,0.4425971998758701,1.0
development,1.0,S3,position_alignment_parent_child,7,-0.6431554915725387,-0.8306823152047301,-0.4845700330622818,0.14285714285714285
development,1.0,S3,position_alignment_child_grandchild,7,-0.279002008392534,-0.537744539311983,-0.2000181381504404,0.0
development,1.0,S3,flow_alignment_parent_grandchild,7,0.005314312134523467,-0.07871150525075134,0.06981404929719691,0.5714285714285714
development,1.0,S3,opposite_side_fraction_parent_grandchild,7,0.3353658536585366,0.3038961038961039,0.4012539184952978,1.0
development,1.0,S3,opposite_side_fraction_parent_child,7,0.8051948051948052,0.7241379310344828,0.8972746331236897,1.0
development,2.0,S1,position_alignment_parent_grandchild,32,0.07587309402198604,-0.09178575245711035,0.2398385810019974,0.5625
development,2.0,S1,position_alignment_parent_child,32,-0.33532505395864753,-0.4605405909223923,0.045302580611334936,0.40625
development,2.0,S1,position_alignment_child_grandchild,32,-0.3969349113286521,-0.5882257383001495,-0.26703999056789574,0.125
development,2.0,S1,flow_alignment_parent_grandchild,32,-0.0025529327231778864,-0.14162078160363117,0.12883809381359532,0.5
development,2.0,S1,opposite_side_fraction_parent_grandchild,32,0.4365079365079365,0.3888888888888889,0.5,1.0
development,2.0,S1,opposite_side_fraction_parent_child,32,0.6594202898550725,0.6,0.7612781954887218,0.96875
development,2.0,S3,position_alignment_parent_grandchild,7,0.3211693511920977,0.2767136057960231,0.4942262768726575,1.0
development,2.0,S3,position_alignment_parent_child,7,-0.6925988927490674,-0.8257039270689444,-0.4838252315117672,0.14285714285714285
development,2.0,S3,position_alignment_child_grandchild,7,-0.28903475213150603,-0.49439610240442905,-0.09366363980032139,0.0
development,2.0,S3,flow_alignment_parent_grandchild,7,-0.006441773315803478,-0.06667267101456223,0.09721933599780117,0.42857142857142855
development,2.0,S3,opposite_side_fraction_parent_grandchild,7,0.35909090909090907,0.2890625,0.4146341463414634,1.0
development,2.0,S3,opposite_side_fraction_parent_child,7,0.8361344537815126,0.7073170731707317,0.8886363636363637,1.0
diagnostic,1.0,S2,position_alignment_parent_grandchild,61,0.3013134480967085,0.21977928622644993,0.35781220756926957,0.9344262295081968
diagnostic,1.0,S2,position_alignment_parent_child,61,-0.5470056693277058,-0.6129590018103253,-0.40843821127954405,0.06557377049180328
diagnostic,1.0,S2,position_alignment_child_grandchild,61,-0.4963882411400333,-0.5881185013565134,-0.43321188557877255,0.06557377049180328
diagnostic,1.0,S2,flow_alignment_parent_grandchild,61,-0.02626621598836541,-0.08226070522729773,0.024600479453710113,0.4426229508196721
diagnostic,1.0,S2,opposite_side_fraction_parent_grandchild,61,0.32142857142857145,0.2926829268292683,0.38461538461538464,1.0
diagnostic,1.0,S2,opposite_side_fraction_parent_child,61,0.8095238095238095,0.76,0.8571428571428571,1.0
diagnostic,1.0,S4,position_alignment_parent_grandchild,20,0.27442706549042506,0.1868307073427194,0.3835091399922329,0.95
diagnostic,1.0,S4,position_alignment_parent_child,20,-0.7191033688457453,-0.7799831525585597,-0.6380250102537779,0.0
diagnostic,1.0,S4,position_alignment_child_grandchild,20,-0.4787778774067233,-0.5409607959056519,-0.31140373918096403,0.1
diagnostic,1.0,S4,flow_alignment_parent_grandchild,20,-0.0038493437816310297,-0.02289038073705544,0.032735440248148465,0.4
diagnostic,1.0,S4,opposite_side_fraction_parent_grandchild,20,0.3752161881701833,0.35876623376623373,0.40375325157933856,1.0
diagnostic,1.0,S4,opposite_side_fraction_parent_child,20,0.8970026350461133,0.8253532182103611,0.9487847222222222,1.0
diagnostic,2.0,S2,position_alignment_parent_grandchild,61,0.2928787685793566,0.21070979658647215,0.3658673528797048,0.9344262295081968
diagnostic,2.0,S2,position_alignment_parent_child,61,-0.5500388146408364,-0.625430843629761,-0.42045664300943736,0.09836065573770492
diagnostic,2.0,S2,position_alignment_child_grandchild,61,-0.468014921335819,-0.5664945532505761,-0.40894218145413036,0.09836065573770492
diagnostic,2.0,S2,flow_alignment_parent_grandchild,61,-0.03122335850656164,-0.08004336228354396,0.011351230075271553,0.39344262295081966
diagnostic,2.0,S2,opposite_side_fraction_parent_grandchild,61,0.32142857142857145,0.3,0.38333333333333336,1.0
diagnostic,2.0,S2,opposite_side_fraction_parent_child,61,0.8235294117647058,0.7647058823529411,0.873015873015873,1.0
diagnostic,2.0,S4,position_alignment_parent_grandchild,20,0.2790735410411467,0.18546607140999588,0.38649322810274733,0.95
diagnostic,2.0,S4,position_alignment_parent_child,20,-0.7179271656387944,-0.7999713691673462,-0.6444010946227576,0.0
diagnostic,2.0,S4,position_alignment_child_grandchild,20,-0.4522323653313558,-0.5161723074122218,-0.2555926873640745,0.1
diagnostic,2.0,S4,flow_alignment_parent_grandchild,20,0.03700951175571636,-0.022549207766235715,0.05063846539135817,0.65
diagnostic,2.0,S4,opposite_side_fraction_parent_grandchild,20,0.3810556031658013,0.3588868317519093,0.398628416883995,1.0
diagnostic,2.0,S4,opposite_side_fraction_parent_child,20,0.9042120333044494,0.8213391739674594,0.9502625888168057,1.0
