carrier_name,carrier,split,level,count,lower_count,upper_count,boundary_count,u_minus,u_plus,product,implied_alpha,midpoint_log,score,winner,score_plastic,score_sqrt2,score_three_halves,score_phi,score_t333_qutrit,score_two,score_e,score_fitted_calibration
primary_two,2.0,calibration,pooled,500,189,311,0,0.8335546040951981,1.2109181872740122,1.0093664301848642,1.2052867262244968,0.004661418586756311,,fitted_calibration,0.09448208861098753,0.15985610456799834,0.21874762239619003,0.29449433934762914,0.4061197658624216,0.506429694847971,0.8132825142880257,0.004661418586756311
primary_two,2.0,calibration,0,125,69,56,0,0.760419124186178,1.2510955201864753,0.9513569597334502,1.282647410751831,-0.02495928690313974,,plastic,0.03224702324636719,0.097621039203378,0.1565125570315697,0.23225927398300877,0.34388470049780123,0.4441946294833506,0.7510474489234054,0.06223506536462026
primary_two,2.0,calibration,1,125,63,62,0,0.7903497902762351,1.17786970619665,0.930929075265253,1.220753999768532,-0.03581095857549613,,fitted_calibration,0.08170600823230542,0.14708002418931623,0.20597154201750792,0.281718258968947,0.39334368548373944,0.49365361446928885,0.8005064339093435,0.03578609292366888
primary_two,2.0,calibration,2,125,38,87,0,0.8417632682588014,1.1654547010989134,0.9810369582046059,1.176665765565863,-0.009573504226399937,,fitted_calibration,0.11851568902280256,0.18388970497981338,0.24278122280800507,0.31852793975944416,0.4301533662742366,0.530463295259786,0.8373161146998407,0.024033600411815112
primary_two,2.0,calibration,3,125,19,106,0,0.9213142654894564,1.2525339591664437,1.1539774045900328,1.1659793435273025,0.07160729320009337,,fitted_calibration,0.12763820151481886,0.19301221747182967,0.25190373530002136,0.32765045225146044,0.4392758787662529,0.5395858077518023,0.8464386271918569,0.07160729390812723
primary_two,2.0,evaluation,pooled,688,276,412,0,0.8673305904653243,1.191348069510167,1.0332926245779774,1.171998442121046,0.01637502208782271,,fitted_calibration,0.1224892900864567,0.18786330604346752,0.2467548238716592,0.3225015408230983,0.43412696733789075,0.5344368963234402,0.8412897157634948,0.028007201475469257
primary_two,2.0,evaluation,0,172,74,98,0,0.784689018182552,1.1907663534218458,0.9343812807514059,1.231878648825214,-0.033945317932389044,,fitted_calibration,0.0726671297272083,0.1380411456842191,0.1969326635124108,0.2726793804638499,0.38430480697864233,0.48461473596419175,0.7914675554042464,0.03393535027563159
primary_two,2.0,evaluation,1,172,81,91,0,0.8344430902069406,1.150377862677684,0.9599248586384221,1.1741454419670596,-0.02045013491766562,,fitted_calibration,0.12065897475802478,0.1860329907150356,0.24492450854322728,0.32067122549466637,0.4322966520094588,0.5326065809950082,0.8394594004350628,0.026176886147037337
primary_two,2.0,evaluation,2,172,81,91,0,0.8939961577701534,1.1674231425453798,1.0436718039275277,1.1427370885705928,0.02137253799180868,,fitted_calibration,0.14777323471704576,0.21314725067405657,0.2720387685022483,0.34778548545368737,0.45941091196847983,0.5597208409540291,0.8665736603940839,0.053291146106058306
primary_two,2.0,evaluation,3,172,40,132,0,0.9378294620825409,1.2327262364242615,1.1560869832008003,1.1464939320660148,0.07251186716362133,,fitted_calibration,0.14449191146962884,0.20986592742663965,0.26875744525483136,0.34450416220627045,0.4561295887210629,0.5564395177066123,0.863292337146667,0.07252050620140763
primary_two,2.0,holdout,pooled,160,72,88,0,0.78467222662847,1.2230702111839489,0.9597092259326623,1.2484854891501955,-0.020567092779405355,,fitted_calibration,0.0592728452575732,0.12464686121458401,0.1835383790427757,0.2592850959942148,0.37091052250900725,0.4712204514945566,0.7780732709346113,0.035209243353414243
