split,video,file,track_id,segment_index,start_frame,candidate,increment_ara,local_directed,parent_directed,local_reverse_orientation,parent_reverse_orientation,local_reversible,parent_reversible,local_reversible_sign,parent_reversible_sign,return_mae
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,persistence,0.0,0.17967019988346644,0.44573734017834843,0.17967019988346644,0.44573734017834843,0.17967019988346644,0.44573734017834843,1.0,1.0,0.2102345087053239
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,ridge,1.0,0.8203298001165336,0.4779915173193896,0.8203298001165336,0.4779915173193896,0.8203298001165336,0.4779915173193896,1.0,1.0,0.5465801187050189
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,silver_conjugate,1.1715728752538097,0.774164464924536,0.4726666254775411,0.6952149730339294,0.5003851020275325,0.6952149730339294,0.4726666254775411,-1.0,1.0,0.29308652708094396
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,two_fifths,1.2,0.7457373401783458,0.4457373401783489,0.6888840028247514,0.4373415201045403,0.6888840028247514,0.4373415201045403,-1.0,-1.0,0.24537127691173768
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,phi,1.2360679774997896,0.7132397755365423,0.5182468983491884,0.6874403106711866,0.5758068932957523,0.6874403106711866,0.5182468983491884,-1.0,1.0,0.17466953720922054
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,fibonacci_8_21,1.2380952380952381,0.7112125149410937,0.47856914641511183,0.685413050075738,0.5940522386547882,0.685413050075738,0.47856914641511183,-1.0,1.0,0.18142707252738202
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,three_eighths,1.25,0.6993077530363319,0.4939948656296631,0.6735082881709762,0.6167878482877391,0.6735082881709762,0.4939948656296631,-1.0,1.0,0.14566656462941235
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,one_over_e,1.2642411176571153,0.6875013568915704,0.5205812354851935,0.6592671705138609,0.5658237554187711,0.6592671705138609,0.5205812354851935,-1.0,1.0,0.15212951345251152
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,one_third,1.3333333333333335,0.6184091412153523,0.548804904202356,0.6464836070028441,0.5753075322940984,0.6184091412153523,0.548804904202356,1.0,1.0,0.433482159208521
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,persistence,0.0,0.16110542858974553,0.21406390232442973,0.16110542858974553,0.21406390232442973,0.16110542858974553,0.21406390232442973,1.0,1.0,0.25244448812953985
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,ridge,1.0,0.8388945714102545,0.5398089891773874,0.8388945714102545,0.5398089891773874,0.8388945714102545,0.5398089891773874,1.0,1.0,0.5525130411284097
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,silver_conjugate,1.1715728752538097,0.7966506940265317,0.6132357963941808,0.7687665852967147,0.4858385146894255,0.7687665852967147,0.4858385146894255,-1.0,-1.0,0.27739153907250363
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,two_fifths,1.2,0.7820884780208119,0.4068863982828903,0.7466714198740811,0.5519244619578101,0.7466714198740811,0.4068863982828903,-1.0,1.0,0.22967628890329736
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,phi,1.2360679774997896,0.7490316494028966,0.41909865928161816,0.7106034423742915,0.6297348565367991,0.7106034423742915,0.41909865928161816,-1.0,1.0,0.20128354564765258
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,fibonacci_8_21,1.2380952380952381,0.747004388807448,0.4385517285183804,0.708576181778843,0.6192685810421112,0.708576181778843,0.4385517285183804,-1.0,1.0,0.2046623133067332
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,three_eighths,1.25,0.7350996269026862,0.49807553804218974,0.6966714198740811,0.6489797046904837,0.6966714198740811,0.49807553804218974,-1.0,1.0,0.14238280611516602
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,one_over_e,1.2642411176571153,0.7208585092455708,0.5235837703679083,0.6824303022169658,0.47593342055603594,0.6824303022169658,0.47593342055603594,-1.0,-1.0,0.14789180078848965
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,one_third,1.3333333333333335,0.6517662935693527,0.5558337575459871,0.6211573467192237,0.49807553804218974,0.6211573467192237,0.49807553804218974,-1.0,-1.0,0.38316375265361674
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,persistence,0.0,0.3662472319162293,0.4580587679540937,0.3662472319162293,0.4580587679540937,0.3662472319162293,0.4580587679540937,1.0,1.0,0.2759089586836528
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,ridge,1.0,0.6337527680837707,0.602416382349567,0.6337527680837707,0.6024163823495661,0.6337527680837707,0.6024163823495661,1.0,-1.0,0.6285627081884483
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,silver_conjugate,1.1715728752538097,0.620368356792097,0.548375875242896,0.6706388158176408,0.4792440910777249,0.620368356792097,0.4792440910777249,1.0,-1.0,0.3120161141973134
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,two_fifths,1.2,0.5919412320459068,0.6927508529512996,0.6422116910714506,0.6121439767561627,0.5919412320459068,0.6121439767561627,1.0,-1.0,0.24534944753064694
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,phi,1.2360679774997896,0.5881554583044588,0.5523569222006064,0.606143713571661,0.3320710779534033,0.5881554583044588,0.3320710779534033,1.0,-1.0,0.1151111237363139
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,fibonacci_8_21,1.2380952380952381,0.5861281977090103,0.5618388919163235,0.6041164529762124,0.3117984719989182,0.5861281977090103,0.3117984719989182,1.0,-1.0,0.11848989139539452
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,three_eighths,1.25,0.5946542655312497,0.45174247454868555,0.6081137967510719,0.35241638234956607,0.5946542655312497,0.35241638234956607,1.0,-1.0,0.10799885284210504
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,one_over_e,1.2642411176571153,0.5804131478741343,0.3729494595843561,0.6223549144081872,0.4590865599182039,0.5804131478741343,0.3729494595843561,1.0,1.0,0.16971036268960452
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,one_third,1.3333333333333335,0.5113209321979162,0.5075975401092259,0.5780811338837621,0.4580587679540895,0.5113209321979162,0.4580587679540895,1.0,-1.0,0.3010633583109357
calibration,V02,V02_Amp0.0_umf1.25.csv,133,0,293,persistence,0.0,0.21201999925826565,0.16375493890692017,0.21201999925826565,0.16375493890692017,0.21201999925826565,0.16375493890692017,1.0,1.0,0.17819576445105864
calibration,V02,V02_Amp0.0_umf1.25.csv,133,0,293,ridge,1.0,0.7879800007417344,0.6168750612523437,0.7879800007417344,0.6168750612523437,0.7879800007417344,0.6168750612523437,1.0,1.0,0.5955819052740284
calibration,V02,V02_Amp0.0_umf1.25.csv,133,0,293,silver_conjugate,1.1715728752538097,0.7492411380240358,0.4760409287874199,0.7567470551502558,0.4753967444161873,0.7492411380240358,0.4753967444161873,1.0,-1.0,0.3190557412909993
calibration,V02,V02_Amp0.0_umf1.25.csv,133,0,293,two_fifths,1.2,0.7208140132778456,0.6499999999999986,0.7283199304040655,0.5168750612523452,0.7208140132778456,0.5168750612523452,1.0,-1.0,0.27134049112179304
calibration,V02,V02_Amp0.0_umf1.25.csv,133,0,293,phi,1.2360679774997896,0.6997837416895047,0.546438543747505,0.6922519529042759,0.47135954999579255,0.6922519529042759,0.47135954999579255,-1.0,-1.0,0.13597658622967182
calibration,V02,V02_Amp0.0_umf1.25.csv,133,0,293,fibonacci_8_21,1.2380952380952381,0.6977564810940562,0.5447073198593002,0.6902246923088273,0.4393030377350544,0.6902246923088273,0.4393030377350544,-1.0,-1.0,0.1427341215478333
calibration,V02,V02_Amp0.0_umf1.25.csv,133,0,293,three_eighths,1.25,0.6858517191892943,0.5151461721883666,0.6783199304040655,0.49999999999999956,0.6783199304040655,0.49999999999999956,-1.0,-1.0,0.12789536021873613
