split,video,frame,inherited_id,phi_real,phi_broken,phi_contact_scramble,phi_preordinary,real_minus_broken,real_minus_contact_scramble,real_minus_preordinary
calibration,V03,1909,1064,0.787864967138628,nan,nan,0.6392367158306185,nan,nan,0.1486282513080095
calibration,V04,81,80,0.711622986991653,0.8972523118461091,0.711622986991653,0.7766576338482023,-0.18562932485445605,0.0,-0.06503464685654925
calibration,V04,889,769,0.8353610961347584,0.8749142209392515,0.8353610961347584,0.7361324672099867,-0.039553124804493134,0.0,0.09922862892477169
calibration,V04,1294,1175,0.9342217200851777,0.9581583847938078,0.4620857650855985,0.5661492731537043,-0.023936664708630095,0.47213595499957917,0.36807244693147334
calibration,V04,1648,1484,0.7852789843219594,0.8911020219839616,0.7852789843219594,0.753767068037388,-0.10582303766200218,0.0,0.031511916284571395
calibration,V04,1683,1509,0.009571885816920256,0.08749046647347325,0.009571885816920256,nan,-0.077918580656553,0.0,nan
calibration,V04,1851,1638,0.5874904664734732,0.3035154466607759,0.9403735785269476,0.838334787798827,0.28397501981269735,-0.35288311205347433,-0.2508443213253537
calibration,V05,47,81,0.14678268072413125,0.3495557287654347,0.14678268072413125,nan,-0.20277304804130347,0.0,nan
calibration,V05,608,776,0.7962410587751612,0.9651023759169708,0.7962410587751612,0.9364557509243929,-0.16886131714180963,0.0,-0.14021469214923177
calibration,V05,1910,2454,0.07022168412930374,0.1808928077809695,0.4019142708702754,0.19699311131471386,-0.11067112365166576,-0.3316925867409717,-0.12677142718541012
calibration,V05,2375,3026,0.6058718714271691,0.38299785516310525,0.9219921735732517,0.8839850397469344,0.2228740162640639,-0.31612030214608255,-0.2781131683197653
calibration,V05,2423,3082,0.5709232232068571,0.5998206974538902,0.5709232232068571,0.6290656718963982,-0.02889747424703315,0.0,-0.058142448689541104
calibration,V05,2482,3160,0.5831174974402442,0.2731558134390035,0.9447465475601766,0.6785007520149686,0.3099616840012407,-0.3616290501199324,-0.09538325457472441
calibration,V05,2648,3400,0.6843944718394706,0.48162142379816686,0.8434695731609503,0.8569112910312646,0.2027730480413037,-0.15907510132147973,-0.17251681919179407
calibration,V06,574,931,0.9352024944885167,0.5000198499234092,0.5926615505119042,0.7265656462721104,0.43518264456510747,0.3425409439766125,0.20863684821640627
calibration,V06,2520,4110,0.6945929654422527,0.31443356094922215,0.8332710795581681,0.7371410023861491,0.38015940449303054,-0.13867811411591546,-0.04254803694389642
calibration,V06,2829,4697,0.6303530043370564,0.6853762444091331,0.6303530043370564,0.7753380966790475,-0.05502324007207671,0.0,-0.14498509234199108
calibration,V07,757,1458,0.9860679774997921,0.6270554433961757,0.5139320225002131,0.36052631237196553,0.35901253410361644,0.47213595499957905,0.6255416651278266
calibration,V07,784,1528,0.6034050340788135,0.7570695176113056,0.9244590109216073,0.9118577247972215,-0.15366448353249207,-0.3210539768427938,-0.308452690718408
calibration,V07,791,1493,0.8878716570713563,0.8316154287223794,0.6399923879290645,nan,0.05625622834897692,0.24787926914229175,nan
calibration,V07,792,1493,0.5675980951582238,0.3727875255490931,0.5675980951582238,0.5558134010647868,0.19481056960913068,0.0,0.011784694093436965
calibration,V07,1662,3214,0.960321487500811,0.0880169290682975,0.5675425574996098,0.6962904318637451,0.8723045584325135,0.39277893000120123,0.26403105563706597
calibration,V07,2904,5592,0.07562047381609238,0.6812305400056686,0.07562047381609238,0.7542959665842406,-0.6056100661895762,0.0,-0.6786754927681482
