split,video,file,amplitude,umf,track_id,segment_index,start_frame,time_sec,s0_m,s1_m,s2_m,s3_m,handover_direction,q_whole,q_lineage,future_turn_tension,future_speed_tension,immediate_turn_tension,persists_10_frames,distance_phi_shift_control,nonoverlap,distance_one,direct_distance_one,distance_one_shift_control,direct_distance_one_shift_control,distance_sqrt2,direct_distance_sqrt2,distance_sqrt2_shift_control,direct_distance_sqrt2_shift_control,distance_three_halves,direct_distance_three_halves,distance_three_halves_shift_control,direct_distance_three_halves_shift_control,distance_phi,direct_distance_phi,direct_distance_phi_shift_control,distance_two,direct_distance_two,distance_two_shift_control,direct_distance_two_shift_control,golden_equality_residual,golden_equality_residual_shift_control
evaluation,V22,V22_Amp0.75_umf1.0.csv,0.75,1.0,213,0,2112,42.24,0.0053150729063673055,0.008563293758829036,0.005295280917949474,0.0011180339887498958,release,1.6206809034067402,1.6111338282059038,0.4128915326532267,1.5552442554260857,0.32362097247841354,1,0.5057092815447718,0,0.6786830179128548,0.47693817225663493,0.6844150508524681,0.018019968241597007,0.18858736751269853,0.13036458197666223,0.4710881821752401,0.3285536220383757,0.10533878132609933,0.07147306414847059,0.47727821353027716,0.38744513986656737,0.0045755711059502725,0.004273652802968574,0.46319185681800645,0.30161691843403,0.2162090083033104,0.6751867910846296,0.6751272123183483,0.005908199426741163,0.66615781755531
evaluation,V11,V11_Amp0.25_umf2.0.csv,0.25,2.0,73,0,79,1.58,0.0077801028270839635,0.007516648189186474,0.026914122686797735,0.004695742752749537,accumulation,1.966137383559976,1.0350494836616801,0.9010960907416484,1.7459948548375956,0.8650362483278956,0,0.07924831431748164,1,0.6769480115583172,0.03444923587559662,0.6527841085025193,0.4073979644518726,0.45386131040066036,0.3121243544043761,0.17442791875032113,0.06082437417189984,0.45921702007108484,0.37101587223256777,0.10460568012072942,0.001932856343708164,0.48740831937781676,0.4467625891840069,0.0738138606077309,0.6589192528092128,0.6586979446843487,0.33937607352892424,0.2857492161080727,0.6416216631433946,0.10265496503084263
evaluation,V26,V26_Amp0.75_umf2.5.csv,0.75,2.5,2451,0,2179,43.58,0.011690166808048505,0.011591807451817017,0.05773820225812372,0.0066407830863535935,accumulation,1.9915861460450872,1.008485247588897,0.33712928960658495,2.162689147402859,0.9975316461290241,0,0.46071269625720634,0,0.6889831920758408,0.008449450232651269,0.66691132996209,0.058460416704215645,0.48118269915810724,0.33812414004732144,0.4289374155833659,0.28811317357575705,0.4878263621964239,0.3970156578755132,0.43293255307326545,0.3470046914039487,0.5163832650050549,0.47276237482695227,0.4227514083553878,0.6847107089080393,0.6846977303272941,0.6353399915486762,0.6346867638557296,0.680481929335576,0.6058836972236292
calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,106,0,69,1.38,0.007368174807915487,0.006741661516273258,0.006319810123729956,0.004627094120503758,accumulation,1.9149703545348602,1.0929315852078794,0.05967344671999127,0.3117601126930241,0.20451898234713564,1,0.3439681987507299,0,0.6557511837256911,0.08886361364694162,0.6359945539457337,0.16410096996080883,0.3978710228634836,0.2577099766330312,0.32412788447350044,0.18247262031916392,0.3998602692780732,0.31660149446122277,0.3192728015267552,0.2413641381473556,0.4269966110539549,0.39234821141266185,0.3171108550987947,0.6058432970904487,0.6042835669130037,0.5348660694567402,0.5290462105991365,0.5608385282051936,0.4503580964598556
calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1222,1,1350,27.0,0.04010947518978529,0.052356183970950404,0.005295280917949474,0.04331951061588763,release,1.7660885906436545,1.3053320623921798,0.8856275928300655,2.1017870940302847,0.13034341202323133,1,0.34519395759176436,1,0.6280889917407317,0.26645746234711115,0.6362025941871348,0.1629864503587225,0.23619615420907944,0.0801161279328616,0.32517892303901264,0.1835871399212502,0.2144544711335443,0.13900764576105318,0.3204505566658513,0.24247865774944188,0.2319167770018519,0.21475436271249237,0.318225374700881,0.44444851096457844,0.42668971821283413,0.5358935874270054,0.5301607302012228,0.30230980315383754,0.45198440899146153
calibration,V06,V06_Amp0.0_umf3.0.csv,0.0,3.0,3810,1,2323,46.46,0.002647640458974682,0.003383784863137708,0.005223983154643628,0.001599999999999999,release,1.7824494068217993,1.278037904152629,0.5305129142062632,1.183256538114396,0.0748782402853292,0,0.7072007359747747,0,0.6278977205949273,0.24532601447689337,1.1890272698914002,1.1571778870837752,0.2525943927504196,0.10124757580307932,0.813903981208563,0.8106042968038026,0.2353908377190861,0.16013909363127102,0.7632326676348032,0.751712778975611,0.25496634766253623,0.23588581058271013,0.6759660620241719,0.4623908745723713,0.44782116608305195,0.6257368029987546,0.46403070652383,0.3326624751569302,0.8838188078679455
evaluation,V10,V10_Amp0.25_umf1.5.csv,0.25,1.5,841,0,1701,34.02,0.012539936203984409,0.009047098982546865,0.006299999999999972,0.0057218878003680255,accumulation,1.7214629193785103,1.386072621530473,0.02785063197242119,0.09625084742598147,0.07456575037714537,0,0.32116676934708066,0,0.6337380878945654,0.32647429588169635,0.8700141081220306,0.7846196618187704,0.19762561859007527,0.02009929439827639,0.4390262698029521,0.4380460715387976,0.15875583477321603,0.07899081222646805,0.3803059393660226,0.379154553710606,0.16668254720195905,0.1547375291779072,0.3034078367591669,0.39615756980797595,0.366672884678249,0.33017661446719454,0.09147248125882505,0.21670016796653224,0.4087253487216304
calibration,V03,V03_Amp0.0_umf1.5.csv,0.0,1.5,1446,0,2570,51.4,0.0025806975801127814,0.002561249694973152,0.0017088007490634934,0.013536986370680895,accumulation,1.992464097579857,1.0075931234575835,0.09066472455846886,2.0696338622432937,0.17102303625736873,0,0.13684846809105752,0,0.6894136135784998,0.00756444079814247,0.6387959057403276,0.35402529303126457,0.4821182743194419,0.3390091494818302,0.1852964397643667,0.007451702751291797,0.48880274991497147,0.39790066731002194,0.1363318971544285,0.05143981507689978,0.5173708051143373,0.4736473842614611,0.12718653202833896,0.685593133130977,0.6855827397618028,0.3755826751945503,0.3391218875286807,0.681807671941252,0.1776948411415283
evaluation,V19,V19_Amp0.5_umf2.5.csv,0.5,2.5,1225,0,991,19.82,0.00876812408671318,0.006684309986827381,0.004459820624195554,0.0018027756377319963,accumulation,1.7623420837481627,1.3117470769596749,0.2963549532446283,0.905781048262117,0.10707621963744021,0,1.1392345413544034,1,0.6282684323999898,0.2713598952305145,1.592808500283835,1.5817953841601937,0.23256812504744687,0.07521369504945818,1.2454887975219948,1.2352217938802208,0.2096729160328113,0.1341052128776499,1.196447981238506,1.1763302760520291,0.226575439573197,0.2098519298290889,1.1005835591005901,0.440349470698025,0.42178728532943077,1.0226919305672315,0.8886482036002483,0.29528375858626005,1.3948133496596968
evaluation,V17,V17_Amp0.5_umf1.5.csv,0.5,1.5,1028,0,2533,50.66,0.009535197952848193,0.009899999999999964,0.010412012293500254,0.013098091464026365,release,1.9631513083685077,1.0382584660492342,0.023688979691413058,0.22950636198773863,0.015291585557048222,0,0.41786773606466127,0,0.6755950342458643,0.03754475764836726,0.6530312064345765,0.0971103552333514,0.45063066446797134,0.3090288326316054,0.38955179666649714,0.2494632350466213,0.4558207953314917,0.3679203504597971,0.3909338299286308,0.30835475287481295,0.4839633254373829,0.44366706741123624,0.38410146982625215,0.6558661106797801,0.655602422911578,0.597916768382519,0.5960368253265939,0.6370062348427831,0.5486599874457243
