split,video,file,root_key,track_id,start_frame,level,child_frames,parent_frames,source_kind,raw_scale,carrier,u,log_u,delta_rad,delta_deg,quadrant,raw_quadrant
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:228:478,228,478,0,2,4,observed,2.8205274778930614,2.0,1.4102637389465307,0.3437767357968616,-0.046762141567735505,-2.679273352824515,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:228:478,228,478,1,4,8,observed,2.517784777056963,2.0,1.2588923885284815,0.23023227764302073,0.07632917629066283,4.373339655165008,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:228:478,228,478,2,8,16,observed,2.034815126564603,2.0,1.0174075632823014,0.01725778731078265,-0.1321479138595123,-7.5715177356084125,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:228:478,228,478,3,16,32,observed,2.3638330587173257,2.0,1.1819165293586629,0.1671372983504491,0.03510024198093786,2.0110957253956516,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:236:503,236,503,0,2,4,observed,2.8997600746554695,2.0,1.4498800373277347,0.37148082013250544,-0.42326186232391727,-24.25111834000777,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:236:503,236,503,1,4,8,observed,2.542369387173001,2.0,1.2711846935865005,0.23994929525102696,-0.2928595848746789,-16.77961820327242,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:236:503,236,503,2,8,16,observed,2.269966507284838,2.0,1.134983253642419,0.12661789632444587,-0.24618878584355608,-14.105578392285832,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:236:503,236,503,3,16,32,observed,1.5762577518687533,2.0,0.7881288759343766,-0.23809365435672508,0.266301251314375,15.257937779366353,contracting_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:248:518,248,518,0,2,4,observed,1.7068965517241332,2.0,0.8534482758620666,-0.15847034097177748,0.0,0.0,boundary,boundary
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:248:518,248,518,1,4,8,observed,2.3792328392095494,2.0,1.1896164196047747,0.17363091869529693,-0.06798019333723415,-3.894978168706876,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:248:518,248,518,2,8,16,observed,2.491147969919726,2.0,1.245573984959863,0.2195964557703025,-0.02931437509468182,-1.6795899719886813,expanding_reverse,expanding_reverse
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:248:518,248,518,3,16,32,observed,2.123616873176452,2.0,1.061808436588226,0.05997352668891607,0.0555517621520516,3.1828815158271397,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:279:590,279,590,0,2,4,observed,1.811271417670921,2.0,0.9056357088354605,-0.09911814117604202,0.08236539802253384,4.7191896846063655,contracting_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:279:590,279,590,1,4,8,observed,1.4877031557646916,2.0,0.7438515778823458,-0.29591375614386095,0.288473447455202,16.528311040771992,contracting_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:279:590,279,590,2,8,16,observed,2.124934151539091,2.0,1.0624670757695456,0.060593633825296075,0.3333101995842114,19.097267704838437,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:279:590,279,590,3,16,32,observed,2.7424745973468823,2.0,1.3712372986734411,0.3157134699743893,0.1706405750211184,9.776984762395584,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:293:612,293,612,0,2,4,observed,2.883808096254209,2.0,1.4419040481271046,0.36596449582156765,0.20908670437434962,11.979785712949761,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:293:612,293,612,1,4,8,observed,2.332245985577051,2.0,1.1661229927885255,0.15368456503136926,0.12272580081062134,7.03167042381182,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:293:612,293,612,2,8,16,observed,2.16563867970061,2.0,1.082819339850305,0.07956813956110555,0.08446294260559561,4.839370136556333,expanding_forward,expanding_forward
calibration,V02,V02_Amp0.0_umf1.25.csv,V02:293:612,293,612,3,16,32,observed,2.313598519548723,2.0,1.1567992597743615,0.1456569325313921,0.23727339371418443,13.594764050568685,expanding_forward,expanding_forward
