detector,split,video,file,amplitude,umf,frame,time_sec,child_small_id,child_large_id,parent_id,child_small_area_m2,child_large_area_m2,parent_area_m2,child_ratio,parent_ratio,vertical_equality_gap,closure,separation_norm,separation_change,center_norm,detector_score,ambiguity_ratio,parent_y_m,parent_speed_reported,parent_life_frames,parent_life_sec,circularity_initial,circularity_plateau,circularity_tension,settled,settle_frames,settle_sec,distance_one,distance_sqrt2,distance_three_halves,distance_phi,distance_two
strict,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,81,1.62,74,80,80,0.000158708484,0.001301022972,0.00126489114,8.197564107536936,0.972228136798802,2.1320018435033767,0.8665231778083983,1.9468964962114887,-0.005621140988704726,0.13136085101704778,0.914144179077488,inf,0.3099,9.559569665000616,8,0.16,0.023280242993172832,0.019609358424333565,0.023012226349066495,1,1,0.02,2.1040255675463952,1.7967759246428894,1.7528554260937097,1.70069902108973,1.5844042640001603
strict,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1851,37.02,1632,1638,1638,1.5424667999999997e-05,0.000133158816,0.00016735247999999999,8.632848110571976,1.2567885854437155,1.9270147493688843,1.126319530910986,1.9934572623764473,-0.04743843535506139,0.47501140291144167,1.176773077837789,inf,0.4667,15.912266673544659,7,0.14,0.006316702020287002,0.006658412645270825,0.03231748625678614,1,1,0.02,2.1676579217411085,1.8128462354358121,1.7590276605519555,1.6933172670829044,1.534449443578645
strict,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,608,12.16,781,776,776,1.1214935999999998e-05,0.0005927168519999999,0.000586327248,52.850667360027735,0.9892198037251015,3.978309063268,0.9708501185898829,1.8660105677265437,-0.17350344563080022,0.5345660381964596,0.8638248150047463,inf,0.4562,20.704147857373894,7,0.14,0.008913147370876659,0.01073451121025533,0.01795702647651926,1,1,0.02,3.9674851447882737,3.63849375866933,3.586250151618981,3.5208112947368844,3.3491473994964607
strict,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,1259,25.18,1619,1607,1607,1.2766248e-05,0.0006837099839999999,0.000637703604,53.556063144002835,0.9327106798545742,4.050389237305634,0.9156143091470207,1.9869866471115276,-0.019799612818561647,0.812616414104046,1.3953846870594653,inf,0.4661,20.859416203719604,14,0.28,0.018034251287362173,0.021869565814246462,0.06198301559810163,1,10,0.2,3.9813384725776113,3.6579141917627584,3.606696006068277,3.5426092886577623,3.3749176951875977
strict,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,1910,38.2,2456,2454,2454,8.402291999999999e-06,0.000402073308,0.00044400150000000003,47.852813018162195,1.1042799687662928,3.768936393827197,1.0816757439419056,1.757801483424897,-0.6085345466120133,0.8133994225185591,1.302095780803932,inf,0.4786,17.865074452685608,11,0.22,0.006932862517654043,0.013697864126214543,0.06283851929504693,1,5,0.1,3.869401544177888,3.5302345216071385,3.4761832205913645,3.4083943534958787,3.230061339808509
strict,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,2375,47.5,3040,3026,3026,7.6451688e-05,0.00046128074399999996,0.000510341148,6.033624058111051,1.1063569304336711,1.6962752619222645,0.9490614990467975,1.6183974227482185,-0.018807055469516044,0.35094916259965925,0.7048198577905428,inf,0.4833,22.13615066921076,11,0.22,0.011232761860419656,0.018389684882456042,0.038771506586178506,1,4,0.08,1.800187463714295,1.4713995576582517,1.4247779969241976,1.3699342492673798,1.2529211571195902
strict,evaluation,V11,V11_Amp0.25_umf2.0.csv,0.25,2.0,15,0.3,2,14,14,0.000288527184,0.0012597537959999998,0.0012186738359999999,4.366152882149225,0.9673904852436738,1.5070353280715978,0.7871141296329818,1.9195788926969686,-0.007046574530957478,0.5657125601781173,1.7080105901495217,inf,0.3318,12.135651312146374,10,0.2,0.02293754482395827,0.020335224990282164,0.0060256876625897834,1,1,0.02,1.4742550941817207,1.1895449520219035,1.154946376511306,1.1180187159083632,1.0663298349755732
strict,evaluation,V14,V14_Amp0.25_umf3.5.csv,0.25,3.5,2531,50.620000000000005,4977,4974,4974,3.073982399999999e-05,0.0012884896799999998,0.001278988704,41.91597453518277,0.9926262692301892,3.7430680591995684,0.9694967404246291,1.5053323978684083,-0.44783185023731525,0.7165908740241975,0.9609970902245917,inf,0.4833,21.750428825197908,6,0.12,0.003003396408876576,0.009416968927683308,0.0438033400361258,1,1,0.02,3.7356743395144543,3.407528758705355,3.355697119837134,3.2909301240112097,3.122129838078417
strict,evaluation,V20,V20_Amp0.5_umf3.0.csv,0.5,3.0,168,3.36,261,255,255,1.2805775999999998e-05,0.0012490971119999998,0.00124988832,97.5416961845967,1.0006334239286916,4.579646716361165,0.9904790074464116,1.462135924819487,0.007455103445106034,0.18132362470396465,0.33332067752088956,inf,0.4568,16.563011751792004,9,0.18,0.018971153744654926,0.0066660076208970125,0.06551992400288612,1,6,0.12,4.580279983533142,4.247816402703601,4.1943971835616,4.1271437097997,3.9483384693462344
strict,evaluation,V20,V20_Amp0.5_umf3.0.csv,0.5,3.0,233,4.66,361,344,344,1.2880295999999998e-05,0.000343551132,0.00043411820399999994,26.672611561100773,1.26362035680907,3.0496563547164146,1.2179571437791392,1.83594789686616,-0.25752254886511133,0.5067772875339402,1.4672956615676669,inf,0.4724,19.272559269593646,6,0.12,0.0031451858396934085,0.013930292418290554,0.19945832323697185,0,nan,nan,3.2919630438415237,2.9392209993075675,2.8832762162267622,2.8133096912737017,2.6308691524743297
strict,evaluation,V28,V28_Amp0.75_umf3.5.csv,0.75,3.5,2668,53.36,4532,4546,4546,2.4020388e-05,0.00120467736,0.001136452032,50.15228563335447,0.9433663068093185,3.9733647127176868,0.9249239968493862,1.812146413652187,-0.4659998740322604,0.311789349846183,0.8122891408321259,inf,0.4177,18.9340907215002,13,0.26,0.009367810076360698,0.01523334232040743,0.08527158248667056,1,4,0.08,3.915498152992051,3.591385188276012,3.5401078603021774,3.475976848993821,3.308386671622694
strict,holdout,V33,V33_Amp1.0_umf2.5.csv,1.0,2.5,1203,24.06,1372,1381,1390,6.727147199999998e-05,0.0011938272479999998,0.001202967612,17.746411851966016,1.007656353978612,2.868556153450328,0.95390439536724,1.9128398783194458,-0.020134691959854994,0.9904911087408075,1.398572476398416,inf,0.2568,0.0,7,0.14,0.016952892942423685,0.019689058959624535,0.11078406449472997,1,4,0.08,2.8761934593509086,2.5522167184800946,2.502543430064153,2.441346143303682,2.2881399770302204
strict,holdout,V34,V34_Amp1.0_umf3.0.csv,1.0,3.0,1882,37.64,2769,2765,2765,5.092372799999999e-05,0.0012240616319999999,0.0012022732799999998,24.037156745476295,0.9821999551081427,3.1975612019359616,0.9429702628114882,1.6869020484213983,-0.1444422050069283,0.6232969562443264,1.018835462201836,inf,0.2635,10.084692993343921,8,0.16,0.008634251341697012,0.021475320043088858,0.03872376126132261,1,3,0.06,3.179651556144797,2.8563837898326114,2.8062640903236193,2.744171297129774,2.586141083750303
strict,holdout,V35,V35_Amp1.0_umf3.5.csv,1.0,3.5,2857,57.14,4599,4624,4624,1.5196248e-05,0.0012475328399999999,0.0012906650159999998,82.09479339900217,1.0345739804332525,4.373884867778608,1.0221234532929362,1.3025402062826048,-0.5397961399123945,0.35160256154323427,0.510641808103453,inf,0.4818,20.703689237669696,14,0.28,0.00250171812418004,0.005182019920113837,0.05889477063724996,1,1,0.02,4.4080056444473055,4.073312476936998,4.01961138312694,3.952048598528006,3.772756064468008
primary,calibration,V03,V03_Amp0.0_umf1.5.csv,0.0,1.5,1909,38.18,1083,1064,1064,1.5420456e-05,0.00035927485199999993,0.00037623333600000003,23.298588057318145,1.0472019789461915,3.1022709349753756,1.004104743153069,2.0503000895824623,-0.17027733994056646,0.5810526766413306,0.8572774124391915,inf,0.4385,14.896915483750318,12,0.24,0.010876796068848171,0.008813486288641786,0.03987892608335636,1,9,0.18,3.148730568994112,2.8178825250074344,2.7663657929162757,2.7024354662683434,2.539069252164022
primary,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,81,1.62,74,80,80,0.000158708484,0.001301022972,0.00126489114,8.197564107536936,0.972228136798802,2.1320018435033767,0.8665231778083983,1.9468964962114887,-0.005621140988704726,0.13136085101704778,0.845473275746649,inf,0.3099,9.559569665000616,8,0.16,0.023280242993172832,0.019609358424333565,0.023012226349066495,1,1,0.02,2.1040255675463952,1.7967759246428894,1.7528554260937097,1.70069902108973,1.5844042640001603
primary,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,822,16.44,736,741,745,0.000364864824,0.001107808488,0.0010715888520000001,3.036216196056214,0.9673051466996885,1.1438533409418838,0.7276487210491392,2.1519309973995786,-0.0037940726038663496,0.5484493133697488,1.8958522824305901,inf,0.3224,0.0,7,0.14,0.02142450358671994,0.020519429511942588,0.004564923159093223,1,1,0.02,1.1111094218962638,0.8532374380105584,0.8304790928873079,0.8129001511965828,0.8378049401484777
primary,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,889,17.78,800,769,769,3.0199068e-05,0.000471278412,0.0004892652719999999,15.605727037668844,1.038166102121393,2.7101821714303185,0.9756475445318101,2.004883723161334,-0.03245480271666601,0.38886874055542775,0.722240630763201,inf,0.4609,21.3281,5,0.1,0.005534431709226662,0.012361911837266875,0.051602330292132396,0,nan,nan,2.7478932514598253,2.420880819550728,2.3709079581245667,2.309460296721975,2.1565860932123617
primary,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1294,25.88,1174,1175,1175,1.5095159999999998e-05,0.0004013831879999999,0.00043884666,26.59019102811762,1.0933359271639451,3.191308883306958,1.0537082230262789,2.1736661880277706,-0.045624492125729894,1.0033473815467726,1.4710884302872338,inf,0.4755,20.83388555526789,8,0.16,0.010902828115952392,0.019966711935572843,0.05546811673381834,0,nan,nan,3.281755778164628,2.945232899677595,2.8924162563000264,2.826640870569478,2.656939158710237
primary,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1648,32.96,1485,1484,1484,6.540393599999998e-05,0.0004030884,0.000404595648,6.163060278207111,1.0037392492564907,1.8148411769495627,0.8636120954601912,2.160384579884674,-0.07397837768291361,0.8233875028810805,1.602085216335128,inf,0.4667,20.2865,16,0.32,0.01328222518669405,0.02124052329696675,0.050048117026604805,1,13,0.26,1.8185772824806172,1.511397949472432,1.4691032849773316,1.4200432538863257,1.3198019566975034
primary,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1683,33.660000000000004,1505,1509,1509,7.097219999999999e-06,0.000418543848,0.000430584984,58.972928555124405,1.0287691147714588,4.048715447142277,1.0116152231814248,2.0868961998379136,-0.4540461266861689,0.8386615877777459,1.148866502770361,inf,0.4766,16.59440615207426,29,0.58,0.009746296462836786,0.020563788451457884,0.03879071816455478,1,4,0.08,4.077177156135871,3.744051926908058,3.690928184518652,3.6242694654154763,3.4486126361436855
primary,calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1851,37.02,1632,1638,1638,1.5424667999999997e-05,0.000133158816,0.00016735247999999999,8.632848110571976,1.2567885854437155,1.9270147493688843,1.126319530910986,1.9934572623764473,-0.04743843535506139,0.47501140291144167,1.1197550731880035,inf,0.4667,15.912266673544659,7,0.14,0.006316702020287002,0.006658412645270825,0.03231748625678614,1,1,0.02,2.1676579217411085,1.8128462354358121,1.7590276605519555,1.6933172670829044,1.534449443578645
primary,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,47,0.94,66,81,81,3.0761855999999994e-05,0.00038611242,0.000421874892,12.551662032355917,1.0926219156586572,2.441272854624605,1.011995501492637,2.212615500736131,-0.27601089758959363,0.4454524459202591,0.7883395540836863,inf,0.4818,17.710214483455587,7,0.14,0.01170478429459087,0.012398253870388667,0.06222059777862832,0,nan,nan,2.5314033881099616,2.1984699096844675,2.1478920640868564,2.0859267955826217,1.933646758888414
primary,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,608,12.16,781,776,776,1.1214935999999998e-05,0.0005927168519999999,0.000586327248,52.850667360027735,0.9892198037251015,3.978309063268,0.9708501185898829,1.8660105677265437,-0.17350344563080022,0.5345660381964596,0.8496449136657584,inf,0.4562,20.704147857373894,7,0.14,0.008913147370876659,0.01073451121025533,0.01795702647651926,1,1,0.02,3.9674851447882737,3.63849375866933,3.586250151618981,3.5208112947368844,3.3491473994964607
primary,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,1910,38.2,2456,2454,2454,8.402291999999999e-06,0.000402073308,0.00044400150000000003,47.852813018162195,1.1042799687662928,3.768936393827197,1.0816757439419056,1.757801483424897,-0.6085345466120133,0.8133994225185591,1.264463428626596,inf,0.4786,17.865074452685608,11,0.22,0.006932862517654043,0.013697864126214543,0.06283851929504693,1,5,0.1,3.869401544177888,3.5302345216071385,3.4761832205913645,3.4083943534958787,3.230061339808509
primary,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,2375,47.5,3040,3026,3026,7.6451688e-05,0.00046128074399999996,0.000510341148,6.033624058111051,1.1063569304336711,1.6962752619222645,0.9490614990467975,1.6183974227482185,-0.018807055469516044,0.35094916259965925,0.6797600423140426,inf,0.4833,22.13615066921076,11,0.22,0.011232761860419656,0.018389684882456042,0.038771506586178506,1,4,0.08,1.800187463714295,1.4713995576582517,1.4247779969241976,1.3699342492673798,1.2529211571195902
primary,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,2423,48.46,3091,3082,3082,0.00010464260399999998,0.0005494832639999999,0.0005992733159999999,5.2510473076530095,1.090612499528284,1.571688079288216,0.9161437351992934,1.8458932175891667,-0.020409304688846833,0.6326895943548105,1.136001186685395,inf,0.4604,17.502345050021155,5,0.1,0.00845962272548652,0.007756565140458751,0.03855130469878918,1,1,0.02,1.6606943285926108,1.3373386139828087,1.292865384056426,1.241549552700913,1.139954603393249
primary,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,2482,49.64,3171,3160,3160,8.358551999999999e-06,0.0007383075479999999,0.000734449356,88.32959919373594,0.9947742752861577,4.4863146897149395,0.9836382768683352,2.080177422385629,-0.05527486833694372,0.7357364319535913,1.0607518034448216,inf,0.487,20.44749291673676,7,0.14,0.00657811691786705,0.010355062217626476,0.14191404189594137,1,2,0.04,4.481078326203501,4.149442912218115,4.096251499926815,4.029335223526592,3.8517714122026696
primary,calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,2648,52.96,3408,3400,3400,6.2843039999999985e-06,0.00043832825999999997,0.00048477398399999995,69.74969065786762,1.1059610530245072,4.144198297462439,1.0903290263295393,2.2004738239480046,0.07395923304999896,0.9896098875499674,1.5778929097723953,inf,0.4745,20.653774067951844,12,0.24,0.011764320821074519,0.011614199601905904,0.0705802023986463,1,1,0.02,4.2461075945398115,3.9060845666016766,3.8515234418353512,3.782885736787919,3.600835540870638
primary,calibration,V06,V06_Amp0.0_umf3.0.csv,0.0,3.0,574,11.48,925,931,931,4.626558e-05,0.0012581499959999998,0.0012253313879999998,27.194082425855242,0.9739151865005451,3.3294304484057453,0.9393719383185286,2.198850815308798,-0.019596663762334265,0.6209442987967689,1.1290636026181984,inf,0.4411,15.54953960283069,6,0.12,0.01593515847434374,0.008158153752455486,0.10155783877139336,1,3,0.06,3.3031051425471247,2.9798634173874734,2.9295459071443277,2.8670867386478376,2.7072350108118135
primary,calibration,V06,V06_Amp0.0_umf3.0.csv,0.0,3.0,775,15.5,1272,1297,1303,3.6175896e-05,0.0012552450119999998,0.0013154766119999998,34.698380711841935,1.0479839389315972,3.4998247601647003,1.0186273149605845,2.096647837542829,0.007106752436657546,0.9304415270793309,1.2661018831998936,inf,0.4,0.0,10,0.2,0.009023530174223601,0.020026380024606116,0.07537058359847572,1,7,0.14,3.5470026805014223,3.214123154526621,3.1616300379420683,3.0960990442509604,2.9258161773020266
primary,calibration,V06,V06_Amp0.0_umf3.0.csv,0.0,3.0,1538,30.76,2544,2549,2569,0.00012795116399999998,0.0011704043159999997,0.001171621584,9.147273689514853,1.0010400405939721,2.2124163773327647,0.9023889081594203,2.1813451116097946,-0.1399529308678027,0.979031378012559,1.6166139673268674,inf,0.4104,0.0,5,0.1,0.01890889842731743,0.021241013770726305,0.027990047236516307,1,1,0.02,2.2134561215482225,1.8985898139518842,1.8526712321537275,1.7975636063031433,1.670434546811878
primary,calibration,V06,V06_Amp0.0_umf3.0.csv,0.0,3.0,2520,50.4,4167,4110,4110,4.043844e-05,0.00035547368399999995,0.0003730474439999999,8.790489544107041,1.0494375836834098,2.1254160173675243,0.9422480934178211,2.2461000604280894,-0.10372276957389126,0.5050687187906964,1.0148135271598535,inf,0.4667,21.484967810075958,6,0.12,0.0051378959527136015,0.011030165079985915,0.0318802495639262,1,3,0.06,2.174205948983245,1.851290661208475,1.803926125536884,1.7469596971663355,1.6148794784377845
primary,calibration,V06,V06_Amp0.0_umf3.0.csv,0.0,3.0,2829,56.58,4682,4697,4697,4.186242e-05,0.0006538533839999999,0.0006726531599999998,15.619101427963312,1.0287522806488985,2.7201479258184587,0.9668504813784566,2.1897119987753553,0.04128777842572856,0.5197191580624807,0.9294793827553459,inf,0.4703,16.486066441695545,8,0.16,0.006797878830076568,0.01108847141929849,0.05367727961953538,1,1,0.02,2.748640789111789,2.422910021575199,2.3731846904445564,2.31206792364133,2.160188133392132
primary,calibration,V07,V07_Amp0.0_umf3.5.csv,0.0,3.5,757,15.14,1477,1458,1458,0.00017646692399999998,0.001296316548,0.0012679629839999998,7.3459463032290415,0.9781275923355719,2.0162637926555926,0.8609296669239102,1.9348153719276462,-0.046592650228543975,0.4134558702765048,1.1461273042884284,inf,0.4714,20.68365772898981,5,0.1,0.004132897438925729,0.008035200191729534,0.025220827251971372,1,1,0.02,1.994271262731652,1.6883231111872539,1.6452173833813917,1.594464125614955,1.4846565259678486
primary,calibration,V07,V07_Amp0.0_umf3.5.csv,0.0,3.5,784,15.68,1532,1528,1528,4.4718804e-05,0.00025556828399999997,0.000275203008,5.715007136595155,1.076827702141632,1.6690761400592589,0.9164663383728308,2.179476400997909,-0.017422270657586895,0.764288340423514,1.3498225721781438,inf,0.4891,22.4219,5,0.1,0.012456804350013503,0.010282571270606973,0.07052594409618687,1,1,0.02,1.74466643084552,1.4228701122012315,1.3780825235986387,1.3259548225154905,1.2188973588411973
primary,calibration,V07,V07_Amp0.0_umf3.5.csv,0.0,3.5,791,15.82,1493,1542,1493,1.9401768e-05,0.0006980097239999999,0.000740588508,35.97660398784275,1.0610002734002026,3.52365672064654,1.0323064465212108,1.46099560955314,-0.16669319951599068,0.9788854716025941,1.2000826603000851,inf,0.5031,19.74346414690188,19,0.38,0.006897212807266604,0.007574049927629835,0.11574486775195618,1,3,0.06,3.5833580877246156,3.249028092568865,3.1962142600442953,3.1302332147959704,2.958439609263664
primary,calibration,V07,V07_Amp0.0_umf3.5.csv,0.0,3.5,792,15.84,1545,1493,1493,1.1008224e-05,0.000740588508,0.0007600693319999999,67.27593006828349,1.0263045183520454,4.182838017165262,1.0112728004783287,2.0908934516442006,-0.27150892775720115,0.4557680317915589,0.7658441585220223,inf,0.4984,19.897862696531003,18,0.36,0.006760699327525624,0.007574049927629835,0.12239278529061128,1,2,0.04,4.208882609379349,3.8755131921285404,3.8222239844905994,3.755287275628096,3.578402604390259
