split,video,frame,inherited_id,candidate,increment,loss
calibration,V03,1909,1064,persistence,0.0,0.02393294463841754
calibration,V03,1909,1064,ridge,1.0,0.9760670553615824
calibration,V03,1909,1064,silver_conjugate,1.1715728752538097,0.8523600693846078
calibration,V03,1909,1064,two_fifths,1.2,0.8239329446384176
calibration,V03,1909,1064,phi,1.2360679774997896,0.787864967138628
calibration,V03,1909,1064,fibonacci_8_21,1.2380952380952381,0.7858377065431794
calibration,V03,1909,1064,three_eighths_grid,1.25,0.7739329446384176
calibration,V03,1909,1064,one_over_e,1.2642411176571153,0.7596918269813022
calibration,V03,1909,1064,one_third,1.3333333333333333,0.6905996113050843
calibration,V04,81,80,persistence,0.0,0.05230903550855737
calibration,V04,81,80,ridge,1.0,0.9476909644914426
calibration,V04,81,80,silver_conjugate,1.1715728752538097,0.7761180892376329
calibration,V04,81,80,two_fifths,1.2,0.7476909644914427
calibration,V04,81,80,phi,1.2360679774997896,0.711622986991653
calibration,V04,81,80,fibonacci_8_21,1.2380952380952381,0.7095957263962045
calibration,V04,81,80,three_eighths_grid,1.25,0.6976909644914426
calibration,V04,81,80,one_over_e,1.2642411176571153,0.6834498468343273
calibration,V04,81,80,one_third,1.3333333333333333,0.6143576311581094
calibration,V04,889,769,persistence,0.0,0.0714290736345479
calibration,V04,889,769,ridge,1.0,0.9285709263654521
calibration,V04,889,769,silver_conjugate,1.1715728752538097,0.8998561983807383
calibration,V04,889,769,two_fifths,1.2,0.871429073634548
calibration,V04,889,769,phi,1.2360679774997896,0.8353610961347584
calibration,V04,889,769,fibonacci_8_21,1.2380952380952381,0.8333338355393098
calibration,V04,889,769,three_eighths_grid,1.25,0.821429073634548
calibration,V04,889,769,one_over_e,1.2642411176571153,0.8071879559774326
calibration,V04,889,769,one_third,1.3333333333333333,0.7380957403012147
calibration,V04,1294,1175,persistence,0.0,0.30184625741461196
calibration,V04,1294,1175,ridge,1.0,0.6981537425853881
calibration,V04,1294,1175,silver_conjugate,1.1715728752538097,0.8697266178391978
calibration,V04,1294,1175,two_fifths,1.2,0.898153742585388
calibration,V04,1294,1175,phi,1.2360679774997896,0.9342217200851777
calibration,V04,1294,1175,fibonacci_8_21,1.2380952380952381,0.9362489806806262
calibration,V04,1294,1175,three_eighths_grid,1.25,0.9481537425853881
calibration,V04,1294,1175,one_over_e,1.2642411176571153,0.9623948602425034
calibration,V04,1294,1175,one_third,1.3333333333333333,0.9685129240812786
calibration,V04,1648,1484,persistence,0.0,0.02134696182174899
calibration,V04,1648,1484,ridge,1.0,0.978653038178251
calibration,V04,1648,1484,silver_conjugate,1.1715728752538097,0.8497740865679393
calibration,V04,1648,1484,two_fifths,1.2,0.821346961821749
calibration,V04,1648,1484,phi,1.2360679774997896,0.7852789843219594
calibration,V04,1648,1484,fibonacci_8_21,1.2380952380952381,0.7832517237265109
calibration,V04,1648,1484,three_eighths_grid,1.25,0.771346961821749
calibration,V04,1648,1484,one_over_e,1.2642411176571153,0.7571058441646337
calibration,V04,1648,1484,one_third,1.3333333333333333,0.6880136284884157
calibration,V04,1683,1509,persistence,0.0,0.7543601366832902
calibration,V04,1683,1509,ridge,1.0,0.24563986331670984
calibration,V04,1683,1509,silver_conjugate,1.1715728752538097,0.07406698806290013
calibration,V04,1683,1509,two_fifths,1.2,0.04563986331670988
calibration,V04,1683,1509,phi,1.2360679774997896,0.009571885816920256
calibration,V04,1683,1509,fibonacci_8_21,1.2380952380952381,0.007544625221471701
calibration,V04,1683,1509,three_eighths_grid,1.25,0.004360136683290161
calibration,V04,1683,1509,one_over_e,1.2642411176571153,0.018601254340405493
calibration,V04,1683,1509,one_third,1.3333333333333333,0.08769347001662342
calibration,V04,1851,1638,persistence,0.0,0.17644155602673717
calibration,V04,1851,1638,ridge,1.0,0.8235584439732628
calibration,V04,1851,1638,silver_conjugate,1.1715728752538097,0.6519855687194531
calibration,V04,1851,1638,two_fifths,1.2,0.6235584439732629
calibration,V04,1851,1638,phi,1.2360679774997896,0.5874904664734732
calibration,V04,1851,1638,fibonacci_8_21,1.2380952380952381,0.5854632058780247
calibration,V04,1851,1638,three_eighths_grid,1.25,0.5735584439732628
calibration,V04,1851,1638,one_over_e,1.2642411176571153,0.5593173263161475
calibration,V04,1851,1638,one_third,1.3333333333333333,0.4902251106399296
calibration,V05,47,81,persistence,0.0,0.9107147032243417
calibration,V05,47,81,ridge,1.0,0.08928529677565833
calibration,V05,47,81,silver_conjugate,1.1715728752538097,0.08228757847815138
calibration,V05,47,81,two_fifths,1.2,0.11071470322434163
calibration,V05,47,81,phi,1.2360679774997896,0.14678268072413125
calibration,V05,47,81,fibonacci_8_21,1.2380952380952381,0.1488099413195798
calibration,V05,47,81,three_eighths_grid,1.25,0.16071470322434167
calibration,V05,47,81,one_over_e,1.2642411176571153,0.174955820881457
calibration,V05,47,81,one_third,1.3333333333333333,0.24404803655767493
calibration,V05,608,776,persistence,0.0,0.03230903627495083
calibration,V05,608,776,ridge,1.0,0.9676909637250491
calibration,V05,608,776,silver_conjugate,1.1715728752538097,0.860736161021141
calibration,V05,608,776,two_fifths,1.2,0.8323090362749508
