split,video,track_id,start_frame,phi_parent_real,phi_parent_reversed_time,phi_parent_broken_lineage,real_minus_reversed,real_minus_broken
calibration,V02,13,14,0.5182468983491884,0.561354995881413,0.5182468983491884,-0.043108097532224665,0.0
calibration,V02,17,43,0.41909865928161816,0.5357955116581137,0.39112652360305233,-0.11669685237649552,0.027972135678565824
calibration,V02,46,120,0.5523569222006064,0.3043774548009266,0.5174483548457216,0.2479794673996798,0.03490856735488479
calibration,V02,133,293,0.546438543747505,0.4702728469395505,0.57332763352351,0.07616569680795449,-0.026889089776005015
calibration,V02,174,395,0.6746820892722107,0.5049381665277579,0.6782094337128157,0.16974392274445282,-0.0035273444406049848
calibration,V02,179,401,0.6654694791696476,0.390325348920026,0.5065176005138383,0.2751441302496216,0.1589518786558093
calibration,V02,228,478,0.5835921350012625,0.5895707382797573,0.583592135001263,-0.005978603278494754,-4.440892098500626e-16
calibration,V02,236,503,0.5339734357396724,0.5481605391033975,0.4475437326084659,-0.014187103363725084,0.08642970313120646
calibration,V02,248,518,0.4961455375276942,0.5248580343263477,0.5131314696383527,-0.02871249679865351,-0.016985932110658464
calibration,V02,279,590,0.5273373885978567,0.58295261551387,0.5273373885978567,-0.05561522691601328,0.0
calibration,V02,293,612,0.5094553072479795,0.495681885767509,0.5042180097680387,0.013773421480470505,0.005237297479940839
calibration,V02,339,712,0.4179824094100897,0.5905390532152398,0.50868629752877,-0.17255664380515012,-0.09070388811868035
calibration,V02,362,758,0.49555241443613074,0.5946488250038576,0.5580145202327031,-0.09909641056772689,-0.06246210579657241
calibration,V02,393,823,0.48009827381997505,0.5497687833938216,0.5072948454434894,-0.06967050957384657,-0.0271965716235143
calibration,V02,409,857,0.4372226670389865,0.5295659700111544,0.4372226670389865,-0.09234330297216786,0.0
calibration,V02,429,906,0.5147084275039973,0.47258318857314197,0.4287000762414692,0.04212523893085529,0.08600835126252804
calibration,V02,509,1047,0.5326111053032401,0.4956344315544706,0.5326111053032401,0.03697667374876945,0.0
calibration,V02,536,1101,0.41759376185496966,0.5465079803716723,0.48958871735055265,-0.1289142185167026,-0.07199495549558299
calibration,V02,551,1129,0.4717058271768948,0.4455363702570794,0.474567998305222,0.026169456919815426,-0.0028621711283272067
calibration,V02,554,1135,0.5016834525764438,0.5093534821978182,0.5235963831170523,-0.007670029621374419,-0.0219129305406085
calibration,V02,571,1160,0.486879529935357,0.43006073008426005,0.486879529935357,0.056818799851096946,0.0
