split,series,target,target_value,windows,mean_distance,median_distance
calibration,observed_adjacent,one,1.0,43765,0.8322628053355516,0.6702072553699713
calibration,within_track_shift_control,one,1.0,43727,0.8947443310647382,0.6879950024333331
calibration,observed_adjacent,sqrt2,1.4142135623730951,43765,0.46494066950018736,0.3531916062920915
calibration,within_track_shift_control,sqrt2,1.4142135623730951,43727,0.5137247401486321,0.3626201540465386
calibration,observed_adjacent,three_halves,1.5,43765,0.43024603739099543,0.3368853254809442
calibration,within_track_shift_control,three_halves,1.5,43727,0.4728034561584286,0.34157000993147973
calibration,observed_adjacent,phi,1.618033988749895,43765,0.41283037867360345,0.3438924397183734
calibration,within_track_shift_control,phi,1.618033988749895,43727,0.44570575020260494,0.33944811872041686
calibration,observed_adjacent,two,2.0,43765,0.5416526183484921,0.49501146611230296
calibration,within_track_shift_control,two,2.0,43727,0.5523954893592116,0.47055649435832786
calibration,observed_adjacent,free_calibration,1.6077951149760144,43765,0.41260470838608515,0.34227131919890746
evaluation,observed_adjacent,one,1.0,82400,0.83314391543265,0.6707952497125547
evaluation,within_track_shift_control,one,1.0,82312,0.8932410753152442,0.6901273676433282
evaluation,observed_adjacent,sqrt2,1.4142135623730951,82400,0.4628054085028151,0.3498068728482245
evaluation,within_track_shift_control,sqrt2,1.4142135623730951,82312,0.5111078979523903,0.36307817967648903
evaluation,observed_adjacent,three_halves,1.5,82400,0.42713979529470264,0.33261158523971596
evaluation,within_track_shift_control,three_halves,1.5,82312,0.4698492869250192,0.3407940889191148
evaluation,observed_adjacent,phi,1.618033988749895,82400,0.4085331533776175,0.33808597831288323
evaluation,within_track_shift_control,phi,1.618033988749895,82312,0.4422035118481198,0.3380823617881114
evaluation,observed_adjacent,two,2.0,82400,0.53620380580682,0.48776762531960677
evaluation,within_track_shift_control,two,2.0,82312,0.5474640080000089,0.4676455771629081
evaluation,observed_adjacent,free_calibration,1.6077951149760144,82400,0.4083884955547996,0.3364195231325984
holdout,observed_adjacent,one,1.0,26615,0.8607055066573462,0.677303962801323
holdout,within_track_shift_control,one,1.0,26585,0.9360561429411187,0.7125622232173365
holdout,observed_adjacent,sqrt2,1.4142135623730951,26615,0.4859988590886523,0.3548622435852932
holdout,within_track_shift_control,sqrt2,1.4142135623730951,26585,0.5528606640399718,0.38003758758543627
holdout,observed_adjacent,three_halves,1.5,26615,0.4481526946619645,0.3353503714947402
holdout,within_track_shift_control,three_halves,1.5,26585,0.5101572269635256,0.3583390237795977
holdout,observed_adjacent,phi,1.618033988749895,26615,0.4259791469725406,0.33823797100262154
holdout,within_track_shift_control,phi,1.618033988749895,26585,0.4793361566943448,0.35296128670454263
holdout,observed_adjacent,two,2.0,26615,0.5446961022848336,0.47976061191893554
holdout,within_track_shift_control,two,2.0,26585,0.5707446205612623,0.47458463632270287
holdout,observed_adjacent,free_calibration,1.6077951149760144,26615,0.42614803019232705,0.3371936835981062
