detector,target,split,metric,n,rho_expected_positive,blocked_p_one_sided,fitted_ratio
strict,one,evaluation,circularity_tension,5,0.3,1.0,
strict,sqrt2,evaluation,circularity_tension,5,0.3,1.0,
strict,three_halves,evaluation,circularity_tension,5,0.3,1.0,
strict,phi,evaluation,circularity_tension,5,0.3,1.0,
strict,two,evaluation,circularity_tension,5,0.3,1.0,
strict,one,holdout,circularity_tension,3,nan,nan,
strict,sqrt2,holdout,circularity_tension,3,nan,nan,
strict,three_halves,holdout,circularity_tension,3,nan,nan,
strict,phi,holdout,circularity_tension,3,nan,nan,
strict,two,holdout,circularity_tension,3,nan,nan,
strict,free_evaluation_optimum,evaluation,circularity_tension,5,0.3,nan,1.0
strict,free_evaluation_optimum,holdout,circularity_tension,3,nan,nan,1.0
strict,one,evaluation,settle_sec,4,0.9486832980505139,1.0,
strict,sqrt2,evaluation,settle_sec,4,0.9486832980505139,1.0,
strict,three_halves,evaluation,settle_sec,4,0.9486832980505139,1.0,
strict,phi,evaluation,settle_sec,4,0.9486832980505139,1.0,
strict,two,evaluation,settle_sec,4,0.9486832980505139,1.0,
strict,one,holdout,settle_sec,3,nan,nan,
strict,sqrt2,holdout,settle_sec,3,nan,nan,
strict,three_halves,holdout,settle_sec,3,nan,nan,
strict,phi,holdout,settle_sec,3,nan,nan,
strict,two,holdout,settle_sec,3,nan,nan,
strict,free_evaluation_optimum,evaluation,settle_sec,4,0.9486832980505139,nan,1.0
strict,free_evaluation_optimum,holdout,settle_sec,3,nan,nan,1.0
strict,one,evaluation,parent_life_sec,5,-0.15389675281277312,1.0,
strict,sqrt2,evaluation,parent_life_sec,5,-0.15389675281277312,1.0,
strict,three_halves,evaluation,parent_life_sec,5,-0.15389675281277312,1.0,
strict,phi,evaluation,parent_life_sec,5,-0.15389675281277312,1.0,
strict,two,evaluation,parent_life_sec,5,-0.15389675281277312,1.0,
strict,one,holdout,parent_life_sec,3,nan,nan,
strict,sqrt2,holdout,parent_life_sec,3,nan,nan,
strict,three_halves,holdout,parent_life_sec,3,nan,nan,
strict,phi,holdout,parent_life_sec,3,nan,nan,
strict,two,holdout,parent_life_sec,3,nan,nan,
strict,free_evaluation_optimum,evaluation,parent_life_sec,5,-0.15389675281277312,nan,1.0
strict,free_evaluation_optimum,holdout,parent_life_sec,3,nan,nan,1.0
primary,one,evaluation,circularity_tension,58,0.35310221784736534,0.5212957408518296,
primary,sqrt2,evaluation,circularity_tension,58,0.3509489679780984,0.524495100979804,
primary,three_halves,evaluation,circularity_tension,58,0.3509489679780984,0.524495100979804,
primary,phi,evaluation,circularity_tension,58,0.3494109323571934,0.5322935412917417,
primary,two,evaluation,circularity_tension,58,0.3510104894029346,0.533493301339732,
primary,one,holdout,circularity_tension,19,0.44912280701754387,0.02559488102379524,
primary,sqrt2,holdout,circularity_tension,19,0.44912280701754387,0.02559488102379524,
primary,three_halves,holdout,circularity_tension,19,0.44912280701754387,0.02559488102379524,
primary,phi,holdout,circularity_tension,19,0.44912280701754387,0.02559488102379524,
primary,two,holdout,circularity_tension,19,0.44912280701754387,0.02559488102379524,
primary,free_evaluation_optimum,evaluation,circularity_tension,58,0.35310221784736534,nan,1.0
primary,free_evaluation_optimum,holdout,circularity_tension,19,0.44912280701754387,0.02559488102379524,1.0
primary,one,evaluation,settle_sec,49,0.08699003984803584,0.2991401719656069,
primary,sqrt2,evaluation,settle_sec,49,0.08699003984803584,0.2985402919416117,
primary,three_halves,evaluation,settle_sec,49,0.08699003984803584,0.2985402919416117,
primary,phi,evaluation,settle_sec,49,0.08699003984803584,0.2985402919416117,
primary,two,evaluation,settle_sec,49,0.08976757508774894,0.28634273145370925,
primary,one,holdout,settle_sec,18,-0.13892999754474641,0.6296740651869626,
primary,sqrt2,holdout,settle_sec,18,-0.13892999754474641,0.6296740651869626,
primary,three_halves,holdout,settle_sec,18,-0.13892999754474641,0.6296740651869626,
primary,phi,holdout,settle_sec,18,-0.13892999754474641,0.6296740651869626,
primary,two,holdout,settle_sec,18,-0.13892999754474641,0.6296740651869626,
primary,free_evaluation_optimum,evaluation,settle_sec,49,0.09006305756005883,nan,1.6524999999999999
primary,free_evaluation_optimum,holdout,settle_sec,18,-0.13892999754474641,0.6296740651869626,1.6524999999999999
primary,one,evaluation,parent_life_sec,58,0.012914456650414644,0.9322135572885423,
primary,sqrt2,evaluation,parent_life_sec,58,0.015019733038681753,0.9308138372325535,
primary,three_halves,evaluation,parent_life_sec,58,0.015019733038681753,0.9308138372325535,
primary,phi,evaluation,parent_life_sec,58,0.013574319398975975,0.9332133573285343,
primary,two,evaluation,parent_life_sec,58,0.01420276011189153,0.9318136372725455,
primary,one,holdout,parent_life_sec,19,-0.3975364292572779,0.9314137172565486,
primary,sqrt2,holdout,parent_life_sec,19,-0.3975364292572779,0.9314137172565486,
primary,three_halves,holdout,parent_life_sec,19,-0.3975364292572779,0.9314137172565486,
primary,phi,holdout,parent_life_sec,19,-0.3975364292572779,0.9314137172565486,
primary,two,holdout,parent_life_sec,19,-0.3975364292572779,0.9314137172565486,
primary,free_evaluation_optimum,evaluation,parent_life_sec,58,0.015051155074327529,nan,1.8325
primary,free_evaluation_optimum,holdout,parent_life_sec,19,-0.3975364292572779,0.9314137172565486,1.8325
broad,one,evaluation,circularity_tension,150,0.4688155029112406,0.0591881623675265,
broad,sqrt2,evaluation,circularity_tension,150,0.4673683274812214,0.0617876424715057,
broad,three_halves,evaluation,circularity_tension,150,0.4666998533268145,0.0619876024795041,
broad,phi,evaluation,circularity_tension,150,0.4665469576425619,0.0627874425114977,
broad,two,evaluation,circularity_tension,150,0.4651068936397174,0.0661867626474705,
broad,one,holdout,circularity_tension,42,0.5084677092618103,0.0011997600479904018,
broad,sqrt2,holdout,circularity_tension,42,0.5084677092618103,0.0011997600479904018,
broad,three_halves,holdout,circularity_tension,42,0.5084677092618103,0.0011997600479904018,
broad,phi,holdout,circularity_tension,42,0.5084677092618103,0.0011997600479904018,
broad,two,holdout,circularity_tension,42,0.5084677092618103,0.0011997600479904018,
broad,free_evaluation_optimum,evaluation,circularity_tension,150,0.4688155029112406,nan,1.0
broad,free_evaluation_optimum,holdout,circularity_tension,42,0.5084677092618103,0.0011997600479904018,1.0
broad,one,evaluation,settle_sec,98,0.18143803654587135,0.13637272545490903,
broad,sqrt2,evaluation,settle_sec,98,0.17874178168606866,0.14497100579884023,
broad,three_halves,evaluation,settle_sec,98,0.17743195333088038,0.14777044591081784,
broad,phi,evaluation,settle_sec,98,0.17743195333088038,0.14817036592681462,
broad,two,evaluation,settle_sec,98,0.17719449906765913,0.14817036592681462,
broad,one,holdout,settle_sec,29,0.06101533235741194,0.4287142571485703,
broad,sqrt2,holdout,settle_sec,29,0.06101533235741194,0.4287142571485703,
broad,three_halves,holdout,settle_sec,29,0.06101533235741194,0.4287142571485703,
broad,phi,holdout,settle_sec,29,0.06101533235741194,0.4287142571485703,
broad,two,holdout,settle_sec,29,0.06101533235741194,0.4287142571485703,
broad,free_evaluation_optimum,evaluation,settle_sec,98,0.18143803654587135,nan,1.0
broad,free_evaluation_optimum,holdout,settle_sec,29,0.06101533235741194,0.4287142571485703,1.0
broad,one,evaluation,parent_life_sec,150,0.09393418100382643,0.8888222355528894,
broad,sqrt2,evaluation,parent_life_sec,150,0.09478356083898358,0.8870225954809038,
broad,three_halves,evaluation,parent_life_sec,150,0.09456308352007045,0.8882223555288942,
broad,phi,evaluation,parent_life_sec,150,0.09474922420734956,0.8862227554489103,
broad,two,evaluation,parent_life_sec,150,0.0940281549430353,0.888622275544891,
broad,one,holdout,parent_life_sec,42,-0.37221193374681943,0.9734053189362127,
broad,sqrt2,holdout,parent_life_sec,42,-0.37221193374681943,0.9734053189362127,
broad,three_halves,holdout,parent_life_sec,42,-0.37221193374681943,0.9734053189362127,
broad,phi,holdout,parent_life_sec,42,-0.37221193374681943,0.9734053189362127,
broad,two,holdout,parent_life_sec,42,-0.37221193374681943,0.9734053189362127,
broad,free_evaluation_optimum,evaluation,parent_life_sec,150,0.0950203028781444,nan,1.2775
broad,free_evaluation_optimum,holdout,parent_life_sec,42,-0.37221193374681943,0.9734053189362127,1.2775
