split,video,file,track_id,segment_index,start_frame,time_sec,parent_0_frames,parent_0_magnitude,parent_0_angle_deg,parent_1_frames,parent_1_magnitude,parent_1_angle_deg,parent_2_frames,parent_2_magnitude,parent_2_angle_deg,parent_3_frames,parent_3_magnitude,parent_3_angle_deg,parent_4_frames,parent_4_magnitude,parent_4_angle_deg,observed_free_scale,observed_free_full_loss,observed_angular_coherence,observed_mean_rotation_rad,observed_mean_rotation_deg,observed_scale_transition_0,observed_rotation_transition_0_deg,observed_scale_transition_1,observed_rotation_transition_1_deg,observed_scale_transition_2,observed_rotation_transition_2_deg,observed_scale_transition_3,observed_rotation_transition_3_deg,observed_full_loss_one,observed_shorthand_loss_one,observed_full_loss_sqrt2,observed_shorthand_loss_sqrt2,observed_full_loss_three_halves,observed_shorthand_loss_three_halves,observed_full_loss_phi,observed_shorthand_loss_phi,observed_full_loss_two,observed_shorthand_loss_two,permuted_free_scale,broken_free_scale,permuted_free_full_loss,broken_free_full_loss,permuted_angular_coherence,broken_angular_coherence
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,0.28,2,0.010028459502834925,-9.18054195762609,4,0.0064999999999999745,-104.2500326978037,8,0.02052924742897313,-59.562756278294266,16,0.04576832966145914,-75.44759230230869,32,0.09387784616191404,-96.36041140611503,1.7491708169429132,1.0506086664620715,0.6706271409482262,-0.35145950648395213,-20.13714639128125,0.6481553820068279,-95.0694907401776,3.1583457583035712,44.68727641950944,2.2294207237653456,-15.884836024014437,2.051152988459774,-20.91281910380633,1.190133684097722,1.4149516894997984,1.0718973075620133,0.624724912805394,1.0617886386286126,0.5435837707537766,1.0534949738303112,0.5000415668891998,1.0591203882715465,0.7616908506305797,1.9435909704405505,1.7246436151010995,0.1870161326654057,0.7193185040878753,0.9961015245215229,0.8261948054218159
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,0.86,2,0.004805205510693568,-102.0114783863655,4,0.009897979591815658,-108.25189583707856,8,0.018396195258802837,-118.93359946480332,16,0.041378255158959966,-106.8583987677383,32,0.07191780030006475,-88.72520000745263,1.966894687186958,0.23258946956415047,0.9778779413068027,0.05790486657126918,3.31770446780189,2.059845217814007,-6.240417450713063,1.8585808435101339,-10.681703627724751,2.2492833206453327,12.075200697065027,1.7380578282912882,18.133198760285666,0.7153255054861442,1.8895425151766112,0.40363382462446223,0.9412330454167194,0.35711892114996124,0.7802901236274585,0.3036744119642906,0.5735634856637458,0.2331876002750476,0.05627767854279683,1.7701614682878668,2.3349734788717003,0.19759210456047235,0.5524114744436481,0.9851897247509069,0.8868309912220832
calibration,V02,V02_Amp0.0_umf1.25.csv,46,1,120,2.4,2,0.019547378340841512,-9.125008647935951,4,0.017768792868397103,-24.257150385689627,8,0.018643229333996838,-59.721440914978075,16,0.038620849291541984,-107.16817243518199,32,0.08411735849395176,-94.97859177533851,1.4402877829167993,0.5563223549859351,0.9238891447983987,-0.3788306143082636,-21.7053953502118,0.9090115594310517,-15.132141737753674,1.04921192295257,-35.46429052928845,2.0715750795981993,-47.446731520203926,2.1780297439593994,12.18958065984348,0.6652856045474258,0.8069702325643879,0.5566222524307667,0.4684395721503226,0.5578034805967568,0.570224803793461,0.5683628061366321,0.7332278755728976,0.6459707695734127,1.260701832893483,2.1129460904054325,1.0390883747285344,1.0261414381544585,1.0313218605953918,0.7885664739107026,0.8296801405265756
calibration,V02,V02_Amp0.0_umf1.25.csv,133,0,293,5.86,2,0.0036345563690772485,-7.907162702958466,4,0.00544058820349416,-72.89727103094759,8,0.016140012391568974,-69.31930861118292,16,0.03820392649977222,-78.9841911205642,32,0.08690437273233145,-79.3236443173042,2.211299435755171,0.5423156946252125,0.888840869709703,-0.29028584472874946,-16.63215375534728,1.496905715861942,-64.99010832798913,2.966593277764199,3.5779624197646633,2.367032042659938,-9.66488250938129,2.274749762510657,-0.339453196739988,0.9611847071402303,2.1210611517178037,0.7027953695641039,1.1789618086952343,0.6668880958958513,1.0201721039633844,0.6258437432502535,0.8173712071855992,0.55153706011504,0.2875765734385812,1.6184641848641192,3.103737870976522,0.35228138957242044,1.2535852421035327,0.997779561711127,0.44139706716618976
calibration,V02,V02_Amp0.0_umf1.25.csv,174,2,395,7.9,2,0.01060990103629624,-168.58416047559274,4,0.01783059168956544,-164.7166984268525,8,0.02469655846469301,-155.09523119190476,16,0.03790052770081177,-52.827752762179315,32,0.06779564882792999,-93.04388064452134,1.5899102971933106,0.9168270687021173,0.6493088481861239,0.2197186419559389,12.588950864421355,1.6805615461037169,3.8674620487402436,1.3850666817268644,9.62146723494773,1.534648147635452,102.26747842972546,1.7887784930888417,-40.216127882342036,1.0274087738524356,1.2292519213869948,0.9242755122136149,0.2857937714308724,0.9186732650180032,0.13371134438922064,0.9169947235568868,0.11093935153121336,0.9451074877100573,0.6737912700065213,2.0250874614796808,1.497636797706837,0.9459674217476716,0.8406850888491928,0.7494807380207558,0.7410370532379275
calibration,V02,V02_Amp0.0_umf1.25.csv,179,1,401,8.02,2,0.008132035415564773,-134.5017883873865,4,0.011423659658795835,-119.9315118405079,8,0.02237073981789604,-114.84669317542256,16,0.036145400813934796,-100.84361792351305,32,0.09643754455604933,-103.43102887068167,1.8557168905781576,0.27027432673848045,0.9924152030801443,0.13569921994654754,7.774992586154651,1.4047724923739104,14.570276546878624,1.958281363947264,5.084818665085354,1.6157445443542893,14.003075251909497,2.6680446857535096,-2.587410947168621,0.6747646601911476,1.5395594244457447,0.38323327166058246,0.6097351555488776,0.34399795876305034,0.45964768558973573,0.3030403480040781,0.2851779586598874,0.2804543480347088,0.41834136852332726,1.4730147683573709,1.8913197037435157,0.5745903128280441,0.42513132092524597,0.9102420556944658,0.9739846609023078
calibration,V02,V02_Amp0.0_umf1.25.csv,228,1,478,9.56,2,0.003140063693621508,-80.83765295427827,4,0.008856635930193842,-83.51692630710279,8,0.02229910312097779,-79.14358665193778,16,0.04537455233938954,-86.7151043875462,32,0.10725786684434854,-84.70400866215054,2.4175344665188048,0.14247578016235343,0.9968065177904543,-0.016844741685671686,-0.9651326055770716,2.8205274778930614,-2.67927335282451,2.517784777056963,4.373339655165013,2.034815126564603,-7.571517735608422,2.3638330587173257,2.0110957253956596,0.8941720986227594,2.4758126889625545,0.5547815477848177,1.5282441179883375,0.49809487332387387,1.3674439400434535,0.4260643292012591,1.1608177214108957,0.23716638996431819,0.585756348405348,1.9833328942146025,3.1339622547941945,0.12987063294800116,0.26858252006329175,0.993992950912358,0.9788575790594647
calibration,V02,V02_Amp0.0_umf1.25.csv,236,1,503,10.06,2,0.004118252056394843,-60.94539590092315,4,0.01194194289050155,-85.19651424093092,8,0.030360830028179405,-101.97613244420336,16,0.06891806729733504,-116.0817108364892,32,0.10863263782123678,-100.82377305712282,2.266271046332781,0.3468337834166462,0.9660185743982957,-0.17689402630725812,-10.135281128482045,2.8997600746554695,-24.251118340007775,2.542369387173001,-16.77961820327243,2.269966507284838,-14.105578392285825,1.5762577518687533,15.257937779366356,0.8886167966594505,2.4378331287799377,0.5853755739394855,1.4946504716437776,0.5390646978062714,1.3352183592188334,0.4835405028789308,1.1309267413274697,0.36866762915092177,0.5715142195835646,1.891312243783333,2.017544148567086,0.3990878892250421,0.35505228737261996,0.9632712000029112,0.9435442110240049
calibration,V02,V02_Amp0.0_umf1.25.csv,248,0,518,10.36,2,0.005800000000000027,-90.0,4,0.00990000000000002,-90.0,8,0.023554405108174584,-93.89497816870687,16,0.05867750846789595,-95.57456814069558,32,0.12460854705837798,-92.39168662486843,2.1529302487168875,0.15288432600254825,0.9989839353761304,-0.010439503697552371,-0.5981395020809683,1.7068965517241332,-0.0,2.3792328392095494,-3.8949781687068783,2.491147969919726,-1.6795899719886862,2.123616873176452,3.182881515827143,0.7819217293996349,2.062396536438699,0.4472012033355738,1.1166043583813277,0.3923749132852779,0.9565482716746264,0.3239618133622902,0.7514534785011132,0.16971372537704593,0.20452362942033883,1.9951624976059736,2.3343722977579513,0.07989995308071919,0.35714819783365637,0.9982205364719491,0.9410745967019887
calibration,V02,V02_Amp0.0_umf1.25.csv,279,0,590,11.8,2,0.008560373823613068,-142.59464336859156,4,0.015505160431288686,-137.8754536839852,8,0.023067076104266004,-121.3471426432132,16,0.04901601779010612,-102.24987493837476,32,0.13442518365246892,-92.47289017597919,1.9906594827041464,0.24471869277915384,0.9951431129521822,0.21873083114654418,12.532353474085635,1.811271417670921,4.7191896846063575,1.4877031557646916,16.52831104077198,2.124934151539091,19.097267704838437,2.7424745973468823,9.776984762395577,0.7306658930143516,1.7294706379807472,0.4204493384875104,0.7933752042357644,0.37413464597775375,0.6381485642441243,0.32068913957160866,0.44487372478310583,0.24476346176219052,0.2636636947856203,2.0364506679868963,2.384256686211666,0.12368787813825415,0.31270589930833675,0.9974996593071059,0.9926147087682917
calibration,V02,V02_Amp0.0_umf1.25.csv,293,0,612,12.24,2,0.00475078940808787,-139.26789330029084,4,0.013700364958642543,-127.28810758734106,8,0.031952621175734566,-120.25643716352927,16,0.06919783233599157,-115.41706702697292,32,0.16009600244853087,-101.82230297640425,2.409370990867778,0.124314743908071,0.9980720381214317,0.16338971576722763,9.361541129304264,2.883808096254209,11.979785712949756,2.332245985577051,7.031670423811813,2.16563867970061,4.83937013655634,2.313598519548723,13.594764050568683,0.8881093480835636,2.4648577780986085,0.5471029175886113,1.5171175029513346,0.48993462790918835,1.3562660694982218,0.41710990718165175,1.1495547587780095,0.22390064241450958,0.5739912642737974,1.9453350006701873,1.2391516313406432,0.21009717804349104,1.0953734725654904,0.9844639793571325,0.8103884574057449
calibration,V02,V02_Amp0.0_umf1.25.csv,339,1,712,14.24,2,0.022584950741588977,157.06789956241013,4,0.027224437551582215,174.51976146002838,8,0.01006479011206892,-117.83808119713464,16,0.020604125800431368,-73.9400126928394,32,0.060100332777780874,-75.94063474982865,1.2772162406843413,0.9071338545915527,0.8970552572408594,0.5525126759092523,31.656644457079633,1.2054238179696304,17.451861897618233,0.3696968979799541,67.64215734283697,2.04714907822315,43.89806850429526,2.916907679554287,-2.0006220569892483,0.939553910394643,0.6431368681409226,0.9128381802900142,0.9651570367091921,0.9212723535160213,1.0948156025039784,0.937463473239344,1.2722603523219342,1.0119348018581062,1.8030890111277587,1.8545806261115558,2.4903200777828856,1.298196911155833,1.6080509287530322,0.43396179084639724,0.3363461566611563
calibration,V02,V02_Amp0.0_umf1.25.csv,362,0,758,15.16,2,0.019911052207254136,-173.9458081058852,4,0.016964963896218606,-39.97853895779818,8,0.032097507691408074,-57.59726141554527,16,0.06486000308356452,-81.22025681319647,32,0.13885337590422497,-94.08855668348264,1.6250456220235974,1.2892733785271226,0.539953295356662,-0.09569703272573286,-5.483036087109814,0.8520375377268011,133.967269148087,1.8919879752035564,-17.618722457747094,2.0207177363159063,-23.622995397651184,2.1408166713363954,-12.86829987028618,1.3776686631850281,1.1640692158123185,1.2967406700861044,0.39754281506968336,1.2917573977989159,0.3656851340650842,1.2892806297003352,0.4230129229412124,1.3058821893064456,0.8733397063104403,1.3518061646818873,1.5159478551297199,0.8180606459468509,1.0318798526811155,0.7522889515844379,0.6485482853489599
calibration,V02,V02_Amp0.0_umf1.25.csv,393,0,823,16.46,2,0.006488451279003322,-61.46001481203992,4,0.015243359209832994,-51.92721812600917,8,0.03501785258978628,-43.26429541107163,16,0.055716424867358456,-60.30613897408988,32,0.12487601851436489,-77.46621567490399,2.094519938291092,0.2788702115237134,0.9739640110829134,-0.06984351680585196,-4.0017387393263535,2.3493062603645685,9.532796686030744,2.29725299441854,8.662922714937547,1.5910862816188043,-17.041843563018247,2.241278380866172,-17.160076700814123,0.7901703201182739,2.057956895067346,0.4816863899500445,1.1117957773880676,0.43500644682723955,0.9516074566444278,0.37998774488470133,0.7462644331667487,0.2826675232309115,0.19670262192939914,1.6436576173523032,1.5814376593963593,0.1997866554870024,0.23594578498337912,0.9900644086287644,0.9959776127724096
calibration,V02,V02_Amp0.0_umf1.25.csv,409,1,857,17.14,2,0.004384062043356589,-135.00000000000009,4,0.008944271909999134,-100.30484646876607,8,0.023947024867402605,-86.40874096279447,16,0.04480379448216412,-81.39967768935378,32,0.12577416268852676,-86.21622756372689,2.314348122523136,0.30766177994167465,0.9679581580735058,0.21147849619200582,12.116825289575385,2.0401791355924996,34.69515353123401,2.677358773119513,13.896105505971601,1.8709545227537792,5.009063273440699,2.807221221822987,-4.816549874373122,0.8937514591940969,2.239408641137884,0.5807457927782482,1.2918694676513085,0.5317135752541275,1.1311241964862206,0.4719743654051687,0.9246468026390312,0.3405380856920346,0.3529889277152788,1.7623482983703147,2.4107796983453125,0.1317560835667867,0.4547502463453773,0.9951326037984409,0.9086674118943725
calibration,V02,V02_Amp0.0_umf1.25.csv,429,0,906,18.12,2,0.007596051605933151,-73.95099520746675,4,0.012767536959022295,-78.25001642822333,8,0.022457070156189095,-85.91438322002513,16,0.048402582575726265,-90.59187749406448,32,0.1023975097353446,-85.63133512285935,1.9161317718589606,0.13732505419301394,0.9965924230466152,-0.0510482661391884,-2.924850201236085,1.6808122984643468,-4.29902122075659,1.7589195338353498,-7.664366791801786,2.155338262697936,-4.677494274039361,2.115538144584389,4.960542371205121,0.6646497218717129,1.7059232628809897,0.333336221426351,0.7613027155074575,0.28072483570427986,0.6021995788870167,0.21783443169100855,0.40013212468153575,0.1438517542630264,0.22514056194473417,1.8731934338384415,2.366485173831682,0.045665015107898374,0.10197386770808178,0.9992354232991139,0.9962275967337084
calibration,V02,V02_Amp0.0_umf1.25.csv,509,0,1047,20.94,2,0.007715568676384119,-42.37359436170918,4,0.01728033564488835,-57.0456323852657,8,0.03213985065304439,-60.96271103473026,16,0.05544961677054224,-65.60735485916265,32,0.10735869783114915,-61.33416976446942,1.9313781928643337,0.15091469081725412,0.9931402072220373,-0.08267617015326467,-4.736995616087531,2.2396710300538385,-14.672038023556526,1.8599089342660764,-3.9170786494645626,1.7252605610751297,-4.6446438244323955,1.936148599104183,4.273185094693245,0.6753125416597223,1.837671344884516,0.34627641226475814,0.8907020040832221,0.29439306128916326,0.7303462501593495,0.23261994076949116,0.5249297083950277,0.15490056622908835,0.10659714132811958,1.9313781928643314,1.3966341192163685,0.26035292933719933,0.3363322055080592,0.9952105359541087,0.9645017420539216
calibration,V02,V02_Amp0.0_umf1.25.csv,536,1,1101,22.02,2,0.002785677655436816,-111.0375110254219,4,0.009121951545584987,-102.66506376504235,8,0.0220004545407589,-84.52263127117115,16,0.04111119069061368,-81.88960723554237,32,0.10957554471687558,-93.24364031669234,2.5043538636276845,0.2746982797504846,0.9827335315648297,0.07793708888843318,4.465466260843166,3.2745897673342235,8.372447260379552,2.411814449004291,18.142432493871205,1.868651877825955,2.6330240356287775,2.6653459283506806,-11.354033081149979,0.9582482068679247,2.5694352138457854,0.6340523990067936,1.6236993679956568,0.5815347754482929,1.463432220285161,0.5160134969998186,1.2576765893625637,0.35500953559876114,0.6873869065537325,2.312334639477047,3.209685566113305,0.3853633068444958,0.3763697698668119,0.9774072516663638,0.9480435770077689
calibration,V02,V02_Amp0.0_umf1.25.csv,551,0,1129,22.58,2,0.0068264192663504,-31.827446576673058,4,0.011813974775662896,-74.7874171313795,8,0.027224437551582176,-95.48023853997167,16,0.05535205506573353,-94.24786466001196,32,0.13701609394520048,-90.87818769837885,2.116628580486872,0.3552899256260507,0.9469039563178782,-0.2547683078144526,-14.597148791457963,1.7306254296301062,-42.959970554706445,2.3044265853407144,-20.692821408592156,2.033175339650559,1.2323738799597075,2.475356945329067,3.3696769616330897,0.8297395723639008,1.9742384184943151,0.5374404637943121,1.0281165675984434,0.49478716951121293,0.868000122532267,0.44540287025473657,0.6628878572670323,0.3597822303274058,0.13464331500349594,1.7642442788163473,2.0228573517768726,0.138742487581239,0.6153074645494819,0.9946608685297,0.8726105346133561
