split,video,track_id,start_frame,candidate,lag,observed_return_ara,predicted_return_ara,absolute_error_ara
calibration,V02,13,14,persistence,2,0.14696858061425144,0.0,0.14696858061425144
calibration,V02,13,14,persistence,3,0.1535887520207715,0.0,0.1535887520207715
calibration,V02,13,14,persistence,5,0.16681735685118393,0.0,0.16681735685118393
calibration,V02,13,14,persistence,8,0.12347530161677711,0.0,0.12347530161677711
calibration,V02,13,14,persistence,13,0.2263291427415277,0.0,0.2263291427415277
calibration,V02,13,14,persistence,21,0.4442279183874316,0.0,0.4442279183874316
calibration,V02,13,14,ridge,2,0.14696858061425144,0.0,0.14696858061425144
calibration,V02,13,14,ridge,3,0.1535887520207715,1.0,0.8464112479792285
calibration,V02,13,14,ridge,5,0.16681735685118393,1.0,0.8331826431488161
calibration,V02,13,14,ridge,8,0.12347530161677711,0.0,0.12347530161677711
calibration,V02,13,14,ridge,13,0.2263291427415277,1.0,0.7736708572584723
calibration,V02,13,14,ridge,21,0.4442279183874316,1.0,0.5557720816125684
calibration,V02,13,14,silver_conjugate,2,0.14696858061425144,0.3431457505076194,0.19617716989336798
calibration,V02,13,14,silver_conjugate,3,0.1535887520207715,0.4852813742385709,0.3316926222177994
calibration,V02,13,14,silver_conjugate,5,0.16681735685118393,0.142135623730951,0.024681733120232918
calibration,V02,13,14,silver_conjugate,8,0.12347530161677711,0.6274169979695223,0.5039416963527452
calibration,V02,13,14,silver_conjugate,13,0.2263291427415277,0.7695526217004733,0.5432234789589456
calibration,V02,13,14,silver_conjugate,21,0.4442279183874316,0.6030303803300043,0.15880246194257275
calibration,V02,13,14,two_fifths,2,0.14696858061425144,0.3999999999999999,0.25303141938574847
calibration,V02,13,14,two_fifths,3,0.1535887520207715,0.40000000000000036,0.24641124797922886
calibration,V02,13,14,two_fifths,5,0.16681735685118393,0.0,0.16681735685118393
calibration,V02,13,14,two_fifths,8,0.12347530161677711,0.40000000000000036,0.27652469838322324
calibration,V02,13,14,two_fifths,13,0.2263291427415277,0.40000000000000036,0.17367085725847264
calibration,V02,13,14,two_fifths,21,0.4442279183874316,0.8000000000000007,0.3557720816125691
calibration,V02,13,14,phi,2,0.14696858061425144,0.47213595499957917,0.3251673743853277
calibration,V02,13,14,phi,3,0.1535887520207715,0.2917960675006315,0.13820731547985998
calibration,V02,13,14,phi,5,0.16681735685118393,0.18033988749894814,0.013522530647764208
calibration,V02,13,14,phi,8,0.12347530161677711,0.11145618000168334,0.012019121615093775
calibration,V02,13,14,phi,13,0.2263291427415277,0.06888370749726391,0.1574454352442638
calibration,V02,13,14,phi,21,0.4442279183874316,0.04257247250441765,0.40165544588301394
calibration,V02,13,14,fibonacci_8_21,2,0.14696858061425144,0.4761904761904763,0.32922189557622483
calibration,V02,13,14,fibonacci_8_21,3,0.1535887520207715,0.2857142857142856,0.1321255336935141
calibration,V02,13,14,fibonacci_8_21,5,0.16681735685118393,0.1904761904761907,0.02365883362500676
calibration,V02,13,14,fibonacci_8_21,8,0.12347530161677711,0.0952380952380949,0.02823720637868221
calibration,V02,13,14,fibonacci_8_21,13,0.2263291427415277,0.0952380952380949,0.1310910475034328
calibration,V02,13,14,fibonacci_8_21,21,0.4442279183874316,0.0,0.4442279183874316
calibration,V02,13,14,three_eighths,2,0.14696858061425144,0.5,0.35303141938574856
calibration,V02,13,14,three_eighths,3,0.1535887520207715,0.25,0.09641124797922851
calibration,V02,13,14,three_eighths,5,0.16681735685118393,0.25,0.08318264314881607
calibration,V02,13,14,three_eighths,8,0.12347530161677711,0.0,0.12347530161677711
calibration,V02,13,14,three_eighths,13,0.2263291427415277,0.25,0.02367085725847229
calibration,V02,13,14,three_eighths,21,0.4442279183874316,0.25,0.1942279183874316
calibration,V02,13,14,one_over_e,2,0.14696858061425144,0.5284822353142307,0.3815136546999792
calibration,V02,13,14,one_over_e,3,0.1535887520207715,0.207276647028654,0.05368789500788251
calibration,V02,13,14,one_over_e,5,0.16681735685118393,0.32120558828557666,0.15438823143439273
calibration,V02,13,14,one_over_e,8,0.12347530161677711,0.11392894125692266,0.009546360359854456
calibration,V02,13,14,one_over_e,13,0.2263291427415277,0.4351345295424984,0.20880538680097072
calibration,V02,13,14,one_over_e,21,0.4442279183874316,0.5490634707994211,0.1048355524119895
calibration,V02,13,14,one_third,2,0.14696858061425144,0.666666666666667,0.5196980860524155
calibration,V02,13,14,one_third,3,0.1535887520207715,0.0,0.1535887520207715
calibration,V02,13,14,one_third,5,0.16681735685118393,0.6666666666666679,0.4998493098154839
calibration,V02,13,14,one_third,8,0.12347530161677711,0.6666666666666679,0.5431913650498907
calibration,V02,13,14,one_third,13,0.2263291427415277,0.6666666666666643,0.4403375239251366
calibration,V02,13,14,one_third,21,0.4442279183874316,3.552713678800501e-15,0.44422791838742803
calibration,V02,17,43,persistence,2,0.17748048587648935,0.0,0.17748048587648935
calibration,V02,17,43,persistence,3,0.15634222906812134,0.0,0.15634222906812134
calibration,V02,17,43,persistence,5,0.2463623310985108,0.0,0.2463623310985108
calibration,V02,17,43,persistence,8,0.23739210189735938,0.0,0.23739210189735938
