split,metric,mean,ci_low,ci_high,n
calibration,zipper_contraction,0.1003604696592685,-0.07496228864672157,0.2268739202687407,23
calibration,event_specificity,-0.01593341221244097,-0.17895809701679397,0.1474191886392614,20
evaluation,zipper_contraction,0.011904177190096232,-0.1192299594278599,0.12503922364242515,52
evaluation,event_specificity,-0.054206716730716385,-0.21459268543445673,0.0983228591857259,42
holdout,zipper_contraction,-0.15876888617839344,-0.426067151089613,0.0761818246795672,16
holdout,event_specificity,-0.03578402635540939,-0.3012802297600159,0.04450460851041457,11
