split,video,file,track_id,segment_index,start_frame,time_sec,level,child_frames,parent_frames,ratio_real,ratio_permuted,ratio_broken,golden_equality_real,golden_equality_permuted,golden_equality_broken,phi_endpoint_change_real,phi_endpoint_change_permuted,phi_endpoint_change_broken,phi_slope_real,phi_slope_permuted,phi_slope_broken,loss_one_real,loss_one_permuted,loss_one_broken,whole_tree_median_loss_one,loss_sqrt2_real,loss_sqrt2_permuted,loss_sqrt2_broken,whole_tree_median_loss_sqrt2,loss_three_halves_real,loss_three_halves_permuted,loss_three_halves_broken,whole_tree_median_loss_three_halves,loss_phi_real,loss_phi_permuted,loss_phi_broken,whole_tree_median_loss_phi,loss_two_real,loss_two_permuted,loss_two_broken,whole_tree_median_loss_two
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,0.28,0,1,2,3.296984495196458,2.9692433800549423,1.3245559250467698,0.9281030262554026,0.7980388401714261,0.281374516107677,-0.3898709295664693,-0.1472095837892718,0.014157728057528324,-0.08255048432940135,-0.06842595854527325,0.018010869045376163,1.1930082613780384,1.0883071661689923,0.2810772523544698,0.50623963791144,0.8464346710980656,0.7417335758890196,0.065496337925503,0.1596660476314673,0.7875431532698739,0.6828420580608278,0.12438785575369467,0.16006928951660318,0.7117964363184349,0.6070953411093888,0.20013457270513366,0.17121108212007638,0.499861080818093,0.39515998560904686,0.41206992820547556,0.24699327267622823
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,0.28,1,2,4,1.2388109140862065,3.3775601678704907,1.9481001872651915,0.3776409244216229,0.9578156801445145,0.25254831088923185,-0.3898709295664693,-0.1472095837892718,0.014157728057528324,-0.08255048432940135,-0.06842595854527325,0.018010869045376163,0.21415197928653376,1.2171536050149325,0.6668546347321106,0.33267603373273735,0.13242161099343897,0.8705800147349598,0.32028104445213784,0.1463445562387382,0.19131312882163068,0.8116884969067683,0.26138952662394627,0.15201721595526835,0.26705984577306974,0.7359417799553292,0.1856428096725071,0.22776393290670743,0.47899520127341155,0.5240064244549872,0.02629254582783474,0.36047114682720793
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,0.28,2,4,8,2.5464210875323925,1.2881463420081771,1.363340832239722,0.6034388059156051,0.3213335505410382,0.24019986130831666,-0.3898709295664693,-0.1472095837892718,0.014157728057528324,-0.08255048432940135,-0.06842595854527325,0.018010869045376163,0.934688878263266,0.2532042407995133,0.30993818179180743,0.1849951396606479,0.5881152879832933,0.09336934948045938,0.03663540848816525,0.2446435236561702,0.5292237701551016,0.1522608673086511,0.095526926316357,0.30353504148436194,0.45347705320366244,0.22800758426009018,0.17127364326779607,0.37547780146310483,0.24154169770332065,0.439942939760432,0.38320899876813785,0.5081520408992974
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,0.28,3,8,16,1.2968198048915665,1.1446632202765907,1.1546251906491027,0.31169554571171004,0.4927616072321252,0.4800652208792902,-0.3898709295664693,-0.1472095837892718,0.014157728057528324,-0.08255048432940135,-0.06842595854527325,0.018010869045376163,0.2599149634476086,0.1351104629784634,0.14377578104839134,0.23475679222572748,0.0866586268323641,0.21146312730150926,0.20279780923158144,0.11181679805424524,0.14555014466055577,0.2703546451297009,0.26168932705977305,0.1707083158824369,0.22129686161199483,0.3461013620811402,0.3374360440112121,0.246455032833876,0.4332322171123367,0.5580367175814819,0.549371399511554,0.45839038833421786
calibration,V02,V02_Amp0.0_umf1.25.csv,13,0,14,0.28,4,16,32,1.1726736565552391,1.0215550934975723,1.30593534603658,0.45738587232007666,0.6612149280190889,0.30164733558177964,-0.3898709295664693,-0.1472095837892718,0.014157728057528324,-0.08255048432940135,-0.06842595854527325,0.018010869045376163,0.1592863183076379,0.0213260677394865,0.26691952429694155,0.1592863183076379,0.18728727197233477,0.32524752254048617,0.0796540659830312,0.18728727197233477,0.2461787898005265,0.3841390403686779,0.13854558381122287,0.2461787898005265,0.32192550675196563,0.459885757320117,0.21429230076266198,0.32192550675196563,0.5338608622523074,0.6718211128204588,0.42622765626300374,0.5338608622523074
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,0.86,0,1,2,1.8732049533227924,1.180817469767118,6.8668060196158525,0.19987357007762965,0.44728585341976523,1.790746024516128,0.1686901378697934,-0.04696527076577206,-1.0933442060789762,0.015277034010257606,0.007678356363181144,-0.25732441764535324,0.6276508426344476,0.1662069696116049,1.9266990810403164,0.32525359408536925,0.28107725235447495,0.1803666206683678,1.5801254907603435,0.17139381566697873,0.22218573452628332,0.2392581384965595,1.521233972932152,0.19753178538229121,0.14643901757484415,0.31500485544799856,1.4454872559807128,0.22700913763643693,0.06549633792549767,0.5269402109483404,1.233551900480371,0.4073624922188823
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,0.86,1,2,4,1.071299668461102,1.2327948725688298,1.0863537975302529,0.5904311597903594,0.3846864151443727,0.5697640501735087,0.1686901378697934,-0.04696527076577206,-1.0933442060789762,0.015277034010257606,0.007678356363181144,-0.25732441764535324,0.06887255481288593,0.2092838458399328,0.08282694887142442,0.19296041434857053,0.2777010354670868,0.13728974444003986,0.2637466414085483,0.23723344353840026,0.33659255329527843,0.19618126226823157,0.32263815923673994,0.23723344353840026,0.4123392702467175,0.2719279792196707,0.3983848761881791,0.2882514107110329,0.6242746257470594,0.4838633347200125,0.6103202316885209,0.5001867662113748
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,0.86,2,4,8,1.1169371994433261,1.6025856567807149,1.123577889447463,0.5287897348602644,0.013268713526788834,0.5200660743651478,0.1686901378697934,-0.04696527076577206,-1.0933442060789762,0.015277034010257606,0.007678356363181144,-0.25732441764535324,0.11059029598487667,0.4716183603534273,0.11651813774128639,0.1619812559101625,0.2359832942950961,0.12504477007345446,0.23005545253868628,0.21244006393095732,0.29487481212328776,0.06615325224526283,0.28894697036687794,0.2652228830101423,0.3706215290747269,0.009593464706176242,0.36469368731831714,0.31923056914944103,0.5825568845750686,0.221528820206518,0.5766290428186589,0.5311659246497829
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,0.86,3,8,16,1.288504818148101,1.0393232089343059,1.5990068426396251,0.32093370558341994,0.6354785111320181,0.016363962118964428,0.1686901378697934,-0.04696527076577206,-1.0933442060789762,0.015277034010257606,0.007678356363181144,-0.25732441764535324,0.2534824904498967,0.038569740676577154,0.4693827131670043,0.37448271467961936,0.09309109983007607,0.3080038496033956,0.12280912288703154,0.12100022422972269,0.15198261765826768,0.36689536743158724,0.06391760505883985,0.12100022422972266,0.2277293346097068,0.44264208438302627,0.011829111892599145,0.12100022422972266,0.43966469011004866,0.6545774398833681,0.223764467392941,0.31866446588032604
calibration,V02,V02_Amp0.0_umf1.25.csv,17,1,43,0.86,4,16,32,1.1806707032813206,1.2375977971985344,1.1377683716743363,0.44746715230845235,0.379058397702097,0.50162491763149,0.1686901378697934,-0.04696527076577206,-1.0933442060789762,0.015277034010257606,0.007678356363181144,-0.25732441764535324,0.16608266961496593,0.213172240377377,0.12906877515786697,0.16608266961496593,0.18049092066500677,0.13340134990259567,0.21750481512210576,0.18049092066500677,0.2393824384931984,0.19229286773078735,0.2763963329502975,0.2393824384931984,0.31512915544463754,0.2680395846822265,0.35214304990173656,0.31512915544463754,0.5270645109449794,0.4799749401825683,0.5640784054020783,0.5270645109449794
