split,video,file,amplitude,umf,frame,inherited_id,joining_id,f_child,f_parent,zipper_contraction,f_ordinary,event_specificity,theta_inherited_pre,theta_joining_pre,theta_parent_first,theta_parent_second,inherited_pre_step_m,joining_pre_step_m,parent_first_step_m,parent_second_step_m
calibration,V03,V03_Amp0.0_umf1.5.csv,0.0,1.5,1909,1064,1083,0.255722251877986,0.016427027512200414,0.23929522436578557,0.12469530666959201,0.1082682791573916,-2.122451309323433,-2.9258264571827524,-2.047263746268609,-2.0988707752212554,0.0030528675044947844,0.007473285756613351,0.0034885527085024826,0.00416773319683493
calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,81,80,74,0.025451222695983714,0.005980609377228973,0.019470613318754743,0.012725611347991857,0.006745001970762884,-1.5308176396716064,-1.6107750139181867,-1.695151321341658,-1.6763626828581653,0.01250999600319676,0.012509996003196815,0.012093386622447834,0.015184531602917491
calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,889,769,800,0.11520438002218046,0.18166167858407078,-0.06645729856189032,0.02779955529022371,-0.15386212329384708,-1.3363806510710856,-1.6983058850101345,-1.1119795980880656,-1.6826865929665726,0.006888396039717793,0.007863841300535029,0.00925742944882647,0.008956003573022977
calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1294,1175,1174,0.5676574415686996,0.23650095353017123,0.3311564880385284,0.19778274934650614,-0.03871820418366509,-1.935997776583068,-0.15264932839526416,-0.9877197917757494,-1.7307094499531164,0.007280109889280544,0.01052235715037273,0.005630275304103686,0.003140063693621508
calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1648,1484,1485,0.00885430068865364,0.03338336643052459,-0.024529065741870953,0.010164954462822302,-0.02321841196770229,-1.2587542052323648,-1.2865708112285141,-1.3258176636680332,-1.4306946023982654,0.00651459898996097,0.009272000862812642,0.008658521813797105,0.007877182237323166
calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1683,1509,1505,0.810475150303659,0.039170558352756644,0.7713045919509024,nan,nan,1.5707963267948966,-2.1662062022736315,-2.3424967168194732,-2.2194387784614427,0.016100000000000003,0.007488658090739613,0.005162363799656143,0.0077801028270839635
calibration,V04,V04_Amp0.0_umf2.0.csv,0.0,2.0,1851,1638,1632,0.5000000000000001,0.07861055757992728,0.4213894424200728,0.07440276529861652,-0.004207792281310768,3.141592653589793,-1.5707963267948966,-2.5872851573882447,-2.3403228072005478,0.0010999999999999899,0.0010000000000000009,0.004939635614091391,0.0044553338819891125
calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,47,81,66,0.9736207160811301,0.17469121014181066,0.7989295059393194,nan,nan,1.677911650147128,-1.380808038876184,-1.7441790358666582,-2.2929876582948814,0.009353608929178114,0.002647640458974791,0.01796941846582687,0.005597320787662645
calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,608,776,781,0.09245486816177687,0.021189304634947885,0.07126556352682897,0.17252372842418245,0.15133442378923456,-1.0056468867881367,-1.2961024213937877,-1.1071487177940884,-1.1737168815699168,0.004854894437575335,0.011428473213863706,0.00581377674149944,0.006723094525588679
calibration,V05,V05_Amp0.0_umf2.5.csv,0.0,2.5,1910,2454,2456,0.48325846213657203,0.35089524449294207,0.13236321764362996,0.9609251338149243,0.6100298893219822,2.024971959265316,-2.7400121134809146,-1.6376421912022934,-2.7400121134809146,0.03305056731736991,0.015861904047118677,0.023953496613229593,0.007930952023559338
