carrier_name,carrier,split,quadrant,count,share_nonboundary,events
primary_two,2.0,calibration,contracting_reverse,93,0.1875,500
primary_two,2.0,calibration,contracting_forward,95,0.19153225806451613,500
primary_two,2.0,calibration,expanding_reverse,155,0.3125,500
primary_two,2.0,calibration,expanding_forward,153,0.3084677419354839,500
primary_two,2.0,calibration,boundary,4,0.0,500
primary_two,2.0,evaluation,contracting_reverse,136,0.19825072886297376,688
primary_two,2.0,evaluation,contracting_forward,140,0.20408163265306123,688
primary_two,2.0,evaluation,expanding_reverse,190,0.27696793002915454,688
primary_two,2.0,evaluation,expanding_forward,220,0.3206997084548105,688
primary_two,2.0,evaluation,boundary,2,0.0,688
primary_two,2.0,holdout,contracting_reverse,29,0.18125,160
primary_two,2.0,holdout,contracting_forward,43,0.26875,160
primary_two,2.0,holdout,expanding_reverse,44,0.275,160
primary_two,2.0,holdout,expanding_forward,44,0.275,160
primary_two,2.0,holdout,boundary,0,0.0,160
sensitivity_calibration_carrier,2.13110459196325,calibration,contracting_reverse,126,0.2540322580645161,500
sensitivity_calibration_carrier,2.13110459196325,calibration,contracting_forward,122,0.24596774193548387,500
sensitivity_calibration_carrier,2.13110459196325,calibration,expanding_reverse,122,0.24596774193548387,500
sensitivity_calibration_carrier,2.13110459196325,calibration,expanding_forward,126,0.2540322580645161,500
sensitivity_calibration_carrier,2.13110459196325,calibration,boundary,4,0.0,500
sensitivity_calibration_carrier,2.13110459196325,evaluation,contracting_reverse,164,0.239067055393586,688
sensitivity_calibration_carrier,2.13110459196325,evaluation,contracting_forward,186,0.27113702623906705,688
sensitivity_calibration_carrier,2.13110459196325,evaluation,expanding_reverse,162,0.23615160349854228,688
sensitivity_calibration_carrier,2.13110459196325,evaluation,expanding_forward,174,0.2536443148688047,688
sensitivity_calibration_carrier,2.13110459196325,evaluation,boundary,2,0.0,688
sensitivity_calibration_carrier,2.13110459196325,holdout,contracting_reverse,36,0.225,160
sensitivity_calibration_carrier,2.13110459196325,holdout,contracting_forward,52,0.325,160
sensitivity_calibration_carrier,2.13110459196325,holdout,expanding_reverse,37,0.23125,160
sensitivity_calibration_carrier,2.13110459196325,holdout,expanding_forward,35,0.21875,160
sensitivity_calibration_carrier,2.13110459196325,holdout,boundary,0,0.0,160
