split,target,target_value,full_mean,full_median,shorthand_mean,shorthand_median,roots,videos
calibration,one,1.0,0.9676741273411613,0.8780844858608947,1.9040421156332537,1.9237207512295318,125,4
calibration,sqrt2,1.4142135623730951,0.7142589357497773,0.5853755739394855,1.0510833704283664,0.9939786358064975,125,4
calibration,three_halves,1.5,0.6778032198032935,0.5526860675032415,0.9236462846193102,0.8788572436451807,125,4
calibration,phi,1.618033988749895,0.6354061072039366,0.5113477445734343,0.7746733031600019,0.7171363710230497,125,4
calibration,two,2.0,0.5622875904439445,0.38471437852444074,0.529390819957796,0.41405779071873133,125,4
evaluation,one,1.0,0.8946711440021154,0.8214815150241723,1.9603621047210111,1.9250258628151566,172,10
evaluation,sqrt2,1.4142135623730951,0.6179461936411491,0.513068946304573,1.056784722949583,0.9992843161093061,172,10
evaluation,three_halves,1.5,0.5771070186912662,0.4662156930563368,0.9131567131969028,0.8683443302324672,172,10
evaluation,phi,1.618033988749895,0.5292617274469609,0.40904964941972977,0.73774053153284,0.6892514563550309,172,10
evaluation,two,2.0,0.4468173309371046,0.3080698830486509,0.4126525342085441,0.28873501844122007,172,10
holdout,one,1.0,0.9072477246673738,0.8136837065861551,1.7612207216336944,1.8171354636342774,40,4
holdout,sqrt2,1.4142135623730951,0.6544479616183074,0.5157271266011869,0.9613298163386317,0.9043375181418036,40,4
holdout,three_halves,1.5,0.6184255708063953,0.4693111875786784,0.8436759924266317,0.790619279398483,40,4
holdout,phi,1.618033988749895,0.5774068315813995,0.4323768264036659,0.7049044567055489,0.7024906196542977,40,4
holdout,two,2.0,0.518401669396223,0.3588504074536995,0.5348809708869854,0.3930055415583945,40,4
