split,level,child_frames,parent_frames,a_mean_angle_deg,a_median_angle_deg,a_closest_target_to_mean,a_mean_projection,a_median_projection,a_negative_signed_fraction,b_mean_angle_deg,b_median_angle_deg,b_closest_target_to_mean,b_mean_projection,b_median_projection,b_negative_signed_fraction,roots,videos
calibration,0,2,4,21.4993558218719,14.672038023556555,thirty,1.7521021216198254,1.9347829574116344,0.08,21.410905771545384,11.944177188446297,thirty,1.7394541741426688,1.9566994062378826,0.04,125,4
calibration,1,4,8,21.274337598163118,15.874681735904062,thirty,1.760781565435455,1.9237245493694624,0.048,19.70893958253781,12.09813079069324,thirty,1.7694606156311654,1.9555801496085021,0.048,125,4
calibration,2,8,16,15.919873780123247,10.901267653030015,thirty,1.8505508028723463,1.96390905754508,0.032,12.866078991073925,8.285655586169717,direct,1.8884849940735509,1.979123797358123,0.056,125,4
calibration,3,16,32,11.358730416690497,8.092278670911874,direct,1.9219373996746245,1.9800852738902244,0.016,7.343033170860201,5.568454303621958,direct,1.9617386361579117,1.990561951928027,0.008,125,4
evaluation,0,2,4,21.19882594935077,11.59907689318749,thirty,1.7304675507818599,1.9591569639662558,0.040697674418604654,15.356068376952056,9.893509201356114,thirty,1.8628270048851816,1.9702552820221586,0.023255813953488372,172,10
evaluation,1,4,8,14.93598840087021,9.144339711047596,direct,1.8501384721406549,1.974577510768727,0.03488372093023256,14.04814055333546,7.000289509328237,direct,1.8590580261465106,1.9850868391351346,0.03488372093023256,172,10
evaluation,2,8,16,12.525443063581841,7.187763923089673,direct,1.8889499569440316,1.9842820138656627,0.023255813953488372,10.676758695863636,6.85843909904291,direct,1.9266133439220468,1.985686911286861,0.005813953488372093,172,10
evaluation,3,16,32,8.779837606770245,6.85929157897707,direct,1.9589465772114498,1.9856844970037428,0.0,6.307320536841767,4.756112612310311,direct,1.9780878861885967,1.993111170022981,0.0,172,10
holdout,0,2,4,21.03302975526499,13.041430345384274,thirty,1.7495337402640148,1.9463999662784308,0.1,19.66297183117245,12.272405558383205,thirty,1.7934888501741502,1.9542384488182476,0.025,40,4
holdout,1,4,8,14.213807444096842,7.058399371735036,direct,1.8572694592785899,1.9846608419051943,0.05,13.038870558006304,5.635585089708529,direct,1.8707564378787365,1.9903050779642508,0.075,40,4
holdout,2,8,16,15.303424571602175,9.055108891854772,thirty,1.8351405994453125,1.9750738921871687,0.075,13.57416895617863,7.98874622706714,direct,1.8704206226960343,1.9805108949550896,0.0,40,4
holdout,3,16,32,10.355531182420783,5.812502302488452,direct,1.9145979831728872,1.9897069757060262,0.05,6.698834525307367,4.470130645328895,direct,1.97007282152942,1.9939145056939769,0.025,40,4
