family,observable,candidate,run_count,mean_absolute_distance,median_absolute_distance,wins
plain,motion,phi,4,0.3819660112501051,0.3819660112501051,0
plain,motion,three_eighths,4,0.375,0.375,0
plain,motion,one_third,4,0.3333333333333333,0.3333333333333333,4
plain,motion,two_fifths,4,0.4,0.4,0
plain,motion,half,4,0.5,0.5,0
plain,motion,ridge,4,1,1,0
plain,structure,phi,4,0.048632677916771616,0.048632677916771616,0
plain,structure,three_eighths,4,0.04166666666666652,0.04166666666666652,0
plain,structure,one_third,4,2.220446049250313e-16,2.220446049250313e-16,4
plain,structure,two_fifths,4,0.06666666666666643,0.06666666666666643,0
plain,structure,half,4,0.16666666666666652,0.16666666666666652,0
plain,structure,ridge,4,0.6666666666666665,0.6666666666666665,0
undulating,motion,phi,3,0.13628922387529624,0.0911323283741114,0
undulating,motion,three_eighths,3,0.13396722012526122,0.09809833962421649,0
undulating,motion,one_third,3,0.12543805870099714,0.13976500629088318,2
undulating,motion,two_fifths,3,0.14230055345859455,0.07309833962421647,0
undulating,motion,half,3,0.1935683270424502,0.15862707546972943,1
undulating,motion,ridge,3,0.6935683270424503,0.6586270754697294,0
undulating,structure,phi,3,0.36371077612470365,0.35458315856200295,0
undulating,structure,three_eighths,3,0.3660327798747387,0.36154916981210805,0
undulating,structure,one_third,3,0.3799216687636276,0.4032158364787748,1
undulating,structure,two_fifths,3,0.3576994465414054,0.33654916981210814,0
undulating,structure,half,3,0.324366113208072,0.23654916981210805,2
undulating,structure,ridge,3,0.5089672201252613,0.26345083018789195,0
all,motion,phi,7,0.2766759595180442,0.3819660112501051,0
all,motion,three_eighths,7,0.2717002371965405,0.375,0
all,motion,one_third,7,0.24423535849090355,0.3333333333333333,6
all,motion,two_fifths,7,0.2895573800536834,0.4,0
all,motion,half,7,0.3686721401610501,0.5,1
all,motion,ridge,7,0.86867214016105,1,0
all,structure,phi,7,0.18366614857731392,0.048632677916771616,0
all,structure,three_eighths,7,0.18068071518441173,0.04166666666666652,0
all,structure,one_third,7,0.1628235723272691,2.220446049250313e-16,5
all,structure,two_fifths,7,0.1913950008986974,0.06666666666666643,0
all,structure,half,7,0.2342521437558403,0.16666666666666652,2
all,structure,ridge,7,0.5990811895774929,0.6666666666666665,0
