test_condition,model,success,status,message,iterations,objective,gradient_max_abs
low,additive_children,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,1.3364337735513026,2.8042009081263454e-08
low,intact_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,1.311212041106981,1.2772764314366488e-07
low,broken_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,1.3342931099067223,9.424690043623738e-08
medium,additive_children,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,1.3345394583020604,2.3376904428998452e-08
medium,intact_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,1.3082842295394324,1.363727294385919e-07
medium,broken_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,1.3320006149588386,1.6475214557495044e-07
high,additive_children,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,1.3303586955679205,2.6951115405178493e-08
high,intact_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,1.3019745421216973,9.639890099771971e-08
high,broken_parent,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,1.3271499779558467,1.1719010454907693e-07
low,window_8_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.3844745239338063,3.5557432192900257e-08
medium,window_8_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.3842813479005636,3.055029025945037e-08
high,window_8_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1.3842463861836345,3.314392163833381e-08
low,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1.3847504854917758,7.113817277795156e-08
medium,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1.3845920239622869,1.3018586071588688e-07
high,window_15_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,1.3845984600940129,9.67098923159784e-08
low,window_30_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,1.3840601470841498,1.5755211113426434e-07
medium,window_30_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1.383863786552105,5.6902518062148854e-08
high,window_30_intact,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,1.3838099675272715,1.246616963982776e-07
