test_condition,model,events,excluded,log_loss,accuracy,balanced_accuracy,macro_f1
low,global,810279,0,1.3851769708044177,0.2723666786378519,0.25,0.42812607907877226
low,persistence,810279,0,3.958477973045744,0.14136241961102286,0.13986196019228292,0.13985774922669147
low,radial_child,810279,0,1.3352682700119227,0.33670747976931403,0.32395385650399766,0.4427712325784893
low,turn_child,810279,0,1.3501227874094182,0.32538792193799915,0.31889809125130664,0.4304049093855683
low,additive_children,810279,0,1.294009760014428,0.4240897271186838,0.42058767611774184,0.41870890824686485
low,intact_parent,810279,0,1.2919367566625886,0.4249931196538476,0.4228154087914572,0.42162456438179335
low,broken_parent,807187,3092,1.3169204642962138,0.33610798984621904,0.3245004013027047,0.3089369945576932
medium,global,877971,0,1.3855172088610532,0.2631157521148193,0.25,0.41661384029814813
medium,persistence,877971,0,3.997661848690315,0.1327970969428375,0.1320970057340309,0.13211948366242832
medium,radial_child,877971,0,1.3335626900130149,0.3392811379874734,0.32660248554931237,0.44651327725378975
medium,turn_child,877971,0,1.3435408481759374,0.32895277862252853,0.32529600073710707,0.43669910006213036
medium,additive_children,877971,0,1.288292544090523,0.42372697959272004,0.42013705049044514,0.4181416417728703
medium,intact_parent,877971,0,1.2831305032963434,0.42721912227169234,0.4243640187014547,0.4234408421342483
medium,broken_parent,877946,25,1.3219970442459437,0.33881924400817365,0.326577872680378,0.3137916070772593
high,global,1105219,0,1.3853849946414363,0.2640915510862553,0.25,0.4178361145746397
high,persistence,1105219,0,4.08965895780008,0.1126871687873625,0.11204484022947511,0.11205168991193765
high,radial_child,1105219,0,1.3159346396311036,0.3553223388305847,0.34074545295901015,0.4670602727337974
high,turn_child,1105219,0,1.3279518507162724,0.3438241651654559,0.34123710771488136,0.4570277560263064
high,additive_children,1105219,0,1.2591405608778166,0.4571636933494629,0.4534666692447068,0.452022985748654
high,intact_parent,1105219,0,1.2509832999268904,0.46016490849324887,0.4570071305343861,0.456509181591625
high,broken_parent,1105219,0,1.304601554912924,0.35375251420759146,0.3405878040962477,0.2579262624867898
