outer_fold,kind,candidate,mean_inner_balanced_accuracy,inner_scores
0,single,PS1,0.6474642970031468,"[0.7298611111111111, 0.6520726495726495, 0.6519926854039003, 0.5559307419249263]"
0,single,PS2,0.627587421417759,"[0.6897222222222222, 0.5752350427350428, 0.6142942727054876, 0.6310981480082837]"
0,single,PS3,0.715514454965553,"[0.7913888888888889, 0.7098931623931624, 0.6483550717195576, 0.7124206968606027]"
0,single,PS4,0.24739872063931773,"[0.23875, 0.24027777777777778, 0.2513443851060673, 0.25922271967342586]"
0,single,PS5,0.34558371143225847,"[0.3401388888888889, 0.3502991452991453, 0.3560789029246973, 0.33581790861630245]"
0,single,PS6,0.3137502664911477,"[0.32972222222222225, 0.308974358974359, 0.30726531386578115, 0.3090391709022282]"
0,pair,PS1+PS2,0.7245915282489568,"[0.7845833333333333, 0.7345085470085471, 0.6955290101902252, 0.6837452224637215]"
0,pair,PS1+PS3,0.8707301606351661,"[0.9295833333333333, 0.8885897435897436, 0.8179191200803351, 0.846828445537252]"
0,pair,PS1+PS4,0.6308182957936801,"[0.66625, 0.6691025641025641, 0.6182663779626396, 0.5696542411095167]"
0,pair,PS1+PS5,0.6820827566286163,"[0.7456944444444444, 0.7132478632478633, 0.6520003166615316, 0.617388402160626]"
0,pair,PS1+PS6,0.6927165163726468,"[0.7919444444444445, 0.6695299145299145, 0.6703000724612874, 0.6390916340549406]"
0,pair,PS2+PS3,0.8411193090270317,"[0.8894444444444445, 0.8629273504273505, 0.7598605120217269, 0.8522449292146052]"
0,pair,PS2+PS4,0.6241956872314043,"[0.6194444444444445, 0.6001709401709402, 0.6469102678214828, 0.6302570964887497]"
0,pair,PS2+PS5,0.6502929757842107,"[0.6758333333333333, 0.6248504273504274, 0.6328382287494437, 0.6676499137036385]"
0,pair,PS2+PS6,0.6574523031436211,"[0.737638888888889, 0.615534188034188, 0.6295644192256341, 0.6470717164257734]"
0,pair,PS3+PS4,0.7542179266983304,"[0.8415277777777777, 0.7855555555555556, 0.7304000775963393, 0.659388295863649]"
0,pair,PS3+PS5,0.8338172914587483,"[0.8918055555555556, 0.8799786324786325, 0.758322849269111, 0.8051621285316937]"
0,pair,PS3+PS6,0.8469843745938322,"[0.9077777777777779, 0.8864529914529915, 0.7673086907899992, 0.82639803835456]"
0,pair,PS4+PS5,0.35342318668411205,"[0.36694444444444446, 0.38705128205128203, 0.32965941768511864, 0.3300376025556031]"
0,pair,PS4+PS6,0.32988878274210187,"[0.34958333333333336, 0.31433760683760686, 0.3253094581949722, 0.33032473260249495]"
0,pair,PS5+PS6,0.3693257836139529,"[0.3670833333333333, 0.36230769230769233, 0.3687415842205562, 0.3791705245942299]"
1,single,PS1,0.6263754205779879,"[0.6126149263533165, 0.59072471944729, 0.6299512987012987, 0.6722107378100461]"
1,single,PS2,0.6003549463664742,"[0.5962385073646684, 0.5328102575359628, 0.5970779220779221, 0.6752930984873435]"
1,single,PS3,0.6835965012915781,"[0.7355474247115115, 0.6440616663970896, 0.6945075757575758, 0.6602693383001357]"
1,single,PS4,0.26552768541770677,"[0.3283375551177409, 0.25205809257533396, 0.24753787878787878, 0.23417721518987342]"
1,single,PS5,0.30091054116514926,"[0.2567874957000344, 0.30371275022528943, 0.3316693722943723, 0.31147254644090083]"
1,single,PS6,0.28640615577223527,"[0.2290337586390218, 0.30432732176462585, 0.32696158008658005, 0.2853019625987132]"
