test_condition,track_id,particle_id,events,loss_global,loss_persistence,loss_radial_child,loss_turn_child,loss_additive_children,loss_intact_parent,loss_broken_parent
low,low:1,1,815,1.3880000023985277,1.4954893490667733,1.176318778703754,1.2454134893797992,1.3241815015384513,1.2930209960456953,1.3298408119270468
low,low:2,2,578,1.394433139495661,1.4234507857141123,1.1490748136037128,1.2480215755422628,1.3470940193830814,1.3220426719497864,1.3665783076424565
low,low:3,3,384,1.3834415525770274,1.1741369521105542,1.0923163246461567,1.2248572855971351,1.3576035180652062,1.3442203840363003,1.3670051018202143
low,low:4,4,1906,1.392270287024838,1.621767381014479,1.2206921732438472,1.2470375036622616,1.3158768825014486,1.2878617234080623,1.340989481845581
low,low:5,5,601,1.3899199561121438,1.469095438661313,1.1670033396853878,1.2466356901904738,1.3405183864420982,1.3199564768106253,1.343935220811946
low,low:6,6,396,1.386677751170672,1.2781076561674494,1.0960171020924776,1.2455815708331535,1.3508668863757163,1.3332004090203908,1.3479051162179074
low,low:7,7,538,1.3889214158935248,1.254917164556246,1.1245054057426886,1.2406613117214154,1.3366081825701441,1.3143493093392116,1.342232983945181
low,low:8,8,1682,1.39125618621811,1.5671486859950599,1.1986593580269669,1.2469027002603925,1.31828565634321,1.285726304673025,1.3536478988100304
low,low:9,9,360,1.387117065321913,1.0216465861604414,1.0765890032796657,1.2099811088359982,1.3637611454658756,1.3593581046377945,1.368590877490489
low,low:10,10,455,1.3958926225795603,1.1665962197284059,1.119769198859131,1.2314462569518927,1.3689548922562054,1.3647528187865252,1.3888046780005343
low,low:11,11,464,1.386316524130323,1.2037148248163951,1.1168070758158404,1.2259132456808006,1.3413114201919751,1.320867635248368,1.3539264505484858
low,low:12,12,601,1.3764697701117403,1.2407404813316933,1.1233857601672887,1.225929342946755,1.3254777850484125,1.2913711831716874,1.3335274716339998
low,low:13,13,1998,1.3849457113143577,2.4597726950683367,1.1323872369583519,1.384902418931861,1.3244119062084057,1.27435581405499,1.353090588557506
low,low:14,14,881,1.3935817253213254,1.546708476182765,1.1682525521323255,1.2544114926952037,1.3340489417396402,1.3163306389343177,1.3608425545401563
low,low:15,15,359,1.3863141184201118,1.1773226839897348,1.1083905034932753,1.240655223712555,1.3628568490098676,1.3452083300886712,1.3580712424021482
low,low:16,16,503,1.390284663215804,1.4947305147193897,1.1416541475667157,1.2653160859651504,1.3617632699956017,1.3533996326712296,1.369713522478238
low,low:17,17,476,1.3813957804690817,1.3279087497073065,1.108347675111935,1.2513571548990696,1.3451433808723625,1.313512418218945,1.3300250961285145
low,low:18,18,1998,1.3777066388454606,2.4872484366809697,1.2604421747174295,1.3413153329190652,1.312779273845602,1.278288324544379,1.3024936294229088
low,low:19,19,537,1.3845718391693198,1.2316403023990046,1.1067246950841643,1.229988982253607,1.3375101234946056,1.3128235967868582,1.3321978947983384
low,low:20,20,1998,1.381407392966172,2.6978957890444892,1.24025051009159,1.3800553219443725,1.3186171736705716,1.2834466060623613,1.3307766423523197
low,low:21,21,1998,1.378302982728319,2.73224046606028,1.2558490233278545,1.3812626941868595,1.3261863392192887,1.3030646712944889,1.3128884169953867
low,low:22,22,1998,1.3780726790417606,2.544489565040622,1.268038243405435,1.3492949416726983,1.3190599315845488,1.286165136536939,1.3127540527384585
low,low:23,23,1998,1.3894726857546205,2.1369327311199,1.0960686060917415,1.3565343447918963,1.3196574669227255,1.2894278723332007,1.325189057959974
low,low:24,24,1040,1.3866302128214998,1.3368910926919244,1.1414654342191952,1.2385385994490359,1.3254301621936617,1.3017929582881202,1.328090237357029
low,low:25,25,1998,1.3853774543904014,2.629206435012907,1.1347813872497858,1.4077110010779914,1.3134132292172664,1.2673606642959305,1.3225261467209486
low,low:26,26,1998,1.3872033029844364,2.8306952068388815,1.2187650586937953,1.4194533786718337,1.3327534492722188,1.3158526970813718,1.332034055202069
low,low:27,27,1998,1.3883711833379135,2.322393987005172,1.1632941419689435,1.3608764385439307,1.3279114028223913,1.2998995417985255,1.3297541647068325
low,low:28,28,1998,1.3800256957043935,2.5353309845030774,1.256140685544487,1.350727712583967,1.3000280789019345,1.2647240085097786,1.3341426423540645
low,low:29,29,569,1.384600594165707,1.3329252505735452,1.1490002613756054,1.2332002688336832,1.325923905295069,1.3017999475548188,1.333882485949807
low,low:30,30,1162,1.384590983112431,1.6209783428679847,1.1782173434840721,1.2653859618713497,1.3411807095781585,1.3140890637963782,1.3570694663727436
low,low:31,31,1998,1.3827280522889625,2.7024750793132615,1.281900247745594,1.3749804286821004,1.3310130954431274,1.310243220593708,1.312112884666632
low,low:32,32,1998,1.387385987764598,2.9383085281550274,1.201308983626645,1.4343933390849355,1.3208670260148214,1.2765595706168469,1.3016698607903219
low,low:33,33,1998,1.3866164043613383,2.8627502387202863,1.2403811074478264,1.4133419998381236,1.322533647668804,1.2810734444688192,1.326482855987942
low,low:34,34,734,1.3831790802613932,1.844138900597085,1.1995941461303445,1.2807046091832093,1.3344681076557856,1.311043289571159,1.325494017063223
low,low:35,35,1998,1.381413634993656,2.8032194652262485,1.2917619428633265,1.3775885418787976,1.346770782257735,1.311025870586429,1.3453228745799062
low,low:36,36,1998,1.3821343493254914,2.5719653066532544,1.2464727817894794,1.3669996632041506,1.3238621825470969,1.3106043461560328,1.3243365497964614
low,low:37,37,1998,1.3832964668523702,2.2994975356613114,1.2324371027798011,1.3384038771568063,1.341461080384017,1.327074526318741,1.3240172114348496
low,low:38,38,1998,1.3885517353500316,1.907968217681292,1.1652372135232716,1.302035118609454,1.3048112883740626,1.2607437639293149,1.3362111220319808
low,low:39,39,1998,1.3881788099118808,2.5055655977560587,1.1931999183206439,1.3823744668995055,1.3088823991281642,1.2787221556419421,1.298766455080588
low,low:40,40,1998,1.3907356432231974,2.301787180795697,1.130013264633309,1.370012851961802,1.3207932599596617,1.2847928519080678,1.3152284374727414
low,low:41,41,1998,1.3845189260475879,2.757426562538527,1.2572780211408527,1.397944460450882,1.335757967709388,1.3077964681683698,1.3020249670179782
low,low:42,42,1998,1.38919556375794,2.262863213511134,1.1648806120640964,1.351330750680615,1.3182055854790533,1.2853962513833193,1.3241533786612525
low,low:43,43,1998,1.386372464572425,2.5879928225939572,1.2269753504015746,1.3815786992272294,1.3153623734825697,1.28327529638423,1.3118748909857578
low,low:44,44,1998,1.382573539956275,2.3910833410367545,1.1503550966218679,1.3739931980528428,1.3138004928500977,1.2781171509235227,1.3075009944109939
low,low:45,45,1998,1.3835555579319865,2.0316090549381403,1.1878712797101236,1.3060579879363639,1.322497835301864,1.288879678845336,1.3379147290891218
low,low:46,46,1998,1.3834132591046338,2.922281012214325,1.292482913188468,1.405233938342161,1.3512429243924229,1.3443722846905988,1.3356160811732793
low,low:47,47,1998,1.3823340029769953,2.729950820925894,1.2919459069821557,1.3703845197999593,1.3435160976203722,1.324346725379341,1.3419346006224906
low,low:48,48,1998,1.3862790421297453,2.205622085151482,1.1521988616682497,1.3477697448533164,1.3102494162155138,1.2709011940430646,1.2995065603880094
low,low:49,49,1998,1.3861427740445118,3.0985836875620527,1.3101839229323977,1.422384270077782,1.346019498795544,1.3233887170380754,1.332815867350779
low,low:50,50,1998,1.386951176942888,2.8833570449297614,1.2090930537244393,1.42368699728861,1.320541519001113,1.2773543987436482,1.3136031750843082
low,low:51,51,399,1.3841324942283202,1.2113996355194163,1.1225301637622294,1.2302128880669232,1.3492658107939133,1.3308460811505538,1.3553214958992383
low,low:52,52,406,1.3806858162225377,1.191038593656749,1.1331509854749697,1.2295356191235103,1.3516867819756977,1.33464580051125,1.356867873488494
low,low:53,53,585,1.38621805886742,1.34422236028568,1.1692917524169302,1.231942395578459,1.3346914887490904,1.3062964649929327,1.35175396164431
low,low:54,54,415,1.38725259008739,1.0556354026673944,1.1025337716559651,1.2174541248597601,1.3641725925388068,1.356680021495975,1.3743907925557313
low,low:55,55,454,1.3867185338927601,1.2597868272587454,1.1411805380857623,1.222411721689215,1.3456616388203768,1.3273853734992171,1.3531921028531892
low,low:56,56,364,1.387077850711487,1.2244085013248773,1.107295978674319,1.2331119962910913,1.3640312533582708,1.3570576193872042,1.3667354945864676
low,low:57,57,470,1.399744857249273,1.2471376592143315,1.1449771316825186,1.234807347246486,1.357734384250394,1.3483613113414539,1.3756402839397366
low,low:58,58,1412,1.3955342239199302,1.569402348270195,1.2127798102244975,1.243888583832384,1.3224439558704455,1.300583352900358,1.3630447674139428
low,low:59,59,359,1.3847026129743094,1.1518368289562897,1.1296501555177851,1.2239254399531667,1.3612447506963736,1.3434680180493037,1.3493547189131925
low,low:60,60,607,1.3854931253912066,1.0780454117877898,1.086996838243662,1.2258195546765978,1.3513126266977111,1.3354404027948545,1.3543716606095482
low,low:61,61,1998,1.3801562540193104,2.436876243724476,1.2060590870756325,1.3554633188235916,1.3239751565780915,1.2956592376341802,1.3490277246005702
low,low:62,62,1998,1.377020632538776,2.3246836321395583,1.2281920944956124,1.3277502255940121,1.306272946865778,1.2702430066601227,1.299622056151151
low,low:63,63,1998,1.3744394721213669,2.1415120213886722,1.2151849030473016,1.304639243211738,1.287773555231237,1.2481024153954876,1.2978791381118153
low,low:64,64,1998,1.377866677931884,2.3361318578114885,1.2538620032186676,1.3349308020451844,1.3131715326851425,1.2872112349063163,1.3447077571979598
low,low:65,65,1998,1.3794852957829642,2.3384215029458746,1.2150342620701287,1.3349557692791705,1.300850609589882,1.2748473632568142,1.299380783352646
low,low:66,66,437,1.3805489925696637,1.171519840566788,1.0870933376054959,1.2432149497913658,1.3360002847802404,1.319094624570939,1.332730007603853
low,low:67,67,711,1.3956971030153682,1.4588499771439927,1.1784889380497858,1.2503819308714743,1.3374669239431345,1.323174435198554,1.349853741920721
low,low:68,68,1998,1.3904274945292654,2.7024750793132615,1.16766681171265,1.4209989431032717,1.3250375112447352,1.2926518337761848,1.3161941119713185
low,low:69,69,1085,1.372811961431231,1.4766581619793262,1.1663160498777077,1.2310873033998748,1.2873602067580854,1.2528995247814805,1.3176635685006128
low,low:70,70,1998,1.3796837461177367,2.464351985337109,1.2462912562348987,1.3498140656130555,1.3299024731570144,1.3175592794629425,1.3296086197416905
low,low:71,71,1998,1.3823030549706978,2.7597162076729136,1.2703400337177988,1.3860208769997817,1.325115293049911,1.3058761925233429,1.3201408881741208
low,low:72,72,1998,1.3841674016644594,2.6177582093409764,1.1793000889362844,1.3966998936872865,1.3161704949231892,1.2826786287661012,1.3048178607026417
low,low:73,73,1998,1.3879965256416504,2.9520463989613437,1.2016261305419638,1.440262447652924,1.3247691062262394,1.2806434187939062,1.308871616059908
low,low:74,74,436,1.3857147830120233,1.1426595829924115,1.107125328821625,1.2262486277923528,1.3541512463781114,1.3439670893355502,1.355539875469989
low,low:75,75,968,1.3833807165030985,1.7270720600494962,1.142093765629122,1.2879608680367975,1.316404356366911,1.279937800924891,1.335126562505148
low,low:76,76,656,1.3876659491346182,1.515845546541447,1.192872987184577,1.2437386204521903,1.327501880538813,1.2993263199520904,1.336883121034395
low,low:77,77,1998,1.3819432601176689,2.846722722779584,1.2747367053146057,1.3972987622697572,1.3519524737571214,1.3264793970558493,1.326886252147581
low,low:78,78,1998,1.3788226548648148,2.6978957890444892,1.2570411297138249,1.3750620354629013,1.3317091437766855,1.3221070989122514,1.3237692166338273
low,low:79,79,1998,1.379958121764141,2.7276611757915084,1.2809911699898313,1.3723970327785036,1.328505597784923,1.3265243467191923,1.3093591033635663
low,low:80,80,1998,1.3767365722439624,2.5284620490999195,1.2704549799518645,1.3461882906312976,1.3256250265481897,1.3212716274362544,1.3230374866758654
low,low:81,81,409,1.3838046855113535,1.272006685758243,1.1460037339466123,1.2292488831199497,1.3561229201896907,1.3415327854638301,1.3641276653880032
low,low:82,82,418,1.3862806199470712,1.2999962254425852,1.1171902919198005,1.2255542020581496,1.3567912570753295,1.3556809804390513,1.3652885034465803
low,low:83,83,421,1.383720419406926,1.0736237061458123,1.0781987366492056,1.236204143144181,1.3563171358636192,1.3426261401252595,1.3541828984229176
low,low:84,84,1998,1.384834758369122,2.899384560870464,1.298928849553123,1.3998896127374185,1.3599007449609675,1.323990352643807,1.3300973979652686
low,low:85,85,1295,1.3844524781695848,2.188874966454258,1.2121419595877327,1.3306661256353542,1.3564685211860237,1.3443359730859694,1.3413853618672975
low,low:86,86,1998,1.3817145547314613,3.01844610785854,1.2866841309238455,1.41291873175246,1.3271392015129448,1.2860780562722813,1.3116634443546775
low,low:87,87,1998,1.3828883033424253,2.9795221405739762,1.2930609772189878,1.4158411318752882,1.360782341617943,1.3559720136298523,1.3381749066053672
low,low:88,88,1998,1.3848414807027536,2.168987763001305,1.1412167934199955,1.3426409507176975,1.306966666323034,1.2701952356428143,1.3226532376240416
low,low:89,89,636,1.384119636245326,1.2460663700115509,1.1292774258746165,1.2316944252233426,1.3287431137298842,1.3045164212760334,1.3435325012964379
low,low:90,90,1998,1.3890659927952533,1.8827821212030451,1.1334056118519982,1.3113594075650823,1.3026779820163117,1.2595953290742208,1.3111573991842407
low,low:91,91,1998,1.3864798416206494,2.549068855309394,1.2027407875833223,1.380912767137447,1.3199335047465255,1.2794331547100157,1.3161421894166425
low,low:92,92,1998,1.3842869665833466,2.436876243724476,1.2429270401592154,1.3448761990893099,1.3195361078567973,1.2970982682314316,1.3207563791892898
low,low:93,93,1998,1.382000643468692,2.8856466900641475,1.291079227473831,1.3877038129223471,1.3351603461195307,1.298972904933692,1.3321783965228042
low,low:94,94,1998,1.3859215407424543,2.9680739149020465,1.2821074683199123,1.4157056346538106,1.355645071376949,1.3241827574452623,1.3277757052108026
low,low:95,95,1998,1.3870607134990902,3.0642390105462614,1.235487105496777,1.443200702081533,1.3233971832643616,1.3007488125534272,1.341581225757281
