family,run_count,mean_predicted_pair_distance,mean_swapped_pair_distance,mean_predicted_minus_swapped,predicted_pair_better_runs,swapped_pair_better_runs,tied_runs,exact_resolution_eligible_runs
plain,4,0.4236326779167716,0.4236326779167716,0,0,0,4,0
undulating,3,0.502322003750035,0.4976779962499649,0.004644007500070065,0,1,2,0
all,7,0.45735667470245595,0.45536638577385447,0.0019902889286014564,0,1,6,0
